"";"Player";"Team";"R";"ACS";"K.D";"KAST";"ADR";"Elo"
"Shniider";"Shniider";"EGYPT";0,99;196,8;0,99;71;128,7;3
"DeadInk";"DeadInk";"GSE";0,99;218;1;68;139,7;3
"scourge";"scourge";"N8V.W";0,99;221,4;1,01;69;145,1;3
"KristA";"KristA";"OutR";0,99;218;0,94;69;136,6;3
"Karakz";"Karakz";"sauce";0,99;201,4;0,92;68;132,6;3
"Made";"Made";"ATS";0,99;197;1;71;122,2;3
"RoLEX";"RoLEX";"AAA";0,99;224,2;1;65;140,5;3
"maxie";"maxie";"BLD";0,99;192,1;0,97;72;129,5;3
"alcoacH";"alcoacH";"UP";0,99;223,6;1;69;146,2;3
"Bocah";"Bocah";"DEWA";0,99;200,1;1;70;127,5;3
"reagzYY";"reagzYY";"BLD.A";0,99;200,6;0,92;66;136,4;3
"Hunts";"Hunts";"AG";0,99;197,2;0,95;69;133,6;3
"Boostio";"Boostio";"EG";0,99;226,4;1,07;68;144,6;3
"Kr1stal";"Kr1stal";"SZ";0,99;207,3;0,97;69;130,6;3
"ALEKSANDAR";"ALEKSANDAR";"YFP";0,99;199,3;1,03;71;130,2;3
"Jennax";"Jennax";"Alve";0,99;199,5;0,99;70;126,1;3
"Future";"Future";"EQ C";0,99;174,8;0,89;64;116,5;2
"fade";"fade";"full";0,99;218,8;0,96;66;143,4;3
"VolcaN";"VolcaN";"CRWN";0,99;217,8;1,05;67;141,7;3
"Top";"Top";"ROO";0,99;202,8;0,96;72;142,4;3
"speedy";"speedy";"NÖF";0,99;226,4;0,96;66;146,2;3
"Apoth";"Apoth";"EG";0,99;191,4;0,98;70;124,5;2
"Niko47A";"Niko47A";"47";0,99;216,5;0,97;72;142,6;3
"Nozz";"Nozz";"BOBO";0,99;180,9;0,97;73;117,4;2
"CTC";"CTC";"LOS";0,99;204,6;1,02;70;133,8;3
"BREKK";"BREKK";"AKV";0,99;211,4;1,03;71;131,8;3
"SpicyMufn";"SpicyMufn";"SKULL";0,99;206,4;0,94;68;133,2;3
"Jaigrayray";"Jaigrayray";"47";0,99;183,5;0,95;73;128,2;2
"Dark3st";"Dark3st";"KS";0,99;201;0,94;70;133,5;3
"kc1nn";"kc1nn";"KG";0,99;211,6;1,05;67;137,8;3
"Cooper";"Cooper";"ABX";0,99;183,6;1,02;67;120,8;2
"alexis";"alexis";"C9W";0,99;180,5;0,98;73;115,9;2
"Bad";"Bad";"Reve";0,99;228,8;0,98;68;150,9;3
"Luc1d";"Luc1d";"UOL";0,99;201,6;1;70;130,6;3
"Yosemite";"Yosemite";"SN";0,99;223,1;1,02;71;144,7;3
"DALADAVVE";"DALADAVVE";"Hogw";0,99;202;0,83;75;136,3;3
"asjrd";"asjrd";"Devi";0,99;217,8;0,98;65;135,6;3
"saiko";"saiko";"S1";0,99;220,5;1;68;140,9;3
"Zenzor";"Zenzor";"H$";0,99;246,5;1,05;60;158,3;3
"frei";"frei";"RIX";0,99;213,3;1,07;70;137,1;3
"SHIN";"SHIN";"KCORP";0,99;192,1;0,98;72;123,7;3
"Newzera";"Newzera";"KCORP";0,99;186,7;1,03;73;118;2
"Thykuza";"Thykuza";"NOM.L";0,99;236,8;1;66;152,9;3
"Poly";"Poly";"X10S";0,99;204,8;1,04;73;131;3
"vong";"vong";"FKS";0,99;209;0,98;70;134,6;3
"Sozi";"Sozi";"RN";0,99;212,2;0,99;69;136,4;3
"Freyy";"Freyy";"NOM";0,99;193,3;0,97;72;125,9;3
"Persia";"Persia";"OGT";0,99;208;0,98;68;135;3
"CNKa";"CNKa";"KC";0,99;230,9;1,03;69;148,7;3
"sw";"sw";"DELI";0,99;195,7;0,94;70;128,3;3
"syfi";"syfi";"YFP";0,99;228,1;1,02;68;148,5;3
"Derek";"Derek";"BRN";0,99;193,6;0,99;72;127;3
"shhhack";"shhhack";"KPI";0,99;176,6;0,92;71;114,6;2
"nillyaz";"nillyaz";"LT";0,99;198,7;0,98;71;130,1;3
"hastack";"hastack";"BSO";0,99;206,8;0,99;70;134,8;3
"Playboi";"Playboi";"Joe
																			RESO";0,99;209,3;0,99;71;138;3
"Apinya";"Apinya";"FS";0,99;220,6;1,02;69;145,5;3
"goffe";"goffe";"GLD";0,99;203,9;1,01;71;128,6;3
"ind1n";"ind1n";"puGG";0,99;227,6;1,05;65;146,9;3
"Chloettw";"Chloettw";"OGT.X";0,99;215,4;1,04;72;137;3
"Muffyn";"Muffyn";"X10S";0,99;227,3;1,01;70;144,3;3
"KHS";"KHS";"TAMU";0,99;224,3;1,05;68;141,7;3
"xyN";"xyN";"gene";0,99;197;0,94;73;122,6;3
"jas";"jas";"Z10";0,99;219,4;0,99;68;144,5;3
"thàng";"thàng";"map
																			FC";0,99;205,7;0,97;64;131,5;3
"r1nny";"r1nny";"zTit";0,99;195,7;0,88;71;124,9;2
"aLerT";"aLerT";"PLM";0,99;209;1,05;72;134,2;3
"Precision";"Precision";"YFP";0,99;184,3;0,94;72;120,2;2
"Esmé";"Esmé";"YFPB";0,99;200,4;0,99;69;136;3
"Anoxai";"Anoxai";"Ksen";0,99;214,2;0,98;69;140,4;3
"ozz";"ozz";"Carl";0,99;210,9;0,95;70;135,6;3
"Zen";"Zen";"Exce";0,99;201,3;0,87;69;133,6;3
"Drave";"Drave";"UCF";0,99;200,7;1,05;70;127,9;3
"Nick";"Nick";"DNAD";0,99;177,3;0,93;73;115,8;2
"KnightRider";"KnightRider";"GR";0,99;217,2;1,09;65;135,1;3
"Richy";"Richy";"Rapt";0,99;225;1,04;69;151,6;3
"w0zzip";"w0zzip";"DP";0,99;214,3;0,95;68;135,3;3
"DemiGod";"DemiGod";"MeT";0,99;193,2;0,91;70;130,4;2
"eVoL";"eVoL";"TI";0,99;185;0,97;70;125,4;2
"bacyx";"bacyx";"TBG";0,99;202,6;0,97;69;133,5;3
"svL";"svL";"Cosm";0,99;197,8;0,96;73;128,2;3
"rEplan";"rEplan";"unjo";0,99;233,9;1,04;68;147,5;3
"bramz";"bramz";"BDS";0,99;208,8;1,04;70;132,4;3
"ZerG";"ZerG";"TI";0,99;216,3;1,01;68;141;3
"mini";"mini";"GAL";0,99;212,4;1,06;68;134,7;3
"heybay";"heybay";"OOW";0,99;218,1;1,05;70;133;3
"Cud";"Cud";"BTR";0,99;216,7;1,05;67;142,1;3
"ikke";"ikke";"RN";0,99;203,3;0,94;72;131,8;3
"MARCTYLINHO";"MARCTYLINHO";"S1";0,99;188,9;0,98;72;123,4;3
"Edelweiss";"Edelweiss";"Team";0,99;206;1,03;70;132,5;3
"cooK";"cooK";"3P";0,99;142,7;0,67;63;104,5;1
"TENNN";"TENNN";"ZETA";0,99;209,5;0,96;70;138;3
"jcStani";"jcStani";"100T";0,99;200;0,96;70;128,2;3
"sharky";"sharky";"COL";0,99;208,5;0,95;70;135,3;3
"Evo";"Evo";"OAS";0,99;175,1;0,83;75;121,2;2
"aduka";"aduka";"OGT";0,99;226,9;1;67;147,8;3
"matheuzin";"matheuzin";"TBK";0,99;191,8;0,95;72;123;2
"xuss";"xuss";"TQ";0,99;225,9;1,02;67;141,5;3
"caydeN";"caydeN";"DSY";0,99;188,2;0,93;71;125,4;2
"APO";"APO";"MDR";0,99;187,4;0,99;69;124,2;2
"Andersin";"Andersin";NA;0,99;207,6;1;70;134,2;3
"Shanks";"Shanks";"Team";0,99;216,1;1,02;70;130,2;3
"dispenser";"dispenser";"TS";0,99;199,7;1,03;70;130,5;3
"RAINMAKER";"RAINMAKER";"INF";0,99;213,8;1,04;69;141;3
"falltw";"falltw";"CASE";0,99;204;0,96;71;134,5;3
"Crunchy";"Crunchy";"BOBO";0,99;204;1;72;130,2;3
"mina";"mina";"SQ";0,99;213,1;1,01;70;134,5;3
"mummAy";"mummAy";NA;0,99;199,7;1,05;69;124,6;3
"WeDid";"WeDid";"NRG";0,99;196,7;0,98;71;129,2;3
"Skadoodle";"Skadoodle";"T1";0,99;192,5;1,03;73;119,9;3
"vaiZ";"vaiZ";"LEV";0,99;200;0,98;70;128,7;3
"GatsH";"GatsH";"RBLS";0,99;209;1,05;72;133;3
"Supmah";"Supmah";"UCAM";0,99;201,7;0,99;72;128,3;3
"Ar4n";"Ar4n";"Phar";0,99;178,6;0,83;74;114;2
"Moothie";"Moothie";"CNJ";0,99;195,2;0,92;66;129,6;2
"akaone";"akaone";"LH";0,99;203,4;0,89;70;137,8;3
"Exalt";"Exalt";"PK";0,99;216,9;1,01;70;138,5;3
"Redneval";"Redneval";"WX";0,98;229,9;1;70;144,1;3
"Lanky";"Lanky";"GGO";0,98;228,4;1,14;69;145,2;3
"LuoK1ng";"LuoK1ng";"KONE";0,98;190;0,98;70;123,5;2
"d0rf";"d0rf";"BAAM";0,98;193;1;71;124,5;3
"Medusa";"Medusa";"RC";0,98;208,9;1,05;68;132,9;3
"rion";"rion";"CR";0,98;193,7;1,01;70;123,8;3
"ray4c";"ray4c";"TA";0,98;254,2;1;65;162,2;3
"LoWkii";"LoWkii";"VIT";0,98;191,4;0,96;70;119,3;2
"newface";"newface";"Ahji";0,98;180,6;0,91;69;117,4;2
"SRXZ";"SRXZ";"TMQ";0,98;211,5;0,95;67;134,4;3
"bucher";"bucher";"FKS";0,98;188,5;1,03;70;125,2;3
"BabyJ";"BabyJ";"100T";0,98;198,6;1,01;70;128,6;3
"Yoshii";"Yoshii";"Proj";0,98;218,2;1,02;68;138,1;3
"KittyKat";"KittyKat";"Sanr";0,98;215,8;1,06;64;146,6;3
"xZe";"xZe";"NKT";0,98;205,3;1;69;133,2;3
"Champzera";"Champzera";"JUXT";0,98;187,4;0,94;71;124,1;2
"MAGiK";"MAGiK";"S1";0,98;208,4;1,01;69;135,6;3
"Blahst";"Blahst";"VRT";0,98;200,9;0,99;70;131,5;3
"bjor";"bjor";"ZMM.B";0,98;200,8;1;71;133;3
"Trill";"Trill";"STORM";0,98;187,2;0,98;71;121,2;2
"Exterminia";"Exterminia";"FG";0,98;210,4;1,01;71;138,2;3
"siz";"siz";"BVD";0,98;225,9;1,04;67;145,9;3
"dzii";"dzii";"GMN";0,98;208,6;1,01;72;134,6;3
"nat1";"nat1";"TL";0,98;213,3;0,99;70;137;3
"alexandra";"alexandra";"FUT.J";0,98;242,3;0,99;69;156,2;3
"shelbyN";"shelbyN";"EBG";0,98;208,3;1,02;70;134,2;3
"MiniNiwde";"MiniNiwde";"OKWU";0,98;231,3;1,08;68;148,3;3
"ExiT";"ExiT";"SA";0,98;200,4;0,99;68;127,3;3
"Fluky";"Fluky";"47";0,98;215,6;0,98;71;147;3
"Aly";"Aly";"BRNV";0,98;180,5;0,95;72;122,3;2
"M1kE";"M1kE";"BONK";0,98;194;0,96;69;129,2;3
"Rossy";"Rossy";"TSM";0,98;185,6;0,93;72;122,3;2
"fanboy";"fanboy";"ANO";0,98;202,3;0,94;66;131;3
"EMENK";"EMENK";"19";0,98;195,5;1,01;69;128;3
"INFESTOR";"INFESTOR";"GK";0,98;191,8;0,98;69;126,1;3
"marin";"marin";"CGZ";0,98;216,6;1,01;65;136,2;3
"Kim";"Kim";"TEN.N";0,98;181;0,94;74;116,7;2
"niffy";"niffy";"SPE";0,98;210,1;1;68;135,8;3
"bobys";"bobys";"NOM";0,98;234,2;1,04;70;148,5;3
"Mot1on";"Mot1on";"CWB";0,98;196,6;0,98;69;131,9;3
"HANN";"HANN";"WGS";0,98;229,5;1;67;148,3;3
"Maru";"Maru";"Fast";0,98;194,7;0,97;70;129,8;3
"Filu";"Filu";"CASE";0,98;220,6;1;68;141,8;3
"pava";"pava";"OSKA";0,98;182,9;0,8;67;114,4;2
"Jeong";"Jeong";"Hi
																			OQA";0,98;197;0,97;72;124,5;3
"shéd";"shéd";"KOVA";0,98;227;1,06;67;145,5;3
"pollo";"pollo";"VKS";0,98;206,5;1;68;131,9;3
"TiGG";"TiGG";"SR";0,98;191,3;0,92;71;126,6;2
"fletcher";"fletcher";"SILK";0,98;189,2;0,98;72;125,9;3
"grav1ty";"grav1ty";"GA";0,98;181,7;1,1;78;114,9;3
"NiceHacks";"NiceHacks";"SOTZ.V2";0,98;215,4;0,97;68;139;3
"farewell";"farewell";"Lixa";0,98;218,5;0,97;68;146,2;3
"WorldEdit";"WorldEdit";"Yungs";0,98;220,1;1,03;66;143,1;3
"Vuubit";"Vuubit";"EXEN";0,98;205,8;1;69;134;3
"Gunners";"Gunners";"GOOD";0,98;197,8;0,99;73;124,2;3
"jonx";"jonx";"FB";0,98;206,8;0,97;70;133,3;3
"Matrixx";"Matrixx";"OVA";0,98;189;0,95;73;124,2;2
"DOXZ3R";"DOXZ3R";"AA";0,98;211,2;0,91;67;132,7;3
"Ecard";"Ecard";"KG";0,98;199,1;1,02;65;123,7;3
"Maverick";"Maverick";"SH";0,98;194,1;0,92;70;125,9;2
"bNhardneja";"bNhardneja";"hPw";0,98;174,6;0,8;69;119,4;2
"Ember";"Ember";"GR";0,98;194,6;0,98;70;127,2;3
"Fisker";"Fisker";"FAV";0,98;231,8;1,02;67;143,8;3
"Mited";"Mited";"FS";0,98;214,5;1;71;137,6;3
"Suka";"Suka";"FCY";0,98;197,3;0,96;71;130,4;3
"S1GX";"S1GX";"DDLM";0,98;244,5;0,97;69;158,1;3
"Harry";"Harry";"HM";0,98;186,5;0,98;66;123,3;2
"R0K3T";"R0K3T";"T1KR";0,98;224,3;1,03;70;144,8;3
"silentzz";"silentzz";"RED";0,98;230,6;1,01;67;151,3;3
"Rave";"Rave";"NOM.JR";0,98;210,4;0,97;67;144,7;3
"Oderus";"Oderus";"NYFU";0,98;203;0,97;69;131,1;3
"dawn";"dawn";"Inde";0,98;182,5;0,95;70;122,9;2
"Riza";"Riza";"AVM";0,98;197,7;0,95;70;129,7;3
"luckeRRR";"luckeRRR";"BIG";0,98;203,4;1;70;126,3;3
"Japips";"Japips";"OGT.X";0,98;195,6;1;69;131,2;3
"CaspeR";"CaspeR";"OGT.X";0,98;208,2;1,01;69;137;3
"juL";"juL";"SNM";0,98;188,8;0,85;70;125,3;2
"dimasick";"dimasick";"TL";0,98;199,6;1,02;70;129;3
"neptune";"neptune";"NYFU";0,98;199,5;0,95;72;128,3;3
"Ayke";"Ayke";"Z10";0,98;186,6;0,97;70;125,2;2
"minse";"minse";"OBG";0,98;202,6;1,09;69;132,6;3
"ceegu1N";"ceegu1N";"NoOr";0,98;202;1,02;74;125,2;3
"Zik";"Zik";"ALL";0,98;185,7;0,94;70;120,9;2
"SpaceBud";"SpaceBud";"WTD";0,98;189,7;1;64;117,3;2
"Boaster";"Boaster";"FNC";0,98;188,8;0,93;71;121,4;2
"zaninZS";"zaninZS";"TBS";0,98;188,4;0,95;73;126,2;3
"TTyke";"TTyke";"PHXE";0,98;233,4;1,06;66;147,7;3
"Bankroft";"Bankroft";"Tact";0,98;189,2;0,93;71;123,6;2
"AFoxx";"AFoxx";"GMT";0,98;185,2;1,03;68;125,9;2
"CLZ";"CLZ";"FL";0,98;185,2;0,93;72;118,9;2
"re1sxd";"re1sxd";"TBG";0,98;190,7;0,98;70;123,9;2
"Hafficool";"Hafficool";"Team";0,98;194,4;1;73;114,8;2
"Moshu";"Moshu";"GW";0,98;223,5;0,97;72;145,2;3
"FANE";"FANE";"X10";0,98;204,5;1,05;69;130,9;3
"mandjos1k";"mandjos1k";"SES";0,98;203;0,94;64;134,5;3
"DxN";"DxN";"NN";0,98;203,2;1,02;70;134,3;3
"somboyy";"somboyy";"AAA";0,98;191,1;0,99;69;125,5;3
"envy";"envy";"FL";0,98;211,4;0,99;69;128,7;3
"NoMan";"NoMan";"WS";0,98;229,2;1,03;66;145,3;3
"Midnight";"Midnight";"Unde";0,98;192,9;1;71;124,6;3
"King";"King";"VRT";0,98;195;0,98;70;129,1;3
"yaoster";"yaoster";"USC";0,98;219,3;1,03;66;136,7;3
"jakee";"jakee";"TR";0,98;217,6;1;68;142,5;3
"Eneska";"Eneska";"F9";0,98;216,3;0,91;70;136,3;3
"Samsi";"Samsi";"XL.GC";0,98;199,7;0,97;72;131,6;3
"mittens";"mittens";"LF";0,98;203,6;0,98;69;134,4;3
"Insider";"Insider";"KPI";0,98;194,2;0,98;70;125,7;3
"fznnn";"fznnn";"ODK";0,98;182,5;0,95;73;120;2
"ARGENT";"ARGENT";"GOOD";0,98;223,4;0,99;66;142,7;3
"Korsonix";"Korsonix";"Elys";0,98;196,1;0,98;68;128,6;3
"braveaf";"braveaf";"IWC";0,98;194,9;0,95;69;124,1;2
"norsin";"norsin";"SOTZ.V2";0,98;207,1;1,01;69;134;3
"pho";"pho";"YFP";0,98;190,1;0,96;70;124,6;2
"l0udly";"l0udly";"AG";0,98;193;0,89;70;126,7;2
"arbie";"arbie";"RN";0,98;198;0,96;72;127,8;3
"Jia";"Jia";"DPC";0,98;230,4;0,91;67;156,4;3
"JewNNN";"JewNNN";"AUR";0,98;184,3;0,89;74;116,8;2
"Duno";"Duno";"NAVI";0,98;173,4;0,93;73;113;2
"sutecas";"sutecas";"ODK";0,98;189,2;1;71;122,7;3
"hoveRR";"hoveRR";"SCY";0,98;211,3;1,04;69;137,6;3
"gobera";"gobera";"UNION";0,98;214,1;1;67;143,7;3
"WESSON";"WESSON";"SUR";0,98;193,5;0,93;69;123;2
"ShadoW";"ShadoW";"GIA";0,98;184,3;1,01;73;118,2;2
"Haodong";"Haodong";"EDG";0,97;181,6;0,94;72;116,5;2
"rain";"rain";"EG.GC";0,97;194,1;0,96;70;126;3
"Hitch";"Hitch";"NOM";0,97;204,1;0,97;71;133,9;3
"JoXJo";"JoXJo";"NTH";0,97;189,5;0,94;69;123,1;2
"tzin";"tzin";"Odin";0,97;212;1,06;69;138,5;3
"Shuriken";"Shuriken";"Twis";0,97;235;1;66;154,8;3
"Carlee";"Carlee";"GEN.B";0,97;188,3;0,95;70;125,4;2
"cole";"cole";"Crim";0,97;176,5;0,91;71;101,5;2
"Harshhh";"Harshhh";"RGE";0,97;197,9;0,99;70;125,5;3
"Cain";"Cain";"RESO";0,97;193,3;0,93;72;126,1;3
"YouBreak";"YouBreak";"TEN";0,97;185,6;0,95;70;122,3;2
"Monstrum";"Monstrum";"HEET";0,97;210,5;0,96;70;136,2;3
"sabAAA";"sabAAA";"ALGERIA";0,97;198,1;0,98;68;131,4;3
"Astell";"Astell";"CR";0,97;168,6;0,91;71;111,2;2
"blitzeN";"blitzeN";"CGN";0,97;205,1;1,04;67;131,3;3
"alicpond";"alicpond";"ABC";0,97;192,4;0,8;73;126,2;2
"AztKk";"AztKk";"FNK";0,97;222,9;0,98;70;140,3;3
"mleqt";"mleqt";"TSM.X";0,97;188,2;0,95;70;123,6;2
"Stephanieser";"Stephanieser";"GEN.B";0,97;184,7;0,93;73;102,2;2
"styluS";"styluS";"01";0,97;195;0,96;69;129,9;3
"Kromex";"Kromex";"AAA";0,97;180,1;0,88;69;113,6;2
"Jow";"Jow";"TC";0,97;213,2;0,97;67;144,2;3
"frostmind";"frostmind";"BTR";0,97;184,8;1,01;72;121,2;2
"xccurate";"xccurate";"PSJ";0,97;216,2;1,01;68;143,1;3
"Minisk1N";"Minisk1N";"PHXE";0,97;209,5;1;64;143,8;3
"Slag";"Slag";"Trop";0,97;220,6;0,97;67;139,7;3
"isla";"isla";"ODK";0,97;214,9;1,03;70;142,7;3
"Moosey";"Moosey";"FAT";0,97;225,1;1;69;145,8;3
"Winsum";"Winsum";"LT";0,97;224;0,97;67;142,3;3
"Sofa";"Sofa";"AI";0,97;197;0,92;70;128,5;3
"Zeus";"Zeus";"TLN";0,97;197,6;0,97;73;128,8;3
"Emman";"Emman";"RRQ";0,97;198,1;0,96;70;128,8;3
"lucasvade";"lucasvade";"EBG";0,97;202,9;0,98;72;133,1;3
"Alyx";"Alyx";"CWE";0,97;226,8;1,05;64;145,1;3
"Nerf";"Nerf";"NSR";0,97;205,8;0,97;67;138,8;3
"Sylva";"Sylva";"WAVE";0,97;196,4;0,88;72;126,4;2
"TheoW";"TheoW";"EE";0,97;229,3;0,98;67;146,8;3
"TENSAI";"TENSAI";"FL";0,97;205,5;0,92;70;135,2;3
"Pain";"Pain";"IluZ";0,97;231,8;0,93;66;149,4;3
"LunaFox";"LunaFox";"MSF";0,97;214;0,95;68;146,8;3
"LiriLia";"LiriLia";"RIX";0,97;183,3;0,95;72;120,5;2
"Nikoluk";"Nikoluk";"SPRX";0,97;198,7;1,06;68;137,1;3
"azure";"azure";"FA";0,97;213,2;0,95;66;142;3
"nathn";"nathn";"sqn";0,97;196,7;0,99;69;130,3;3
"Luii";"Luii";"TFG";0,97;228,3;0,89;71;139,1;3
"makiba";"makiba";"ZETA";0,97;179;0,93;71;117,7;2
"LEXY";"LEXY";"BLD";0,97;210,9;0,99;71;136,9;3
"zunba";"zunba";"ONS";0,97;190,4;0,99;72;125;3
"andreww";"andreww";"SHFT";0,97;216,5;1,02;67;140,4;3
"FireBallOps";"FireBallOps";"Scoo";0,97;222,2;1,02;67;147,2;3
"miku";"miku";"TMV";0,97;224,8;1,01;65;146,3;3
"jeyj7y";"jeyj7y";"PRL";0,97;192,1;0,94;73;126,8;3
"Fr4nky";"Fr4nky";"FLC";0,97;179,6;0,9;72;120,4;2
"bew";"bew";"Mapl";0,97;187,6;0,91;66;123,5;2
"Nanners";"Nanners";"QoR";0,97;211,6;0,97;67;138;3
"Joojina";"Joojina";"GLP";0,97;188,7;0,97;70;125,6;2
"Antidote";"Antidote";"ENGM";0,97;191,7;0,99;68;123,2;2
"BahAEE";"BahAEE";"NS";0,97;227;0,97;63;135,1;3
"biankk";"biankk";"iG";0,97;225,6;1,05;72;145,6;3
"Andrehs";"Andrehs";"SKC";0,97;212;0,96;68;142,8;3
"AiShou";"AiShou";"XIAO";0,97;205,1;0,87;71;127,2;3
"Aiko";"Aiko";"DNAD";0,97;184,6;0,9;70;124,8;2
"Dani";"Dani";"SEN";0,97;202,3;0,92;72;133,2;3
"bezn1";"bezn1";"RED";0,97;200,8;0,93;68;128,8;3
"kaajak";"kaajak";"inco";0,97;211;0,97;68;139,7;3
"Vernina";"Vernina";"MSF";0,97;201,6;1,03;69;129,9;3
"specimen";"specimen";"RN";0,97;200,7;0,97;69;128,9;3
"toozy";"toozy";"TLP";0,97;200;0,95;66;134,8;3
"Evilkyk";"Evilkyk";"Gala";0,97;198,2;0,97;71;128,6;3
"BONECOLD";"BONECOLD";"VIT";0,97;185,1;0,96;72;117,1;2
"Danah";"Danah";"RBLS";0,97;212,3;0,94;70;140,8;3
"FireSaiyajiN";"FireSaiyajiN";"ZLS";0,97;221,9;0,99;65;141,5;3
"GodDead";"GodDead";"ONS";0,97;200,9;0,93;69;130,4;3
"sQren";"sQren";"mm";0,97;203,3;0,78;65;133,6;2
"Cab8ts";"Cab8ts";"New";0,97;218,7;1;66;142,2;3
"KRX";"KRX";"PLM";0,97;229,7;0,98;68;151;3
"Vora";"Vora";"Proj";0,97;188,8;0,92;72;127,7;2
"WIX";"WIX";"MARU";0,97;193,4;0,91;69;129,1;2
"Bloody";"Bloody";"AQ";0,97;231,3;0,94;66;151,8;3
"iNTRO";"iNTRO";"GEN";0,97;203,1;1,04;71;129,3;3
"LarryBanks";"LarryBanks";"FaZe";0,97;196,2;0,94;71;129,9;3
"Governor";"Governor";"Team";0,97;217,9;0,99;69;141,7;3
"athxna";"athxna";"TSM.X";0,97;197;1;70;130,4;3
"Ale";"Ale";"MOUZ";0,97;221,7;1,02;69;141,1;3
"k1Ng.1";"k1Ng";"FPG";0,97;212,6;0,97;69;143,3;3
"Hatred";"Hatred";"Hash";0,97;228,6;0,96;64;137,8;3
"loord";"loord";"KILL";0,97;230,8;1,03;66;151,1;3
"SEIDER";"SEIDER";"FPX";0,97;196,8;1;69;123,9;3
"JoXer";"JoXer";"świ";0,97;203,7;0,94;69;134,5;3
"ork1de";"ork1de";"ZZ";0,97;208,5;0,98;71;126,6;3
"Symbol";"Symbol";"BRN";0,97;184,7;0,93;72;123,9;2
"margeaux";"margeaux";"BIGG";0,97;199,7;0,99;70;129,3;3
"panini";"panini";"GX3";0,97;188,7;0,97;72;122,8;2
"Brando";"Brando";"GG";0,97;179,1;0,83;74;118,9;2
"N";"N";"A I S
																			DSY";0,97;191,6;0,9;68;126,6;2
"Mel";"Mel";"DLR";0,97;187,8;0,95;70;124,1;2
"rCk";"rCk";"BIG";0,97;200,6;0,92;70;132,1;3
"tayhuhu";"tayhuhu";"B4A";0,97;173,1;0,91;73;114,8;2
"Jangler";"Jangler";"AI";0,97;173,5;0,93;71;112,6;2
"Xyphex";"Xyphex";"DOES";0,97;201,3;0,91;69;133,7;3
"Keyrec";"Keyrec";"AG";0,97;158,5;0,76;71;99,8;2
"AYRIN";"AYRIN";"GES";0,97;191,6;0,95;73;123,3;3
"koosta";"koosta";"GEN";0,97;197,5;0,95;71;130,7;3
"Daveeski";"Daveeski";"AT";0,97;179,5;0,78;72;120,7;2
"trace102k";"trace102k";"SES";0,97;195,9;0,95;68;125,7;2
"Hotsauz";"Hotsauz";"BRN";0,97;195,8;0,96;69;130,7;3
"nerve";"nerve";"SQ";0,97;191,5;0,93;70;126,2;2
"Julis";"Julis";"SMBF";0,97;195,2;1;71;127;3
"Shrew";"Shrew";"KOI";0,97;188,3;0,95;70;118,6;2
"General";"General";"Runn";0,97;174,5;0,85;64;113,1;2
"OYKU";"OYKU";"RIX";0,97;190,4;0,98;72;125,4;3
"Lil";"Lil";"Blank";0,97;196,7;1,05;71;135,2;3
"thiefy";"thiefy";"IGZ";0,97;216,7;1;66;140,2;3
"PikaStrikee";"PikaStrikee";"EJ";0,97;202,7;0,98;63;136,3;3
"PowerRanger";"PowerRanger";"Rojo
																			TLM";0,97;169,2;0,85;65;117,7;2
"trinity";"trinity";"OF";0,97;236,7;1,17;68;159,4;3
"SoyeR";"SoyeR";"FB";0,97;200;1,03;60;137,4;3
"Luj";"Luj";"FLC.V";0,97;216,6;0,93;71;139,9;3
"Cohburg";"Cohburg";"KS";0,97;190,7;0,97;70;127;3
"RvK";"RvK";"ENGM";0,97;192,8;0,98;67;127,1;2
"garnetS";"garnetS";"TLN";0,97;218,4;1,01;66;141;3
"Ruzica";"Ruzica";"FLC.V";0,97;204,1;0,99;67;138;3
"soulM8";"soulM8";"WS";0,97;197;0,97;67;131,4;3
"ponkt";"ponkt";"FNST.OWO";0,97;198,8;0,98;68;130,1;3
"psy";"psy";"GR";0,97;202,5;0,94;70;134,5;3
"Lanerinno";"Lanerinno";"YPPB";0,97;224,6;1,06;65;145,7;3
"rheat";"rheat";"GK";0,97;203,3;0,97;70;134,5;3
"iRdy";"iRdy";"WGS";0,97;181,4;0,91;69;121;2
"Happen";"Happen";"OVA";0,97;189,3;0,9;70;128;2
"eleo";"eleo";"UOL";0,97;181,9;0,89;71;122,8;2
"Space";"Space";"Panda";0,96;190,2;0,81;70;119;2
"Louda";"Louda";"OXR";0,96;223,3;0,95;62;144,8;3
"benaf";"benaf";"PRX";0,96;202,5;0,97;68;132,7;3
"Natakodo";"Natakodo";"IKIG";0,96;211,3;0,98;69;139;3
"crow";"crow";"ZETA";0,96;172,2;0,94;73;116;2
"Baransel";"Baransel";"GAL";0,96;208,8;0,99;70;136,4;3
"Real8";"Real8";"EGO";0,96;192,7;0,95;70;122,5;2
"Tsuya";"Tsuya";"YFP";0,96;210,9;0,95;68;131,3;3
"Sh0ckwave";"Sh0ckwave";"FNK";0,96;185,1;0,97;72;117,9;2
"snirot";"snirot";"Valk";0,96;211,2;1;66;137,1;3
"Ching";"Ching";"RNT";0,96;194,8;0,95;70;127,5;3
"olulu";"olulu";"BTZ";0,96;190,6;0,93;69;122,4;2
"Crws";"Crws";"TLN";0,96;187,9;0,94;72;121,2;2
"DENYA";"DENYA";"PUGS";0,96;209,9;1;66;134,5;3
