"";"Player";"Team";"R";"ACS";"K.D";"KAST";"ADR";"Elo"
"sScary";"sScary";"BLD";1,14;213,9;1,18;75;139,2;3
"Ace";"Ace";"PHX";1,14;274,5;1,2;73;174,1;3
"BuZz";"BuZz";"DRX";1,14;237,3;1,21;73;149,4;3
"nukkye";"nukkye";"GIA";1,14;248,9;1,22;74;162,2;3
"akz";"akz";"MOX";1,13;206,8;0,97;75;134,5;3
"DaveeyS";"DaveeyS";"KRÜ";1,13;249,6;1,27;75;161,4;3
"Zellsis";"Zellsis";"C9";1,13;231,1;1,14;74;147,3;3
"Laz";"Laz";"ZETA";1,13;231,6;1,24;72;145,9;3
"Jinggg";"Jinggg";"PRX";1,13;256,6;1,2;73;162;3
"mickle";"mickle";"DBC";1,13;188,5;0,77;73;122,5;2
"Maple";"Maple";"ORD";1,13;221,4;1,11;76;144;3
"Alfajer";"Alfajer";"FNC";1,13;240,7;1,22;73;158,8;3
"d4v41";"d4v41";"PRX";1,13;221,6;1,2;75;142;3
"n1zzy";"n1zzy";"FCY";1,13;243,1;1,17;72;154,1;3
"Texta";"Texta";"ORD";1,13;214,8;1,13;73;130,4;3
"LnR";"LnR";"TTW";1,13;224,4;0,96;71;132;3
"aNNja";"aNNja";"GLD.X";1,13;232,3;1,2;73;150,5;3
"rawfiul";"rawfiul";"ENGM";1,13;256,7;1,23;70;161,8;3
"nAts";"nAts";"TL";1,13;226,8;1,23;74;144;3
"Verno";"Verno";"OXGA";1,13;205,7;1,2;74;136,5;3
"Sentinal";"Sentinal";"NHG";1,13;187,4;0,93;80;116,6;2
"mimi";"mimi";"NOR";1,13;219,6;1,23;75;146,1;3
"Chronicle";"Chronicle";"FNC";1,13;227,5;1,17;74;147,5;3
"lauress";"lauress";"PRL";1,13;228,9;1,19;75;149,6;3
"DeepMans";"DeepMans";"PRL";1,13;253,3;1,24;72;161,5;3
"JohnnyP";"JohnnyP";"BW";1,13;226,3;1,17;74;145,9;3
"DraYstaR";"DraYstaR";"YFP";1,13;220,5;1,15;75;144;3
"Demon1";"Demon1";"sqn";1,12;245,3;1,28;73;160,8;3
"DDcream";"DDcream";"Pent";1,12;185,4;0,75;68;127,9;2
"Neex";"Neex";"Unge";1,12;216,2;1,04;73;146,8;3
"HyS";"HyS";"CWE";1,12;234,7;1,2;71;149,8;3
"koalanoob";"koalanoob";NA;1,12;240,1;1,23;71;148,2;3
"ALIVE";"ALIVE";"XL";1,12;233,6;1,16;70;146,9;3
"sheydos";"sheydos";"M3C";1,12;223,1;1,26;75;144,3;3
"kiNgg";"kiNgg";"LEV";1,12;231,9;1,19;74;146,8;3
"keznit";"keznit";"LEV";1,12;260,7;1,21;72;163,6;3
"kamo";"kamo";"DSY";1,12;263,5;1,22;70;172,5;3
"HaReeee";"HaReeee";"RC";1,12;229,2;1,08;69;143,8;3
"Smoggy";"Smoggy";"EDG";1,12;240;1,24;73;155,4;3
"Lakia";"Lakia";"DK";1,12;223,3;1,16;74;142,2;3
"ShoT_UP";"ShoT_UP";"NYFU";1,12;238,3;1,17;72;152,9;3
"al1en";"al1en";"DIA";1,12;208,1;1,1;75;130,7;3
"tokameite";"tokameite";"ANYW";1,12;239;1,09;64;149,2;3
"leaf";"leaf";"C9";1,12;248,4;1,14;71;156,9;3
"Juicy";"Juicy";"BLD";1,12;246;1,22;73;154,9;3
"Pa1ze";"Pa1ze";"EnRo";1,12;259,8;1,18;70;164,8;3
"M1KKET";"M1KKET";"MAJT";1,12;238,4;1,2;75;163,3;3
"nzr";"nzr";"LEV";1,12;219,4;1,23;77;142,6;3
"clear";"clear";"sqn";1,11;246,6;1,24;70;160,6;3
"heat";"heat";"MIBR";1,11;244,2;1,24;70;154,2;3
"eeiu";"eeiu";"NRG";1,11;213,5;1,14;75;142,3;3
"bêk0";"bêk0";"FF.Y";1,11;230,3;1,14;76;147,5;3
"edith";"edith";"GEN.B";1,11;255,2;1,26;70;161,3;3
"DGRj";"DGRj";"KE";1,11;216;1,11;73;136,2;3
"Xure";"Xure";"SPG";1,11;237,7;1,15;72;156,4;3
"mwzera";"mwzera";"FUR";1,11;266,2;1,26;73;167,3;3
"Brookelynn";"Brookelynn";"TMV";1,11;241,9;1,18;71;151,4;3
"Horcus";"Horcus";"AG";1,11;244,1;1,12;69;148,3;3
"Petra";"Petra";"G2.G";1,11;207,1;1,13;75;136,4;3
"crazyguy";"crazyguy";"BLD";1,11;221,3;1,13;74;145,9;3
"florescent";"florescent";"MSF";1,11;268,4;1,19;68;172,5;3
"pancada";"pancada";"SEN";1,11;205,6;1,17;76;132,9;3
"Kylee";"Kylee";"CHK";1,11;237,3;1,24;69;151,5;3
"russ";"russ";"GIA";1,11;231,6;1,17;73;148,9;3
"shishaEva";"shishaEva";"Aeon";1,11;183,1;0,83;74;113,4;2
"PxS";"PxS";"Rise";1,11;250;1,15;72;158,5;3
"Dobsha";"Dobsha";"EXL";1,11;226,2;1,22;71;139,4;3
"zekken";"zekken";"SEN";1,11;236,1;1,16;73;153,6;3
"Fit1nho";"Fit1nho";"GIA";1,11;232,2;1,17;74;144,3;3
"proxima";"proxima";"NAVI.C";1,11;201,2;1,21;76;132,7;3
"Juls";"Juls";"GS";1,11;152,3;0,72;73;104,8;2
"azury";"azury";"CGN";1,11;211,2;1,14;69;135,3;3
"amp";"amp";"Left";1,1;213,4;0,98;64;132,7;3
"didii";"didii";"RBLS";1,1;231,9;1,15;73;154,9;3
"rDeeW";"rDeeW";"BOBO";1,1;218,7;1,18;72;136,8;3
"Jady";"Jady";"BAR";1,1;223,5;1,16;74;143,2;3
"gb";"gb";"Moto";1,1;257,8;1,16;70;153,6;3
"Km3";"Km3";"AWK";1,1;229,6;1,07;68;143;3
"juliano";"juliano";"G2.G";1,1;238,2;1,17;72;155;3
"Tarathiel";"Tarathiel";"JJLF";1,1;205,8;1,12;78;133,4;3
"YESicaN";"YESicaN";"FCY";1,1;212,5;1,09;75;138,4;3
"JAMTER";"JAMTER";"Oxuj";1,1;222,5;1,17;71;146,2;3
"balua";"balua";"GA";1,1;236,3;1,09;73;152,4;3
"SUYGETSU";"SUYGETSU";"NAVI";1,1;210,3;1,17;74;137,4;3
"Xeppaa";"Xeppaa";"C9";1,1;224,2;1,11;75;143,9;3
"xeta";"xeta";"T1";1,1;193,6;1,07;77;126,6;3
"Tacolilla";"Tacolilla";"LEV";1,1;218;1,16;72;136,4;3
"Lime";"Lime";"FKS";1,1;227;1,14;71;147,9;3
"c4Lypso";"c4Lypso";NA;1,1;219,9;1,2;71;139,6;3
"brax";"brax";"T1";1,1;210,8;1,15;75;138,7;3
"Vue3";"Vue3";"BB";1,1;175,4;0,8;77;109,8;2
"toru";"toru";"LAG";1,1;171,7;0,75;68;120,2;2
"skuba";"skuba";"ex-S";1,1;211,8;1,16;74;137,7;3
"eugeneS";"eugeneS";"GR G";1,1;234,8;1,14;72;150,6;3
"BABYBAY";"BABYBAY";"FaZe";1,1;245,3;1,14;71;152,8;3
"Kant";"Kant";"VPZ";1,1;220,7;1;70;148,6;3
"AtaKaptan";"AtaKaptan";"FUT";1,1;213,4;1,06;72;137,7;3
"lil";"lil";"beef";1,1;225;1,11;77;141,8;3
"jON4Y";"jON4Y";"xd";1,1;198,1;0,95;78;131,4;3
"Bazzi";"Bazzi";"GES";1,1;222,2;1,08;72;140,7;3
"Izzy";"Izzy";"SMB";1,09;232,3;1,21;72;146,5;3
"Lmemore";"Lmemore";"RRQ";1,09;217,5;1,13;73;140,9;3
"Warp";"Warp";"3UK2";1,09;217,7;0,9;63;135,6;3
"hoody";"hoody";"GIA";1,09;226,1;1,12;74;143,6;3
"wrld";"wrld";"Fall";1,09;252,8;1,23;71;162,6;3
"SebitA";"SebitA";"Rebi";1,09;264,3;1,17;71;160;3
"DPS";"DPS";"OG";1,09;207,5;1,03;75;133,1;3
"Meiy";"Meiy";"CR";1,09;227,2;1,13;73;142,5;3
"Less";"Less";"LOUD";1,09;211,5;1,16;72;136,8;3
"xms";"xms";"KCORP";1,09;210,3;1,13;73;137;3
"Patiphan";"Patiphan";"TLN";1,09;248,6;1,15;71;153,4;3
"Genghsta";"Genghsta";"PK";1,09;201,8;1,07;76;137,6;3
"Masic";"Masic";"PRL";1,09;227,1;1,17;72;145,7;3
"Wolfen";"Wolfen";"CASE";1,09;228,5;1,1;72;146,4;3
"Autumn";"Autumn";"GOM";1,09;231,6;1,16;72;140,9;3
"Zyppan";"Zyppan";"NAVI";1,09;235,7;1,13;72;150;3
"jzz";"jzz";"MIBR";1,09;248,3;1,14;71;158,3;3
"bdog";"bdog";"SR";1,09;220,4;1,16;71;140,7;3
"tomaszy";"tomaszy";"RBLS";1,09;260,8;1,16;70;170;3
"alvar";"alvar";"FLC";1,09;238,3;1,17;69;151,5;3
"johnqt";"johnqt";"G/B";1,09;205,1;1,14;75;133,9;3
"XXiF";"XXiF";"PK";1,09;214,5;1,1;73;141,2;3
"vo0kashu";"vo0kashu";"RBLS";1,09;225,6;1,15;73;148,2;3
