"";"time1R";"time2R";"time1ACS";"time2ACS";"time1KD";"time2KD";"time1KAST";"time2KAST";"time1ADR";"time2ADR";"ganhador"
"1";0,994;0,886;210,88;190,54;1,024;0,876;70,8;66,4;133,68;123,18;0
"2";0,966666666666667;1,032;212,083333333333;210,46;0,986666666666667;1,072;68,3333333333333;71,8;136,9;133,48;0
"3";1,036;0,976;213,56;194,94;1,082;0,944;72,2;70,8;135,74;126,2;1
"4";1,024;1,034;219,12;215,1;1,092;1,056;71,2;71,2;140,22;138,64;1
"5";0,994;0,966666666666667;210,88;212,083333333333;1,024;0,986666666666667;70,8;68,3333333333333;133,68;136,9;1
"6";0,976;1,034;194,94;215,1;0,944;1,056;70,8;71,2;126,2;138,64;1
"7";0,886;1,032;190,54;210,46;0,876;1,072;66,4;71,8;123,18;133,48;0
"8";1,036;1,024;213,56;219,12;1,082;1,092;72,2;71,2;135,74;140,22;1
"9";1,024;0,994;219,12;210,88;1,092;1,024;71,2;70,8;140,22;133,68;1
"10";0,886;0,976;190,54;194,94;0,876;0,944;66,4;70,8;123,18;126,2;0
"11";1,032;1,036;210,46;213,56;1,072;1,082;71,8;72,2;133,48;135,74;0
"12";1,024;0,976;219,12;194,94;1,092;0,944;71,2;70,8;140,22;126,2;0
"13";1,032;0,976;210,46;194,94;1,072;0,944;71,8;70,8;133,48;126,2;1
