"";"time1";"time2";"ganhador"
"1";1,098;1,066;1
"2";1,074;1,134;2
"3";1,036;1,05;1
"4";1,066;1,072;1
"5";1,066;1,074;1
"6";1,05;1,072;2
"7";1,098;1,134;2
"8";1,036;1,066;1
"9";1,066;1,066;2
"10";1,098;1,072;1
"11";1,134;1,036;1
"12";1,066;1,098;2
"13";1,134;1,036;1
"14";1,036;1,098;1
