"";"time1R";"time2R";"time1ACS";"time2ACS";"time1KD";"time2KD";"time1KAST";"time2KAST";"time1ADR";"time2ADR";"ganhador"
"1";1,028;1,046;210,86;212,54;1,054;1,056;72;71,8;136,8;133,98;1
"2";1,028;1,056;205,12;213,78;1,004;1,054;71,6;72,8;134,08;136,16;0
"3";1,022;0,988;205,44;206,92;1,026;0,992;71,6;69,8;132,04;134,7;1
"4";1,042;1,056;209,72;212,5;1,07;1,05;72,2;72,4;136,14;137,48;0
"5";1,046;1,028;212,54;205,12;1,056;1,004;71,8;71,6;133,98;134,08;1
"6";0,988;1,042;206,92;209,72;0,992;1,07;69,8;72,2;134,7;136,14;0
"7";1,028;1,056;210,86;213,78;1,054;1,054;72;72,8;136,8;136,16;1
"8";1,022;1,056;205,44;212,5;1,026;1,05;71,6;72,4;132,04;137,48;1
"9";1,056;1,046;212,5;212,54;1,05;1,056;72,4;71,8;137,48;133,98;1
"10";1,056;1,042;213,78;209,72;1,054;1,07;72,8;72,2;136,16;136,14;1
"11";1,028;1,022;210,86;205,44;1,054;1,026;72;71,6;136,8;132,04;1
"12";1,056;1,056;212,5;213,78;1,05;1,054;72,4;72,8;137,48;136,16;1
"13";1,028;1,056;210,86;212,5;1,054;1,05;72;72,4;136,8;137,48;0
"14";1,022;1,056;205,44;212,5;1,026;1,05;71,6;72,4;132,04;137,48;0
