"","Data","RW","RL","Adversario","Resultados"
"119",2021-10-28," 5","13","Gen.G Black","Lose"
"120",2021-10-03," 8","13","Cloud9 White","Lose"
"121",2021-07-22," 13","6","Pog Champions","Win"
"122",2021-07-18," 7","13","CLG Red","Lose"
"123",2021-07-18," 15","13","Gen.G Black","Win"
"124",2021-07-17," 13","0","Killer Queens","Win"
"125",2021-06-20," 5","13","Cloud9 White","Lose"
"126",2021-06-19," 13","9","NOTHING2LOSE","Win"
"127",2022-11-20," 2","13","G2 Gozen","Lose"
"128",2022-11-19," 13","5","Team Liquid Brazil","Win"
"129",2022-11-19," 13","9","Cloud9 White","Win"
"130",2022-11-17," 7","13","Team Liquid Brazil","Lose"
"131",2022-11-16," 13","4","Guild X","Win"
"132",2022-10-16," 7","13","Cloud9 White","Lose"
"133",2022-10-15," 4","13","Misfits Black","Lose"
"134",2022-10-06," 13","1","Interstellar","Win"
"135",2022-08-24," 4","13","RILLAS","Lose"
"136",2022-08-24," 13","8","Team Flux","Win"
"137",2022-08-06," 16","14","Native Gaming White","Win"
"138",2022-07-09," 13","7","Cloud9 White","Win"
"139",2022-07-06," 13","11","Ariana Grande Perfume","Win"
"140",2022-05-25," 6","13","New Moon","Lose"
"141",2022-05-25," 9","13","Hyperspace Dark","Lose"
"142",2022-05-25," 3","13","Zero MarksMen Black","Lose"
"143",2022-04-28," 2","13","Nearest Airport","Lose"
"144",2022-04-25," 8","13","Moon Raccoons","Lose"
"145",2022-04-25," 13","7","Zenigma Alpha","Win"
"146",2022-04-25," 13","6","Zenigma Alpha","Win"
"147",2022-04-09," 4","13","Cloud9 White","Lose"
"148",2022-04-06," 9","13","VersionX","Lose"
"149",2022-04-03," 13","3","XSET Purple","Win"
"150",2022-04-01," 13","6","CLG Red","Win"
"151",2022-03-21," 13","11","Run it Down","Win"
"152",2022-03-08," 11","13","Knights Academy","Lose"
"153",2022-02-14," 13","4","Dignitas","Win"
"154",2022-02-06," 13","7","Complexity GX3","Win"
"155",2022-02-01," 3","13","Ghost Gaming","Lose"
"156",2022-02-01," 13","9","afterMath Esports","Win"
"157",2022-01-31," 7","13","Pack a Punch","Lose"
"158",2022-01-27," 13","11","EDO TENSEI","Win"
"159",2021-12-19," 9","13","Froggers","Lose"
"160",2021-12-05," 11","13","XSET Purple","Lose"
"161",2021-12-05," 13","5","VersionX","Win"
"162",2021-12-05," 13","6","TSM X","Win"
"163",2021-11-29," 15","17","TSM X","Lose"
"164",2021-11-27," 13","3","VersionX","Win"
"165",2021-11-27," 13","7","Polaris","Win"
"166",2021-11-26," 5","13","FLICKBAITERS","Lose"
"167",2021-11-26," 7","13","Proximity","Lose"
"168",2021-11-15," 7","13","GunsForHire","Lose"
"169",2021-11-11," 3","13","Actually Homeless","Lose"
"170",2021-11-10," 10","13","Radiance","Lose"
"171",2021-11-08," 7","13","Soniqs","Lose"
"172",2021-11-08," 3","13","Elysium","Lose"
"173",2021-11-04," 15","13","24Haven","Win"
"174",2021-10-23," 8","13","FLICKBAITERS","Lose"
"175",2021-10-14," 2","13","Teal Seam","Lose"
"176",2021-10-03," 10","13","Cloud9 White","Lose"
"177",2021-09-30," 13","6","CLG Red","Win"
"178",2021-09-26," 13","6","CC Angels","Win"
"179",2021-09-26," 13","6","Castaways","Win"
"180",2021-09-25," 6","13","CLG Red","Lose"
"181",2021-09-24," 13","3","Biddies Doin Esports","Win"
"182",2021-09-24," 13","2","Anavrin Esports","Win"
"183",2021-08-22," 13","7","TSM X","Win"
"184",2021-08-22," 13","4","Gen.G Black","Win"
"185",2021-08-21," 13","2","Dommy Mommies Rose","Win"
"186",2021-07-19," 6","13","Professional Malders","Lose"
"187",2021-07-18," 13","15","TSM X","Lose"
"188",2021-07-17," 13","1","Cube Esports Black","Win"
"189",2021-06-26," 9","13","CLG Red","Lose"
"190",2021-06-26," 4","13","Cloud9 White","Lose"
"191",2021-06-25," 13","9","CLG Red","Win"
"192",2021-06-20," 13","1","Gen.G Black","Win"
"193",2022-11-20," 5","13","G2 Gozen","Lose"
"194",2022-10-15," 8","13","Misfits Black","Lose"
"195",2022-10-14," 5","13","Cloud9 White","Lose"
"196",2022-10-12," 13","1","Complexity GX3","Win"
"197",2022-10-08," 13","7","dart monkeys","Win"
"198",2022-07-09," 12","14","Cloud9 White","Lose"
"199",2022-04-09," 12","14","Dignitas","Lose"
"200",2022-04-07," 13","5","Gen.G Black","Win"
"201",2022-03-21," 11","13","Run it Down","Lose"
"202",2022-03-21," 13","9","Highschool Dropouts","Win"
"203",2022-03-21," 11","13","Run it Down","Lose"
"204",2022-02-06," 13","9","Complexity GX3","Win"
"205",2022-02-03," 13","4","Thanos Mug Academy","Win"
"206",2022-02-01," 1","13","Ghost Gaming","Lose"
"207",2022-01-31," 6","13","Pack a Punch","Lose"
"208",2022-01-31," 13","7","afterMath Esports","Win"
"209",2022-01-27," 7","13","XSET","Lose"
"210",2022-01-27," 13","7","EDO TENSEI","Win"
"211",2021-12-05," 13","7","CLG Red","Win"
"212",2021-12-05," 11","13","TSM X","Lose"
"213",2021-12-05," 13","3","VOID","Win"
"214",2021-11-27," 13","15","Polaris","Lose"
"215",2021-09-25," 15","13","CLG Red","Win"
"216",2021-08-22," 13","3","TSM X","Win"
"217",2021-08-21," 13","1","Unbind Crouch","Win"
"218",2021-07-19," 5","13","IlluZion","Lose"
"219",2021-07-18," 13","6","TSM X","Win"
"220",2021-07-18," 13","1","CLG Red","Win"
"221",2021-06-24," 13","7","Dignitas","Win"
"222",2021-06-20," 13","7","Gen.G Black","Win"
"223",2021-06-19," 13","9","NOTHING2LOSE","Win"
"224",2022-11-19," 13","9","Team Liquid Brazil","Win"
"225",2022-11-19," 12","14","Cloud9 White","Lose"
"226",2022-11-17," 13","10","Team Liquid Brazil","Win"
"227",2022-10-15," 13","10","Misfits Black","Win"
"228",2022-10-12," 7","13","Complexity GX3","Lose"
"229",2022-10-12," 13","9","Misfits Black","Win"
"230",2022-08-24," 13","4","RILLAS","Win"
"231",2022-08-06," 13","11","Evil Geniuses GC","Win"
"232",2022-07-09," 11","13","Cloud9 White","Lose"
"233",2022-07-07," 13","7","Cloud9 White","Win"
"234",2022-07-02," 13","9","Complexity GX3","Win"
"235",2022-06-30," 13","9","XSET Purple","Win"
"236",2022-06-30," 13","8","ZMM White","Win"
"237",2022-06-30," 13","0","NPC DD","Win"
"238",2022-04-25," 6","13","Moon Raccoons","Lose"
"239",2022-04-08," 7","13","Cloud9 White","Lose"
"240",2022-04-07," 11","13","Gen.G Black","Lose"
"241",2022-04-06," 14","12","VersionX","Win"
"242",2022-04-03," 13","6","XSET Purple","Win"
"243",2022-04-02," 13","5","Team X","Win"
"244",2022-03-31," 13","6","Man I Love Fwogs","Win"
"245",2022-03-31," 13","2","INSOMNIA","Win"
"246",2022-03-21," 11","13","Run it Down","Lose"
"247",2022-03-21," 13","2","Highschool Dropouts","Win"
"248",2022-02-14," 13","3","Dignitas","Win"
"249",2022-02-13," 13","2","Moon Raccoons Black","Win"
"250",2022-02-01," 13","7","afterMath Esports","Win"
"251",2021-11-12," 4","13","Peek Performance","Lose"
"252",2021-11-10," 13","5","Radiance","Win"
"253",2021-11-04," 13","9","24Haven","Win"
"254",2022-11-20," 13","9","G2 Gozen","Win"
"255",2022-11-18," 13","6","X10 Sapphire","Win"
"256",2022-11-16," 16","14","Guild X","Win"
"257",2022-10-15," 13","11","Misfits Black","Win"
"258",2022-10-12," 11","13","Misfits Black","Lose"
"259",2022-10-09," 13","2","Ariana Grande Perfume","Win"
"260",2022-08-24," 9","13","RILLAS","Lose"
