"","Data","RW","RL","Adversario","Resultados"
"120",2021-09-26," 13","3","Unbind Crouch","Win"
"121",2021-09-25,"13","3","NOTHING2LOSE","Win"
"122",2021-09-24," 13","0","VersionX","Win"
"123",2021-09-24," 13","2","Castaways","Win"
"124",2021-07-22," 14","16","Brimstone Gaming","Lose"
"125",2021-07-22," 13","5","Evolved Gamers","Win"
"126",2021-07-01," 4","13","Luminosity","Lose"
"127",2021-06-26," 13","2","Shopify Rebellion GC","Win"
"128",2021-06-24,"13","5","NOTHING2LOSE","Win"
"129",2021-06-19,"13","1","24Haven","Win"
"130",2021-06-19," 13","2","Team Cyrus","Win"
"131",2021-06-07," 11","13","Brimstone Gaming","Lose"
"132",2021-06-07," 13","11","IlluZion","Win"
"133",2021-05-22," 10","13","BASILISK","Lose"
"134",2021-05-22," 13","5","Team M00N","Win"
"135",2021-05-22," 7","13","BASILISK","Lose"
"136",2021-05-17," 15","13","Icons","Win"
"137",2021-05-10," 10","13","BASILISK","Lose"
"138",2021-05-10," 13","6","Slaughter House","Win"
"139",2021-05-10," 2","13","Goofy Goobers","Lose"
"140",2021-05-03," 11","13","Resonate","Lose"
"141",2021-05-03," 13","9","Take Flyte","Win"
"142",2021-04-01," 13","7","ATK Mode","Win"
"143",2021-03-28," 13","4","CLG Red","Win"
"144",2021-03-27," 15","13","Moon Raccoons Black","Win"
"145",2021-03-26," 13","5","Dignitas","Win"
"146",2021-03-21," 13","2","TSM X","Win"
"147",2021-02-25," 3","13","Demon Time","Lose"
"148",2021-02-25," 13","1","Shoguns","Win"
"149",2021-02-11," 13","7","Lunch Club","Win"
"150",2021-01-28," 10","13","XSET","Lose"
"151",2021-01-27," 13","10","eUnited","Win"
"152",2021-01-19," 13","4","Renegades","Win"
"153",2020-11-28," 7","13","Pyronic","Lose"
"154",2022-05-06," 11","13","Team Mystic","Lose"
"155",2022-05-05,"13","6","TEN-5","Win"
"156",2022-04-28," 13","6","Clanless","Win"
"157",2022-04-07," 13","10","TSM X","Win"
"158",2022-04-06," 13","9","CLG Red","Win"
"159",2022-04-01," 13","8","TSM X","Win"
"160",2022-03-31," 13","0","Team TEA","Win"
"161",2022-01-31," 11","13","Vexo Esports","Lose"
"162",2022-01-31," 13","2","TAMIU","Win"
"163",2022-01-31," 7","13","Vexo Esports","Lose"
"164",2022-01-27," 4","13","SoaR","Lose"
"165",2022-01-27," 8","13","Crownless","Lose"
"166",2021-09-25,"13","2","NOTHING2LOSE","Win"
"167",2021-09-24," 13","6","VersionX","Win"
"168",2021-07-22," 10","13","Brimstone Gaming","Lose"
"169",2021-06-27," 13","11","CLG Red","Win"
"170",2021-06-20," 7","13","Shopify Rebellion GC","Lose"
"171",2021-06-19,"13","3","24Haven","Win"
"172",2021-03-21," 13","8","TSM X","Win"
"173",2021-01-15," 2","13","DREAMLAND","Lose"
"174",2020-11-13," 3","13","The Clappening","Lose"
"175",2020-10-27," 10","13","Slimy Boogermen","Lose"
"176",2020-09-12," 13","2","Sailor Scouts","Win"
"177",2020-09-11," 13","2","Dignitas","Win"
"178",2022-11-15," 13","7","G2 Gozen","Win"
"179",2022-11-15," 13","4","KRÜ Fem","Win"
"180",2022-10-16," 13","6","Shopify Rebellion GC","Win"
"181",2022-10-12," 13","0","XSET Purple","Win"
"182",2022-10-12," 13","2","Immortals","Win"
"183",2022-10-08," 13","6","Immortals","Win"
"184",2022-10-06," 13","1","capybaras","Win"
"185",2022-10-06," 13","4","CATGIRLCARTEL","Win"
"186",2022-09-09," 5","13","The Pig Pen","Lose"
"187",2022-09-09," 13","9","Project VII","Win"
"188",2022-08-26," 13","4","City Boys","Win"
"189",2022-08-24,"13","4","1337","Win"
"190",2022-08-24," 13","11","Team Mystic","Win"
"191",2022-08-16," 10","13","Northern Forces","Lose"
"192",2022-07-09," 13","11","Shopify Rebellion GC","Win"
"193",2022-07-08," 13","2","Sanri-O's","Win"
"194",2022-07-07," 13","7","Shopify Rebellion GC","Win"
"195",2022-07-03," 13","5","Gen.G Black","Win"
"196",2022-05-06," 5","13","DarkZero Esports","Lose"
"197",2022-05-05,"8","13","TEN-5","Lose"
"198",2022-04-28," 13","2","EDO TENSEI","Win"
"199",2022-02-03," 13","5","Neons Ninjas","Win"
"200",2022-01-31," 11","13","Vexo Esports","Lose"
"201",2021-12-13," 10","13","BASILISK","Lose"
"202",2021-12-13," 2","13","Pioneers","Lose"
"203",2021-11-12," 6","13","The Mafia","Lose"
"204",2021-11-11," 8","13","wasd fan club","Lose"
"205",2021-10-03," 13","8","Shopify Rebellion GC","Win"
"206",2021-09-24," 13","0","Castaways","Win"
"207",2021-07-22," 2","13","Evolved Gamers","Lose"
"208",2021-06-27," 13","9","CLG Red","Win"
"209",2021-06-24,"13","1","NOTHING2LOSE","Win"
"210",2021-06-20," 13","5","Shopify Rebellion GC","Win"
"211",2021-06-19," 13","0","Team Cyrus","Win"
"212",2021-06-07," 6","13","Brimstone Gaming","Lose"
