"","Data","RW","RL","Adversario","Resultados"
"115",2021-09-30," 7","13","Rix.GG Lightning","Lose"
"116",2021-09-12," 18","20","Rix.GG Lightning","Lose"
"117",2021-09-04," 13","10","F5","Win"
"118",2021-09-04," 13","4","Finest Female","Win"
"119",2021-08-14," 13","7","Sova Fan Club","Win"
"120",2021-08-14," 13","4","F5","Win"
"121",2021-07-25," 15","13","XSET Female","Win"
"122",2021-07-25," 13","3","Lux Nova","Win"
"123",2021-07-25," 13","6","fReya","Win"
"124",2021-07-25," 13","3","xgod.","Win"
"125",2021-07-11," 13","9","Oxxgen Esports","Win"
"126",2021-07-10," 13","2","Toxic WW3","Win"
"127",2021-07-10," 13","6","AKUNAMATATA","Win"
"128",2021-06-28," 13","11","Judge Rush","Win"
"129",2022-11-16," 4","13","Shopify Rebellion GC","Lose"
"130",2022-10-02," 13","9","G2 Gozen","Win"
"131",2022-10-01," 17","15","Natus Vincere Celestials","Win"
"132",2022-09-30," 14","12","Acend Rising","Win"
"133",2022-09-29," 13","7","G2 Gozen","Win"
"134",2022-09-27," 13","9","BBL Queens","Win"
"135",2022-09-27,"13","9","Into The Breach Prime","Win"
"136",2022-09-20," 1","13","Natus Vincere Celestials","Lose"
"137",2022-09-19," 13","7","99 Problems","Win"
"138",2022-05-08," 10","13","G2 Gozen","Lose"
"139",2022-05-06," 13","11","FUT JEFF","Win"
"140",2022-05-06," 13","6","Supermassive Blaze Female","Win"
"141",2022-05-05," 9","13","G2 Gozen","Lose"
"142",2022-05-02," 13","6","Synergy","Win"
"143",2022-04-25," 13","11","TENSTAR Nova","Win"
"144",2022-02-06," 14","16","G2 Gozen","Lose"
"145",2022-02-05," 10","13","G2 Gozen","Lose"
"146",2022-02-01," 14","12","Rix.GG Lightning","Win"
"147",2022-01-31," 13","1","Finest Female","Win"
"148",2022-01-25," 13","9","Peeposhy","Win"
"149",2022-01-10," 4","13","AXIBYTE ESPORTS","Lose"
"150",2021-11-21," 10","13","G2 Gozen","Lose"
"151",2021-10-28," 13","10","SMARACIS eSports Female","Win"
"152",2021-10-25," 13","3","Steel Tactics","Win"
"153",2021-09-29," 13","3","Bnat Char9i","Win"
"154",2021-09-12," 13","7","TENSTAR Nova","Win"
"155",2021-09-11," 13","9","STELLAR","Win"
"156",2021-09-11,"13","5","The Goose House Lunar","Win"
"157",2021-09-05," 6","13","Oxxgen Esports","Lose"
"158",2021-08-15," 8","13","TENSTAR Nova","Lose"
"159",2021-08-15," 13","5","fReya","Win"
"160",2021-08-14," 13","5","F5","Win"
"161",2021-07-25," 4","13","XSET Female","Lose"
"162",2021-07-11," 13","9","GangsterzZ","Win"
"163",2021-07-10," 11","13","Toxic WW3","Lose"
"164",2022-05-08," 8","13","G2 Gozen","Lose"
"165",2022-05-05," 12","14","G2 Gozen","Lose"
"166",2021-11-21," 7","13","G2 Gozen","Lose"
"167",2021-11-20," 8","13","G2 Gozen","Lose"
"168",2021-11-18," 10","13","SMARACIS eSports Female","Lose"
"169",2021-11-14," 13","10","Supermassive Blaze Female","Win"
"170",2021-11-13," 13","4","ChatBanned","Win"
"171",2021-10-28," 14","16","Rix.GG Lightning","Lose"
"172",2021-10-27," 13","7","ChatBanned","Win"
"173",2021-09-29," 13","1","Bnat Char9i","Win"
"174",2021-09-12," 13","9","Rix.GG Lightning","Win"
"175",2021-09-11," 13","11","TENSTAR Nova","Win"
