"";"time1R";"time2R";"time1ACS";"time2ACS";"time1KD";"time2KD";"time1KAST";"time2KAST";"time1ADR";"time2ADR";"ganhador"
"1";1,028;1,046;210,86;212,48;1,054;1,056;72;71,8;136,8;133,98;1
"2";1,03;1,062;204,74;214,14;1,01;1,058;71,6;72,8;133,76;136,28;0
"3";1,022;0,988;205,44;206,92;1,026;0,992;71,6;69,8;132,04;134,7;1
"4";1,044;1,056;207,66;212,62;1,066;1,052;72,4;72,4;132,92;137,46;0
"5";1,046;1,03;212,48;204,74;1,056;1,01;71,8;71,6;133,98;133,76;1
"6";0,988;1,044;206,92;207,66;0,992;1,066;69,8;72,4;134,7;132,92;0
"7";1,028;1,062;210,86;214,14;1,054;1,058;72;72,8;136,8;136,28;1
"8";1,022;1,056;205,44;212,62;1,026;1,052;71,6;72,4;132,04;137,46;1
"9";1,056;1,046;212,62;212,48;1,052;1,056;72,4;71,8;137,46;133,98;1
"10";1,062;1,044;214,14;207,66;1,058;1,066;72,8;72,4;136,28;132,92;1
"11";1,028;1,022;210,86;205,44;1,054;1,026;72;71,6;136,8;132,04;1
"12";1,056;1,062;212,62;214,14;1,052;1,058;72,4;72,8;137,46;136,28;1
"13";1,028;1,056;210,86;212,62;1,054;1,052;72;72,4;136,8;137,46;0
"14";1,022;1,056;205,44;212,62;1,026;1,052;71,6;72,4;132,04;137,46;0
