"";"time1R";"time2R";"time1ACS";"time2ACS";"time1KD";"time2KD";"time1KAST";"time2KAST";"time1ADR";"time2ADR";"ganhador"
"1";1,06;1,136;208,94;221,22;1,07;1,168;73;75,6;135,32;145,08;1
"2";1,09;0,984;214,86;200,96;1,138;0,98;74,2;71,2;141,2;129,7;1
"3";1,098;0,962;227,38;203,68;1,156;0,96;72,2;69,4;147,88;133,3;0
"4";0,798;1,082;175,82;213,02;0,748;1,116;63,4;73;117,1;137,36;0
"5";1,136;0,984;221,22;200,96;1,168;0,98;75,6;71,2;145,08;129,7;0
"6";1,098;0,798;227,38;175,82;1,156;0,748;72,2;63,4;147,88;117,1;1
"7";1,06;1,09;208,94;214,86;1,07;1,138;73;74,2;135,32;141,2;0
"8";0,962;1,082;203,68;213,02;0,96;1,116;69,4;73;133,3;137,36;0
"9";0,962;0,984;203,68;200,96;0,96;0,98;69,4;71,2;133,3;129,7;1
"10";1,06;1,098;208,94;227,38;1,07;1,156;73;72,2;135,32;147,88;1
"11";1,09;1,082;214,86;213,02;1,138;1,116;74,2;73;141,2;137,36;1
"12";0,962;1,06;203,68;208,94;0,96;1,07;69,4;73;133,3;135,32;1
"13";1,09;0,962;214,86;203,68;1,138;0,96;74,2;69,4;141,2;133,3;1
"14";1,082;0,962;213,02;203,68;1,116;0,96;73;69,4;137,36;133,3;0
