"";"RND_diff";"R_diff";"ACS_diff";"KAST_diff";"KD_diff";"ADR_diff";"KPR_diff";"APR_diff";"FKPR_diff";"FDPR_diff";"K_diff";"D_diff";"A_diff";"FK_diff";"FD_diff";"ganhador"
"323";-347,396;0,002;-5,43800000000002;1,8;0,012;-0,548000000000002;-0,024;0,012;-0,018;-0,01;-271,506;-245,764;-102,794;-46,99;-35,284;"0"
"324";-169,088;0,012;-6,08000000000001;2,40000000000001;-0,002;-6,65799999999999;-0,02;0,016;-0,014;-0,002;-172,088;-128,692;-16,97;-50,752;-22,93;"1"
"325";-244,31;0,03;-5,71199999999999;1;0,00600000000000001;-1,148;-0,012;0,024;-0,022;-0,018;-199,644;-186,372;-41,246;-47,996;-40,664;"0"
"326";1011,244;0,162;16,922;7;0,192;1,81;0,0679999999999999;0,05;0,00800000000000001;0,00600000000000001;746,608;686,602;271,084;102,826;95,098;"1"
"327";-413,398;0,042;-11,792;3,40000000000001;0,004;-7,80599999999998;-0,032;0,04;-0,036;-0,02;-371,732;-315,064;-58,216;-98,748;-63,594;"0"
"328";-460,87;-0,018;-3,322;-1,59999999999999;-0,026;-2,714;-0,016;-0,016;0;-0,002;-328,886;-305,112;-154,872;-36,732;-37,238;"0"
"329";-76,8040000000001;-0,018;-9,05799999999999;-1;-0,0660000000000001;-3,396;-0,0399999999999999;0,032;-0,016;-0,004;-89,946;-65,01;42,97;-43,96;-27,744;"0"
"330";-300,354;0,154;42,292;5;0,23;24,12;0,144;-0,002;0,054;0,004;-131,316;-188,438;-165,638;11,344;-5,71799999999999;"1"
"331";1042,91;0,016;-1,428;0,799999999999997;-0,004;-2,654;-0,004;0,016;0,004;0,00599999999999999;737,136;683,634;349,146;112,064;104,118;"0"
"332";1007,682;0,152;16,37;6,60000000000001;0,188;2,15800000000002;0,0679999999999999;0,046;0,012;0;746,546;682,284;269,322;104,168;93,964;"1"
"333";414,67;-0,036;11,534;-3,40000000000001;-0,002;7,63800000000001;0,028;-0,04;0,036;0,02;369,39;314,752;58,852;98,094;63,866;"0"
"334";-225,804;-0,154;-38,164;-4,59999999999999;-0,258;-24,264;-0,134;-0,018;-0,00800000000000001;-0,016;-234,076;-139,792;-77,914;-28,966;-19,784;"0"
"335";-652,876;0,036;13,632;-1,39999999999999;0,0980000000000001;12,544;0,052;0,00799999999999995;0,02;0,002;-486,744;-426,028;-178,598;-74,844;-62,704;"0"
"336";166,096;0,0639999999999998;15,696;1,40000000000001;0,104;8,50199999999998;0,0680000000000001;-0,004;-0,00600000000000001;-0,012;161,464;106,054;43,66;12,098;10,442;"1"
"337";151,152;0,0319999999999998;-9,494;1,39999999999999;0,04;-7,142;-0,022;-0,004;-0,014;-0,01;79,684;69,266;56,25;3,634;4,938;"1"
