"";"RND_diff";"R_diff";"ACS_diff";"KAST_diff";"KD_diff";"ADR_diff";"KPR_diff";"APR_diff";"FKPR_diff";"FDPR_diff";"K_diff";"D_diff";"A_diff";"FK_diff";"FD_diff";"ganhador"
"439";-255,618;-0,0799999999999998;-0,207999999999998;-1,8;-0,0619999999999998;0,635999999999996;0,00600000000000001;0,018;-0,012;0,00600000000000001;-182,428;-119,598;-52,514;-27,786;-10,104;"0"
"440";-368,65;-0,004;-10,468;1,40000000000001;-0,026;-4,65799999999999;-0,0319999999999999;0,04;-0,03;-0,012;-332,628;-240,558;-38,96;-78,168;-47,43;"1"
"441";-974,402;-0,01;-6,114;0,400000000000006;-0,012;-2,01400000000001;-0,026;0,046;-0,028;-0,018;-923,048;-690,046;-82,0479999999999;-213,968;-108,26;"1"
"442";-683,054;-0,222;-36,672;-6;-0,332;-21,796;-0,144;0;-0,054;-0,00399999999999999;-587,104;-465,746;-166,09;-119,822;-89,842;"0"
"443";-410,786;0,052;7;3,40000000000001;0,048;5,124;0,032;-0,002;0,002;0;-318,032;-286,44;-94,692;-63,21;-53,51;"0"
"444";-1326,964;-0,032;-8,63999999999999;-1,40000000000001;-0,0679999999999998;-4,94999999999999;-0,02;-0,004;0;0,00799999999999999;-1036,768;-853,902;-375,674;-157,97;-117,34;"0"
"445";699,01;0,0780000000000001;15,438;2,60000000000001;0,102;8,77400000000002;0,056;-0,036;0,024;0,016;600,494;469,478;115,83;108,556;77,826;"1"
"446";-55,608;0,136;4,476;5;0,196;7,93000000000001;0,026;0,032;0,002;-0,016;-38,532;-53,072;-11,818;-9,634;-8,1;"1"
"447";348,692;-0,00800000000000001;-2,77199999999999;-0,600000000000009;-0,014;-1,208;-0,00800000000000001;0,00599999999999995;-0,00600000000000001;-0,00599999999999999;241,106;235,174;122,428;23,206;16,604;"1"
"448";93,2619999999999;-0,022;3,24200000000002;-0,799999999999997;0,0359999999999998;-2,80000000000001;0,014;-0,038;0,014;0,018;101,182;61,5;-48,768;53,06;26,22;"0"
"449";139,496;-0,05;-2,13400000000001;-1;0,002;-1,928;-0,002;-0,04;0;0,00600000000000001;74,914;73,982;-23,688;-10,608;1,34999999999999;"0"
"450";517,592;0,032;-7,50399999999999;2;-0,018;-2,78999999999999;-0,028;-0,004;-0,004;-0,00399999999999999;240,004;250,82;238,578;-19,702;-16,662;"0"
"451";-173,052;0,036;5,202;-0,199999999999989;0,038;4,36799999999999;0,014;-0,022;0;-0,00599999999999999;-121,366;-115,816;-51,91;-13,212;-13,042;"0"
"452";-569,376;0,012;-9,202;-0,199999999999989;-0,0499999999999998;-5,03;-0,036;0,026;-0,012;-0,00600000000000001;-456,132;-381,366;-129,57;-48,35;-36,91;"0"
"453";-5,708;0,182;30,67;3,39999999999999;0,3;19,698;0,114;-0,002;0,02;0,004;31,272;-18,8;-0,950000000000003;6,472;2,222;"0"
"454";494,16;0,044;-0,629999999999995;0,599999999999994;0,0660000000000001;1,40199999999999;0,00600000000000001;0,014;-0,012;-0,028;334,956;298,476;184,58;19,368;5,89399999999999;"0"
"455";-453,724;0,016;2,828;0,399999999999991;-0,016;3,62200000000001;0,014;0,014;0,002;0,00599999999999999;-372,822;-301,58;-61,752;-66,934;-53,51;"0"
"456";425,26;0,036;-8,02799999999999;1,80000000000001;0,032;-4,52199999999999;-0,028;0,03;-0,028;-0,022;318,508;276,354;119,594;36,714;36,75;"1"
"457";-363,844;-0,024;-1,43600000000001;-1;-0,04;1,27000000000001;-0,016;0,018;0,01;0,00600000000000001;-295,552;-255,804;-58,934;-40,176;-28,654;"0"
"458";-409,444;-0,0640000000000001;-6,05199999999999;-2,39999999999999;-0,0739999999999998;-2,75200000000001;-0,02;0,00600000000000001;0,00799999999999999;0,00399999999999999;-325,744;-260,87;-96,884;-37,764;-34,896;"0"
"459";321,646;0,0640000000000001;2,30199999999999;1,8;0,0720000000000001;2,60799999999998;0,012;0,012;-0,00600000000000001;-0,016;249,238;215,234;84,72;35,348;33,462;"1"
"460";161,954;0,028;8,49599999999998;0,400000000000006;0,0760000000000001;3,816;0,036;-0,026;0,022;0,00599999999999999;216,456;132,552;-7,44;96,392;60,54;"1"
"461";454,504;-0,154;-8,608;-8,2;-0,042;-3,75800000000001;-0,0379999999999999;0,00600000000000001;0;0,014;322,612;313;111,964;65,53;56,362;"1"
"462";593,77;0,0259999999999998;-6,63800000000001;1,40000000000001;0;-3,958;-0,0279999999999999;0,058;0,002;0,002;460,186;391,88;221,756;81,152;70,898;"1"
"463";101,754;-0,0660000000000001;-14,108;-0,400000000000006;-0,05;-9,84999999999999;-0,044;0,016;-0,032;-0,024;37,018;46,998;52,924;-19,578;-14,598;"1"
"464";-723,194;-0,026;-10,01;-1,40000000000001;-0,02;-3,55600000000001;-0,044;0,018;-0,016;-0,014;-614,622;-546,146;-156,334;-136,448;-109,608;"0"
"465";782,798;0,052;13,332;0,799999999999997;0,0839999999999999;5,55200000000002;0,05;-0,05;0,024;0,00600000000000001;718,372;538,93;137,394;145,92;100,192;"1"
"466";187,568;0,04;20,922;0,599999999999994;0,108;14,508;0,0760000000000001;-0,104;0,032;0,018;171,446;140,992;8,032;49,432;35,918;"1"
"467";-1755,472;-0,0820000000000001;-16,61;-0,200000000000003;-0,132;-7,994;-0,0620000000000001;0,068;-0,028;-0,00600000000000001;-1598,598;-1202,324;-264,55;-317,056;-228,454;"0"
"468";1027,912;0,02;-7,07999999999998;2;-0,00800000000000001;-3,91;-0,0099999999999999;-0,00800000000000001;-0,018;-0,012;899,666;697,99;212,218;133,506;52,862;"1"
"469";-217,662;0,102;-3,494;4,40000000000001;0,0759999999999998;-3,274;-0,002;0,02;-0,00600000000000001;-0,00800000000000001;-146,77;-164,994;-38,078;-17,098;-14,58;"1"
"470";1297,986;0,0999999999999999;9,70999999999998;3;0,122;5,66200000000001;0,042;0;0,00399999999999999;-0,01;1206,196;821,924;288,944;227,504;124,836;"1"
"471";785,596;0,0660000000000001;-11,836;4,60000000000001;0,038;-6,54599999999999;-0,032;0,012;-0,028;-0,032;521,62;405,778;228,208;1,84799999999998;-7,01400000000001;"1"
"472";-268,526;0,00600000000000001;9,09599999999998;-0,199999999999989;0;4,92;0,00800000000000001;-0,038;0,026;0,028;-180,386;-185,612;-90,284;-15,996;-17,16;"0"
"473";-99,6419999999998;-0,028;-5,61599999999999;-1,2;-0,0399999999999998;-0,0480000000000018;-0,022;0,028;-0,02;-0,002;-114,864;-76;71,958;-72,238;-34,172;"0"
"474";-249,998;0,032;-0,271999999999991;2,8;0,004;2,70000000000002;-0,004;0,036;-0,018;-0,014;-217,33;-185,76;-20,638;-60,612;-45,624;"1"
"475";-299,328;-0,076;-12,718;-3,2;-0,0880000000000001;-9,42599999999999;-0,0519999999999999;-0,01;-0,00799999999999999;-0,00800000000000001;-253,712;-201,296;-71,014;-38,194;-33,984;"0"
"476";-118,038;-0,044;-1,25199999999998;-0,799999999999997;-0,0720000000000001;-2,11000000000001;-0,014;0;0,01;0,022;-70,818;-44,404;-54,304;6,892;14,694;"1"
"477";195,012;-0,0199999999999998;5,554;-1,40000000000001;0;-1,01400000000001;0,014;-0,05;0,00799999999999999;0,002;148,952;136,322;39,938;17,638;13,512;"1"
"478";-227,034;0,002;-9,75400000000002;4,2;-0,0840000000000001;-2,93799999999999;-0,044;0,096;-0,028;-0,012;-186,222;-159,756;-23,788;-38,292;-31,302;"1"
"479";416,754;0,188;7,68199999999999;10,4;0,0740000000000001;4,43600000000001;0,03;0,024;0;-0,002;231,834;255,154;114,686;6,11000000000001;28,476;"1"
"480";-47,722;0,0660000000000001;4,37;2,8;0,048;2,09;0,00600000000000001;0,046;0,00600000000000001;0,01;-33,934;-41,388;9,25999999999999;-1,214;-1,738;"1"
"481";305,994;0,054;-0,345999999999975;2,40000000000001;0,0740000000000001;-2,92400000000001;0,012;-0,022;-0,004;-0,002;286,958;191,124;-17,52;62,46;46,12;"1"
"482";328,184;-0,038;-4,73600000000002;-2,2;0,004;-2,22;-0,024;0,058;-0,028;-0,022;205,18;164,882;163,378;-31,154;-21,506;"1"
"483";132,254;-0,014;-9,68199999999999;1,8;-0,032;-5,40000000000001;-0,038;0,036;-0,016;-0,018;74,772;76,212;41,87;6,30399999999999;5,162;"0"
"484";-1456,792;-0,12;-5,16;-4,40000000000001;-0,118;-2,13400000000001;-0,022;-0,04;0,002;0,02;-1166,548;-990,53;-402,438;-197,022;-160,172;"0"
"485";-429,914;-0,142;-15,172;-4,60000000000001;-0,148;-10,714;-0,056;-0,004;-0,014;0,014;-307,708;-284,284;-158,414;-36,106;-34,676;"0"
"486";-470,662;-0,04;-13,186;-1,19999999999999;-0,0820000000000001;-7,63400000000001;-0,046;0,01;-0,002;0,00399999999999999;-418,952;-319,462;-91,474;-75,564;-53,114;"0"
"487";860,678;-0,038;-0,287999999999982;-3,40000000000001;-0,044;0,698000000000008;0,004;-0,058;0,022;0,022;639,742;613,66;137,784;134,328;105,288;"0"
"488";-180,298;-0,018;-1,762;-0,799999999999997;0,0379999999999998;-2,89800000000002;-0,002;-0,038;0,00800000000000001;0,01;-155,748;-163,648;-79,764;-29,422;-22,818;"1"
"489";279,624;0,01;7,86199999999999;0,400000000000006;0,056;4,45600000000002;0,024;0,00800000000000001;-0,01;-0,014;215,088;160,482;120,424;-11,516;-11,086;"0"
"490";-185,108;0,0740000000000001;1,114;3,2;0,002;0,336000000000013;0,004;0,024;0,002;0,004;-146,164;-114,03;-54,112;-17,412;-13,672;"1"
"491";54,8340000000001;-0,022;11,3;-2,40000000000001;-0,018;4,446;0,038;-0,04;0,042;0,038;77,2499999999999;65,976;-27,166;50,676;33,786;"1"
"492";-826,572;-0,15;-21,862;-3,60000000000001;-0,232;-11,328;-0,0920000000000001;0,038;-0,00399999999999999;0,024;-754,138;-538,328;-166,972;-128,156;-79,65;"0"
"493";-932,204;-0,012;15,554;-1,40000000000001;-0,03;10,306;0,038;0,026;0,028;0,028;-713,458;-584,638;-201,374;-98,148;-67,064;"0"
"494";-487,538;0,102;6,488;-1,8;0,0780000000000001;7,03200000000001;0,0419999999999999;-0,012;-0,00199999999999999;-0,01;-345,084;-348,218;-118,396;-74,21;-60,874;"0"
"495";-441,386;0,0980000000000001;0,210000000000008;3,40000000000001;0,112;-1,614;0,00800000000000001;0,00800000000000001;-0,012;-0,028;-359,474;-340,15;-67,916;-87,136;-80,034;"0"
"496";22,186;-0,086;-10,924;-5,19999999999999;-0,118;-6,614;-0,022;-0,098;0,016;0,016;17,348;21,834;-4,888;5,81;6,652;"0"
"497";-380,094;-0,024;-0,00200000000000955;-0,399999999999991;-0,012;-2,29400000000001;0,012;-0,032;0,00199999999999999;-0,002;-257,146;-212,39;-180,178;-26,656;-22,774;"1"
"498";286,798;0,038;9,22800000000001;0,799999999999997;0,0720000000000001;3,95999999999998;0,044;-0,056;0,024;0,016;257,864;202,618;21,834;66,844;46,518;"1"
"499";449,97;0,13;14,604;6,2;0,124;9,60400000000001;0,0439999999999999;0,004;0,016;-0,01;331,19;277,796;119,47;47,116;35,766;"1"
"500";316,87;0,0979999999999999;16,176;3,40000000000001;0,106;9,45400000000001;0,044;0,038;0,00800000000000001;-0,002;341,652;202,51;69,076;83,458;60,8;"1"
"501";-129,064;-0,036;-10,862;-1;-0,0740000000000001;-6,78399999999999;-0,056;0,02;-0,018;-0,00599999999999999;-125,818;-100,75;-16,564;-34,1;-24,124;"0"
"502";175,57;0,018;4,71799999999999;0,200000000000003;-0,02;1,554;0,01;-0,004;0,012;0,018;145,612;141,488;48,884;35,676;36,092;"1"
"503";-245,12;0,186;19,516;14,2;0,082;12,7;0,0599999999999999;0,086;0,004;-0,002;-163,922;-158,644;-57,416;-15,138;-14,72;"1"
"504";762,5;-0,004;12,162;-0,200000000000003;0,0840000000000001;9,43999999999998;0,048;-0,062;0,01;0,004;580,832;480,732;211,562;59,886;49,238;"1"
"505";368,112;-0,002;8,56799999999998;0,399999999999991;0,01;2,31200000000001;0,026;-0,00600000000000001;0,016;0,012;340,806;259,128;50,674;63,778;45,23;"1"
"506";-413,45;0,0600000000000001;8,036;1,8;0,046;5,566;0,0339999999999999;0,026;-0,01;-0,016;-230,204;-252,592;-117,986;-21,896;-26,012;"1"
"507";184,608;0,114;9,61600000000001;4,60000000000001;0,0959999999999999;4,58000000000001;0,022;0,06;0,00799999999999999;0,00600000000000001;202,388;115,406;93,796;62,038;48,752;"1"
"508";971,702;-0,036;4,54400000000001;-0,800000000000011;-0,04;-0,22999999999999;0,00600000000000001;-0,00600000000000001;0,018;0,024;780,614;679,786;189,912;161,794;118,804;"1"
"509";118,682;-0,03;-9,21000000000001;0;-0,0760000000000001;-5,09199999999998;-0,032;0,044;-0,022;-0,018;67,084;98,57;98,79;5,04600000000001;12,544;"0"
"510";-105,288;-0,144;1,458;-5,59999999999999;-0,132;2,03800000000001;0;-0,068;0,016;0,038;-101,828;-38,472;-71,234;-6,79;3,27;"0"
"511";251,194;-0,0700000000000001;-8,01999999999998;-4,59999999999999;0,012;-3,94800000000001;-0,03;-0,002;-0,01;-0,004;157,406;130,094;66,164;2,126;2,848;"1"
"512";603,22;0,046;9,84800000000001;1,2;0,12;4,52599999999998;0,046;-0,042;0,00600000000000001;-0,012;574,11;393,432;86,586;111,858;64,57;"1"
"513";-137,362;-0,02;1,714;-1,40000000000001;-0,00800000000000001;2,76599999999999;0,014;0,014;-0,01;-0,00199999999999999;-194,764;-87,4939999999999;21,356;-77,334;-39,832;"0"
"514";-1149,162;-0,05;-2,14599999999999;-2,8;-0,042;0,684000000000026;-0,00600000000000001;-0,028;0;0,004;-927,814;-786,592;-321,636;-163,186;-128,57;"1"
"515";-1053,87;-0,0700000000000001;-2,23000000000002;-2,59999999999999;-0,108;-3,08600000000001;-0,02;-0,012;0,018;0,022;-817,994;-662,232;-254,264;-114,29;-97,402;"0"
"516";1062,716;0,18;28,144;5;0,26;17,922;0,0960000000000001;0,034;0,00599999999999999;-0,026;799,304;622,552;405,966;81,728;54,794;"1"
"517";-430,47;-0,01;8,94399999999999;-2,59999999999999;-0,00600000000000001;4,88;0,032;-0,014;0,002;0,014;-379,818;-283,13;-92,726;-81,55;-51,608;"0"
"518";-1000,048;-0,134;-23,128;-5,60000000000001;-0,158;-10,716;-0,0780000000000001;-0,038;-0,02;0;-1057,212;-691,34;-163,418;-249,114;-157,726;"0"
"519";-226,036;-0,018;-8,55599999999998;2;-0,0940000000000001;-4,36800000000002;-0,046;0,058;-0,01;-0,00199999999999999;-187,526;-141,186;-20,71;-26,318;-19,97;"0"
"520";-7,47400000000005;-0,098;-1,81800000000001;-7,8;-0,024;-2,84200000000001;-0,014;-0,018;-0,01;-0,00599999999999999;10,418;1,75199999999995;-16,054;13,246;15,706;"0"
"521";21,192;0,0660000000000001;14,256;0;0,104;11,09;0,0580000000000001;-0,054;0,018;0,004;108,444;15,506;-103,406;42,308;24,452;"1"
"522";-924,764;-0,11;-26,424;-2,2;-0,174;-14,22;-0,096;0,044;-0,032;-0,016;-748,838;-633,558;-176,254;-143,862;-107,626;"0"
"523";-138,464;-0,078;-3,87;-4,40000000000001;-0,052;-2,92599999999999;-0,018;-0,014;0,018;0,018;-107,266;-103,36;-51,002;-18,666;-23,916;"0"
"524";90,8119999999999;-0,052;-13,966;-1,19999999999999;-0,0640000000000001;-8,52199999999999;-0,0620000000000001;0,00600000000000001;-0,02;-0,018;-46,01;9,60799999999995;46,698;-46,496;-44,18;"0"
"525";-195,998;-0,016;11,746;-2,80000000000001;0,0900000000000001;5,60999999999999;0,0439999999999999;0,01;0,014;0,002;-1,11400000000003;-129,52;-76,3380000000001;50,676;2,816;"1"
"526";438,63;0,0660000000000001;8,476;1,8;0,132;5,71199999999999;0,036;-0,026;0,014;0,01;376,056;256,076;82,904;61,078;51,066;"1"
"527";-1218,778;-0,028;3,946;-2,8;0,014;2,40600000000001;0,016;-0,046;0,016;0,01;-888,226;-793,568;-418,262;-106,642;-86,646;"0"
"528";-322,192;-0,052;0,888000000000005;-3,59999999999999;-0,038;1,22200000000001;-0,012;-0,00800000000000001;0,004;0,00599999999999999;-245,08;-208,198;-77,382;-33,834;-25,71;"0"
"529";251,352;0,026;-2,41000000000003;1,2;0,0660000000000001;-0,20999999999998;-0,00800000000000001;0,00800000000000001;-0,00799999999999998;-0,01;180,898;112,01;58,1;35,608;23,068;"0"
"530";658,404;0,0760000000000001;8,41200000000001;2;0,112;2,92400000000001;0,036;-0,016;-0,014;-0,016;539,926;437,32;136,706;82,828;67,394;"0"
"531";332,088;-0,0780000000000001;-7,22200000000001;-3,59999999999999;-0,0720000000000001;-2,11999999999998;-0,024;0,024;-0,012;0,002;149,764;218,258;148,162;13,964;25,5;"1"
"532";-526,528;-0,0659999999999999;-7,55599999999998;-4,59999999999999;-0,036;-5,938;-0,0239999999999999;-0,05;-0,002;-0,012;-467,268;-367,078;-127,496;-96,59;-77,604;"0"
"533";372,998;0,0359999999999998;-15,082;1;-0,03;-7,434;-0,0519999999999999;0,022;-0,024;-0,018;232,39;214,628;122,738;11,668;18,058;"1"
"534";205,094;-0,168;-5,37;-10,2;-0,0700000000000001;-6,006;-0,028;-0,036;0,00799999999999999;0,012;281,026;183,174;-4,286;96,216;59,176;"1"
"535";-661,404;-0,13;-4,65600000000001;-7,40000000000001;-0,1;-1,02800000000002;-0,014;-0,032;-0,002;0,028;-451,992;-435,126;-270,764;-58,15;-53,49;"1"
"536";-466,384;-0,028;23,392;-3,2;0,0259999999999998;9,696;0,0800000000000001;-0,042;0,032;0,032;-232,008;-221,872;-233,706;2,744;9,70399999999999;"1"
"537";-65,39;0,024;-0,204000000000008;3,80000000000001;-0,0680000000000001;1,14600000000002;-0,004;0,052;-0,00800000000000001;0,01;-54,4359999999999;-21,272;27,958;-14,582;-0,240000000000009;"0"
"538";1153,192;0,152;11,154;5;0,196;7,20200000000003;0,046;0,036;0,00199999999999999;-0,032;852,956;685,912;422,238;91,37;57,544;"1"
"539";12,05;-0,104;-18,054;-2;-0,156;-12,488;-0,0660000000000001;-0,02;-0,018;0,01;-38,676;35,3240000000001;-17,19;-8,88;16,43;"0"
"540";-436,882;-0,122;-15,7;-2,2;-0,158;-10,636;-0,0580000000000001;0,012;0;0,02;-370,964;-263,222;-109,056;-50,546;-32,136;"0"
"541";294,388;-0,012;-14,176;1,19999999999999;-0,0599999999999998;-6,50200000000001;-0,044;0,046;-0,014;-0,014;95,53;176,448;247,564;-49,04;-31,464;"1"
"542";-600,814;0,038;3,57599999999999;0,799999999999997;0,026;4,78799999999998;0,014;-0,012;-0,004;-0,00800000000000001;-401,632;-427,96;-169,666;-56,13;-65,074;"1"
"543";-313,976;-0,012;-7,93199999999999;1,8;-0,0539999999999998;-4,90000000000001;-0,016;-0,002;-0,00600000000000001;-0,014;-290,756;-204,95;-64,142;-57,188;-52,906;"1"
"544";-395,01;-0,048;-14,034;0,400000000000006;-0,126;-7,09800000000001;-0,0580000000000001;0,028;-0,012;0,00599999999999999;-316,226;-252,652;-93,438;-49,492;-40,11;"1"
"545";807,04;-0,03;-10,88;-0,399999999999991;-0,0700000000000001;-6,292;-0,054;0,014;-0,03;-0,018;556,774;525,804;198,198;57,616;46,402;"0"
"546";-55,89;0,0599999999999998;1,816;1,40000000000001;0,016;2,05600000000001;-0,018;0,042;-0,004;-0,00799999999999999;-103,12;-67,78;46,632;-24,832;-22,598;"1"
"547";105,078;-0,162;-15,35;-7,4;-0,108;-9,74799999999999;-0,0580000000000001;-0,01;-0,026;-0,00399999999999999;79,6420000000001;75,762;9,042;15,01;21,346;"0"
"548";807,858;-0,024;4,97399999999999;-1;-0,04;3,23400000000001;0,00600000000000001;0,012;0,00600000000000001;0,02;616,91;571,018;289,704;72,27;86,18;"1"
"549";-373,794;-0,12;-16,802;-2,2;-0,132;-9,38600000000001;-0,07;0,00800000000000001;-0,00799999999999999;0,01;-283,854;-254,202;-94,338;-44,494;-36,598;"0"
"550";22,0260000000001;-0,056;-12,07;-1,59999999999999;-0,0619999999999998;-7,84200000000001;-0,044;-0,054;-0,002;0,002;-3,94000000000005;39,586;-131,486;39,728;41,57;"0"
"551";345,84;-0,00800000000000001;14,962;-2,8;-0,054;8,58599999999998;0,0459999999999999;-0,07;0,032;0,02;487,262;368,992;-82,474;171,776;99,85;"0"
"552";243,746;0,0499999999999999;5,352;2,8;0,032;2,96600000000001;0,018;-0,00999999999999995;0,016;0,00399999999999999;188,758;186,942;57,614;49,278;45,634;"0"
"553";-449,41;-0,132;-25,618;-2,2;-0,184;-15,334;-0,0860000000000001;0,018;-0,022;0,00399999999999999;-399,314;-279,966;-99,892;-72,32;-50,41;"0"
"554";591,294;-0,02;1,21799999999999;-2,39999999999999;0,042;-2,20599999999999;0,00800000000000001;0,00600000000000001;0,018;0,00600000000000001;435,472;372,63;113,424;96,074;78,82;"0"
"555";-453,524;-0,134;-18,108;-3,40000000000001;-0,12;-8,46200000000002;-0,0599999999999999;-0,05;-0,002;0,028;-368,306;-332,784;-127,47;-71,352;-56,122;"0"
"556";667,966;0,144;15,112;5,8;0,142;11,382;0,04;0,062;-0,00800000000000001;-0,018;487,588;367,646;312,976;33,258;14,376;"1"
"557";242,548;-0,002;-10,88;1,40000000000001;-0,0519999999999998;-3,09999999999999;-0,036;0,024;-0,022;-0,018;178,342;168,274;66,234;18,738;7,68600000000001;"0"
"558";-354,262;0,022;10,266;0;0,0319999999999998;5,934;0,032;0,012;0,016;0,002;-220,248;-209,93;-58,832;-25,898;-41,562;"1"
"559";-520,718;-0,216;-23,026;-9,40000000000001;-0,198;-13,878;-0,0880000000000001;-0,02;-0,028;-0,012;-448,46;-329,82;-130,998;-74,53;-56,572;"0"
"560";606,586;0,05;5,60999999999999;1,2;0,0620000000000001;-0,246000000000009;0,004;0,038;0,02;-0,012;411,932;394,774;248,48;51,668;44,014;"0"
"561";-497,46;0,146;7,464;6;0,108;5,31799999999998;0,032;0,024;-0,004;-0,00800000000000001;-300,708;-374,466;-143,156;-37,638;-31,914;"1"
"562";219,03;0,0980000000000001;9,47400000000002;3,8;0,108;4,292;0,046;-0,004;0,014;-0,00599999999999999;182,242;140,254;54,114;33,134;21,396;"1"
"563";-389,004;-0,0620000000000001;0,0640000000000214;-2,40000000000001;-0,056;-0,22999999999999;-0,002;-0,014;0,004;0,00799999999999999;-160,754;-189,208;-212,824;17,508;8,16199999999999;"1"
"564";498,468;0,11;19,95;2,19999999999999;0,164;13,384;0,0720000000000001;-0,014;0,026;-0,002;429,814;306,794;148,724;70,578;41,376;"1"
"565";-834,672;-0,024;-2,53399999999999;-2;-0,0680000000000001;0,47399999999999;-0,016;0,022;0,00600000000000001;0,012;-663,712;-536,326;-178,984;-93,054;-65,358;"0"
"566";9,154;0,0379999999999999;26,222;9;-0,00600000000000001;13,956;0,0659999999999999;0,092;0,044;0,032;5,172;8,438;3,43;0,704;0,446;"1"
"567";-819,944;-0,0760000000000001;-7,744;-2,59999999999999;-0,0899999999999999;-3,59199999999998;-0,022;-0,00800000000000001;-0,00600000000000001;-0,002;-682,384;-518,506;-191,016;-131,018;-97,946;"1"
"568";-48,004;0,016;0,564000000000021;2,59999999999999;-0,00600000000000001;1,78800000000001;0,00800000000000001;0,018;-0,014;-0,00599999999999999;-31,398;-26,586;-8,768;-4,592;-4,68;"1"
"569";5,18999999999994;0,026;17,246;0;0,03;12,218;0,048;-0,018;0,032;0,02;37,754;16,6679999999999;0,372000000000014;16,234;11,156;"1"
"570";-208,766;0,056;2,542;1,8;0,0819999999999999;2,83599999999998;0,02;-0,00999999999999995;-0,014;-0,02;-180,592;-191,952;-54,158;-65,006;-51,84;"1"
"571";131,894;0,092;12,692;4;0,15;10,76;0,0659999999999999;-0,012;0,01;-0,028;100,87;78,716;35,98;10,412;2,744;"1"
"572";-20,88;-0,022;-13,964;-1,40000000000001;-0,026;-8,86599999999999;-0,0459999999999999;-0,032;-0,018;0,00600000000000001;-25,252;-21,35;-11,192;-4,356;-1,15;"0"
"573";366,728;-0,004;0,557999999999993;-3,59999999999999;-0,022;0,346000000000004;0,0099999999999999;-0,022;-0,01;0,00600000000000001;263,466;264,084;89,234;41,538;41,76;"1"
"574";495,056;0,0740000000000001;4,42399999999998;1,59999999999999;0,128;1,70000000000002;0,036;-0,016;-0,016;-0,034;379,33;304,48;115,456;35,158;12,952;"1"
"575";-100,246;0,022;-4,65600000000001;-0,200000000000003;0,002;-3,13399999999999;-0,012;0,00399999999999995;0;0,00399999999999999;-69,9;-56,57;-51,528;4,276;4,72799999999999;"1"
"576";223,984;0,014;15,558;-3,80000000000001;-0,024;9,768;0,038;-0,032;0,024;0,024;174,584;162,326;51,994;24,95;24,556;"1"
"577";1017,03;-0,0760000000000001;-14,542;-0,799999999999997;-0,112;-9,298;-0,052;0,06;-0,032;-0,012;679,858;675,938;372,398;44,884;56,406;"1"
"578";-95,5319999999999;-0,112;-2,82000000000002;-7,40000000000001;-0,038;0,298000000000002;-0,02;0,028;-0,012;-0,00599999999999999;-82,5700000000001;-86,486;4,58600000000001;-29,116;-28,884;"1"
"579";-1220,206;-0,1;-23,674;-2;-0,122;-15,278;-0,0680000000000001;0,004;-0,032;-0,016;-996,822;-801,536;-326,412;-176,356;-130,83;"0"
"580";-566,862;-0,0760000000000001;-13,616;-1,2;-0,12;-5,148;-0,0580000000000001;0,044;-0,018;0,002;-471,936;-381,13;-112,912;-77,936;-62,218;"0"
"581";760,398;-0,028;-3,58000000000001;-2,19999999999999;0,012;-4,244;-0,01;0,014;0,00799999999999999;0,00599999999999999;546,514;522,498;258,972;94,826;78,528;"1"
"582";141,838;0,132;19,334;5,40000000000001;0,108;13,45;0,0619999999999999;0,058;0,036;-0,01;106,73;104,876;46,31;23,918;18,53;"1"
"583";286,142;-0,028;5,35399999999998;-4,40000000000001;0,0880000000000001;1,34;0,03;-0,058;0,018;0,002;235,288;187,252;17,888;50,966;34,366;"0"
"584";-323,076;0,024;0,349999999999994;0,599999999999994;0,0339999999999998;-0,975999999999999;0;-0,002;0,012;0,004;-230,52;-239,398;-59,6;-18,33;-23,418;"0"
"585";-61,03;0,0620000000000001;5,482;1,40000000000001;0,0740000000000001;4,78799999999998;0,022;-0,014;0,014;-0,002;-36,914;-48,316;-22,126;-1,04;-6,166;"1"
"586";114,594;-0,09;-38,838;1,8;-0,17;-27,078;-0,12;0,078;-0,044;-0,018;71,85;74,522;45,118;4,946;7,946;"0"
"587";439,486;0,0820000000000001;29,936;3,40000000000001;0,122;18,158;0,102;0,014;0,028;0,022;356,806;320,168;124,93;59,84;54,498;"1"
"588";-96,894;-0,25;-48,51;-5,39999999999999;-0,374;-27,23;-0,178;0,014;-0,05;0,002;-110,132;-56,198;-25,024;-20,1;-10,348;"0"
"589";609,472;0,0159999999999999;0,426000000000016;-1;0,0419999999999999;-1,64999999999999;0,018;-0,004;0,014;-0,036;433,752;403,946;173,16;61,406;50,198;"0"
"590";-122,196;-0,00800000000000001;14,064;-0,400000000000006;0,00600000000000001;7,22;0,04;0,004;0,01;0,018;-73,54;-62,44;-30,154;-9,94000000000001;-2,828;"1"
"591";12,888;0,08;3,63800000000001;1,2;0,0679999999999999;0,927999999999997;0,0079999999999999;-0,002;-0,004;-0,00600000000000001;15,178;0,192000000000007;14,598;2,578;1,622;"1"
"592";-276,796;-0,0359999999999999;-12,338;0,200000000000003;-0,00600000000000001;-5,012;-0,0279999999999999;-0,032;-0,016;0;-219,882;-210,944;-74,034;-40,374;-32,004;"0"
"593";-166,252;0,036;3,73400000000001;1,8;0,048;1,82399999999998;0,014;0,014;0,016;-0,014;-122,734;-116,866;-53,772;-12,266;-19,924;"0"
