"";"time1R";"time2R";"time1ACS";"time2ACS";"time1KAST";"time2KAST";"time1KD";"time2KD";"time1ADR";"time2ADR";"ganhador"
"151";1,076;0,97;222,88;213,36;72,8;70,2;1,12;1,004;144,48;138,08;1
"152";0,954;0,996;202,96;201,46;69,4;70,2;0,964;0,992;133,52;129,72;1
"153";1,016;1,042;205,18;210,54;72,2;73,2;1,044;1,048;130,84;135,78;0
"154";0,948;0,852;210,64;195,02;68;66;0,956;0,864;136,9;128,82;0
"155";0,86;0,782;191,1;174,56;65,6;62,2;0,86;0,746;124,52;115,12;1
"156";0,878;0,798;182,06;172,26;66,2;62,8;0,846;0,748;118,46;116,26;1
"157";1,016;0,956;205,18;207,96;72,2;69;1,044;0,964;130,84;136,14;1
"158";1,088;0,928;232,22;189,38;70,4;68;1,162;0,906;148,58;123,66;0
"159";0,928;0,938;189,38;186,72;68;68,2;0,906;0,904;123,66;123,06;1
"160";0,91;1,042;187,52;210,54;68,4;73,2;0,898;1,048;120,28;135,78;0
"161";0,902;0,938;183,38;186,72;68;68,2;0,884;0,904;120,26;123,06;0
"162";0,89;0,99;185,64;205,88;66,4;69,8;0,89;0,986;122,6;134,68;0
"163";1,088;0,928;232,22;189,38;70,4;68;1,162;0,906;148,58;123,66;1
"164";0,938;0,928;186,72;189,38;68,2;68;0,904;0,906;123,06;123,66;0
"165";1,052;0,956;211,88;207,96;73;69;1,092;0,964;137,3;136,14;0
"166";1,016;1,042;205,18;220,4;72,2;70,6;1,044;1,054;130,84;141,74;1
"167";1,018;1,076;202,12;207,78;71;72,6;1,016;1,108;132,26;135,2;1
"168";1,018;1,008;202,12;207,24;71;71,2;1,016;1,012;132,26;134,3;1
"169";1,012;1,076;208,44;207,78;71,4;72,6;1,006;1,108;136,92;135,2;0
"170";0,99;0,968;205,88;197,02;69,8;68,2;0,986;0,964;134,68;128,76;1
"171";1,042;1,094;220,4;221,74;70,6;73,2;1,054;1,14;141,74;142,62;1
"172";1,008;0,89;207,78;185,64;71,4;66,4;1,052;0,89;132,98;122,6;0
"173";1;0,956;219,34;207,96;70;69;1,032;0,964;140,94;136,14;0
"174";0,922;1,094;197,98;221,74;68,6;73,2;0,922;1,14;130,14;142,62;0
"175";1;0,91;219,34;187,52;70;68,4;1,032;0,898;140,94;120,28;0
"176";0,922;1,042;197,98;220,4;68,6;70,6;0,922;1,054;130,14;141,74;0
"177";1;0,956;219,34;207,96;70;69;1,032;0,964;140,94;136,14;1
