"";"time1RND";"time1R";"time1ACS";"time1KAST";"time1KD";"time1ADR";"time1KPR";"time1APR";"time1FKPR";"time1FDPR";"time1K";"time1D";"time1A";"time1FK";"time1FD";"time2RND";"time2R";"time2ACS";"time2KAST";"time2KD";"time2ADR";"time2KPR";"time2APR";"time2FKPR";"time2FDPR";"time2K";"time2D";"time2A";"time2FK";"time2FD";"ganhador"
"43";1176,796;0,992;205,938;69;1,048;132,538;0,724;0,264;0,096;0,088;850,34;795,238;302,318;111,948;93,51;1356,654;0,992;201,982;70;1,012;130,6;0,696;0,286;0,1;0,092;968,308;940,342;343,948;150,562;136,998;0
"44";391,628;1,048;216,922;71,4;1,126;141,042;0,758;0,254;0,118;0,106;307,966;260,916;98,18;43,008;37,688;1008,596;1,048;213,038;73,4;1,084;135,27;0,74;0,25;0,114;0,11;767,566;698,872;233,238;125,034;113,656;1
"45";1357,194;1,004;210,084;70,6;1,064;135,796;0,732;0,312;0,092;0,094;956,526;911,852;428,71;106,8;100,81;110,668;0,904;190,774;67,8;0,84;125,092;0,636;0,306;0,102;0,11;71,392;85,268;35,31;11,914;11,718;1
"46";1796,052;1,088;220,08;73,2;1,14;140,816;0,76;0,288;0,116;0,096;1398,71;1186,142;491,66;224,95;177,53;645,064;1,024;215,62;71,4;1,066;138,49;0,748;0,276;0,114;0,102;482,64;443,338;189,962;69,51;64,52;1
"47";840,848;1,024;224,228;70,6;1,108;143,818;0,778;0,3;0,124;0,116;684,686;577,212;213,29;112,636;91,84;1103,544;1,01;213,14;69,6;1,052;137,15;0,744;0,246;0,122;0,112;867,292;773,436;262,166;153,79;117,508;1
"48";858,498;1,028;217,048;68,4;1,16;139,212;0,758;0,298;0,102;0,088;661,332;554,722;278,736;82,524;63,814;646,968;1,104;226,534;71,8;1,23;144,42;0,792;0,254;0,132;0,11;537,236;452,59;146,796;114,058;88,952;1
"49";648,808;1,026;216,298;71,2;1,054;138,2;0,756;0,216;0,138;0,12;515,012;464,07;114,062;107,872;85,756;824,332;1,058;221,764;73;1,104;143,654;0,774;0,26;0,11;0,098;672,422;570,802;182,142;113,68;90,812;0
"50";779,174;1,022;210,008;71,8;1,04;133,98;0,736;0,286;0,106;0,104;582,676;554,354;214,454;86,232;80,24;952,786;1,138;236,964;73,2;1,192;151,216;0,826;0,26;0,148;0,118;819,892;676,388;219,894;161,156;127,878;0
"51";457,96;1,024;212,002;70;1,116;137,12;0,738;0,29;0,098;0,084;341,626;303,13;129,972;46,674;38,504;1096,742;1,03;223,184;67,8;1,162;142,556;0,78;0,276;0,118;0,102;899,926;738,354;265,378;155,22;113,87;1
"52";468,136;0,982;214,776;70,8;1;136,334;0,738;0,264;0,124;0,122;372,418;354,496;118,606;69,438;66,744;903,684;1,002;210,798;70;1,036;136,4;0,728;0,28;0,104;0,096;654,714;619,136;284,964;80,424;72,602;1
