"";"Player";"Team";"Rnd";"R";"ACS";"K:D";"KAST";"ADR";"HS%";"KMax";"IK"
"72";"point7";"iG";65;1,15;229;1,45;"78%";141,4;"25%";23;-1
"73";"trexx";"GLD";2802;1,15;242,8;1,19;"75%";157,8;"19%";33;56
"74";"Cla";"TEN.N";2407;1,15;243,1;1,19;"75%";156,8;"20%";34;91
"75";"meL";"C9W";2998;1,15;236;1,23;"73%";150;"26%";35;132
"76";"Derke";"FNC";4653;1,14;256,8;1,23;"71%";159;"27%";46;199
"77";"DaviH";"ARZ";1050;1,14;221,1;1,21;"76%";143,2;"27%";27;0
"78";"sarahcat";"IMT";1350;1,14;250,1;1,2;"75%";160,8;"35%";39;38
"79";"NiSMO";"G/B";4590;1,14;242,8;1,17;"74%";157,7;"25%";31;183
"80";"sociablEE";"FF";3866;1,14;261,3;1,2;"72%";166,2;"23%";33;186
"81";"Jemkin";"SZ";503;1,14;247,7;1,18;"73%";160;"30%";31;29
"82";"MOLSI";"VIT";2820;1,14;233,4;1,18;"74%";154,1;"27%";38;81
"83";"Sayf";"TL";4158;1,14;224;1,2;"72%";144,4;"22%";37;156
"84";"Sak";"SZ";370;1,14;198,1;0,97;"71%";140,1;"22%";23;6
"85";"Cloud";"GIA";3817;1,14;238,3;1,17;"75%";155,4;"29%";34;89
"86";"moobs";"Carl";231;1,14;245,1;1,26;"71%";155,1;"32%";25;4
"87";"sScary";"BLD";5352;1,14;213,9;1,18;"75%";139,2;"21%";28;28
"88";"Ace";"PHX";91;1,14;274,5;1,2;"73%";174,1;"28%";23;5
"89";"BuZz";"DRX";3283;1,14;237,3;1,21;"73%";149,4;"25%";36;125
"90";"nukkye";"GIA";4456;1,14;248,9;1,22;"74%";162,2;"20%";33;92
"91";"akz";"MOX";668;1,13;206,8;0,97;"75%";134,5;"17%";29;-8
"92";"DaveeyS";"KRÜ";2355;1,13;249,6;1,27;"75%";161,4;"26%";34;65
"93";"Zellsis";"C9";4177;1,13;231,1;1,14;"74%";147,3;"19%";33;-18
"94";"Laz";"ZETA";2956;1,13;231,6;1,24;"72%";145,9;"28%";35;96
"95";"Jinggg";"PRX";4047;1,13;256,6;1,2;"73%";162;"19%";36;152
"96";"mickle";"DBC";119;1,13;188,5;0,77;"73%";122,5;"17%";24;7
"97";"Maple";"ORD";1831;1,13;221,4;1,11;"76%";144;"20%";28;38
"98";"Alfajer";"FNC";2851;1,13;240,7;1,22;"73%";158,8;"30%";35;60
"99";"d4v41";"PRX";5284;1,13;221,6;1,2;"75%";142;"27%";39;184
"100";"n1zzy";"FCY";2531;1,13;243,1;1,17;"72%";154,1;"30%";38;80
"101";"Texta";"ORD";2910;1,13;214,8;1,13;"73%";130,4;"19%";27;7
"102";"LnR";"TTW";173;1,13;224,4;0,96;"71%";132;"23%";25;0
"103";"aNNja";"GLD.X";1984;1,13;232,3;1,2;"73%";150,5;"28%";29;25
"104";"rawfiul";"ENGM";5507;1,13;256,7;1,23;"70%";161,8;"33%";41;268
