"";"time1RND";"time1R";"time1ACS";"time1KAST";"time1KD";"time1ADR";"time1KPR";"time1APR";"time1FKPR";"time1FDPR";"time1K";"time1D";"time1A";"time1FK";"time1FD";"time2RND";"time2R";"time2ACS";"time2KAST";"time2KD";"time2ADR";"time2KPR";"time2APR";"time2FKPR";"time2FDPR";"time2K";"time2D";"time2A";"time2FK";"time2FD";"ganhador"
"317";150,954;0,936;194,496;66,6;0,998;122,318;0,686;0,276;0,1;0,096;99,988;106,968;47,536;12,798;13,37;162,872;1,068;214,59;73,4;1,094;138,778;0,736;0,348;0,112;0,1;120,952;109,418;52,306;18,496;15,322;0
"318";130,19;0,962;209,798;68,2;0,984;135,282;0,718;0,304;0,1;0,116;97,418;91,488;36,186;12,918;14,232;276,598;1,038;212,786;73,2;1,062;139,546;0,74;0,334;0,11;0,094;198,008;187,77;98,316;27,348;22,34;0
"319";206,916;0,928;197,182;68,4;0,942;128,566;0,686;0,262;0,106;0,124;147,51;146,354;55,864;19,364;21,424;213,42;1,16;223,026;77;1,192;143,154;0,778;0,352;0,122;0,102;165,898;141,67;69,21;26,03;23,34;0
"320";82,794;0,956;194,49;69,6;0,964;126,506;0,67;0,29;0,102;0,112;56,974;58,534;23,884;9,146;9,272;150,092;0,974;196,736;70,4;0,948;126,792;0,678;0,336;0,094;0,104;102,326;111,442;46,27;15,79;17,674;1
"321";1383,294;1,084;222,22;72,8;1,156;143,456;0,776;0,252;0,112;0,094;1082,216;928,964;355,814;153,772;127,908;643,914;0,992;202,212;69,6;1,04;131,94;0,71;0,248;0,088;0,088;462,472;437,176;159,83;56,908;53,908;0
"322";1038,5;1,094;222,008;72,4;1,176;142,922;0,782;0,258;0,122;0,11;842,992;698,544;238,08;146,482;124,236;497,562;0,99;204,196;70,2;1,02;133,544;0,72;0,252;0,108;0,104;366,318;343,846;120,928;54,976;48,232;1
"323";1689,716;1,078;230,694;72,4;1,124;148,914;0,806;0,262;0,128;0,108;1461,132;1213,672;384,026;272,904;214,35;2591,568;1,128;219,808;74,4;1,154;140,546;0,766;0,296;0,114;0,098;2054,454;1693,696;682,696;357,196;263,398;0
"324";1061,492;1,02;205,124;72;1,006;133,772;0,712;0,306;0,102;0,102;738,528;737,098;337,346;94,728;93,684;1160,098;1,064;213,344;71;1,08;139,39;0,744;0,266;0,102;0,086;862,644;802,978;325,408;124,408;101,038;1
"325";1243,14;1,074;216,16;72;1,13;140,494;0,758;0,272;0,11;0,102;959,762;829,144;296,926;144,356;121,728;2084,496;1,052;214,904;70,8;1,076;139,362;0,746;0,288;0,108;0,104;1480,246;1419,052;668,476;187,102;187,476;1
"326";2761,724;1,028;215,268;70;1,102;137,446;0,75;0,268;0,114;0,104;2065,178;1852,832;750,062;321,314;274,422;1967,972;1,032;212,184;70,8;1,046;139,696;0,738;0,278;0,096;0,09;1457,81;1347,142;611,164;170,32;146,056;1
"327";1319,848;1,028;203,976;70,6;1,066;129,598;0,726;0,27;0,106;0,102;972,488;884,256;353,094;142,382;126,372;827,796;1,008;222,236;69,8;1,076;142,664;0,774;0,268;0,126;0,116;651,054;588,52;175,976;113,916;98,49;0
"328";1736,466;1,09;226,072;72,2;1,16;143,614;0,792;0,25;0,122;0,11;1404,004;1174,602;384,642;257,798;197,474;921,834;1,09;217,708;72;1,152;141,852;0,764;0,308;0,106;0,084;702,692;605,45;300,818;92,978;73,43;0
