"";"time1R";"time2R";"time1ACS";"time2ACS";"time1KAST";"time2KAST";"time1KD";"time2KD";"time1ADR";"time2ADR";"ganhador"
"414";1,108;1,052;216,864;209,632;72,8;72,2;1,152;1,08;138,61;135,212;1
"415";0,988;1,01;202,732;211,178;68,8;71,2;1,028;1,036;131,594;137,74;1
"416";1,05;0,956;211,246;198,718;71,8;71;1,04;0,932;136,564;130,356;1
"417";1,104;0,974;226,534;208,072;71,8;69,2;1,23;1,02;144,42;133,864;1
"418";1,046;1,06;199,09;206,098;73,2;71,6;1,048;1,098;129,132;133,528;0
"419";1,19;1,072;236,514;211,902;74,6;73,2;1,292;1,132;151,8;138,072;1
"420";1,086;1,058;220,098;211,408;73,4;71,4;1,14;1,082;140,736;135,434;1
"421";0,974;0,926;199,242;207,384;68,8;64,6;0,958;1,008;130,22;130,606;0
"422";0,964;0,916;200,214;193,052;68,8;68,4;0,998;0,91;130,052;126,114;0
"423";1,042;1,004;228,868;211,088;71,4;70,2;1,112;1,038;145,206;136,662;0
"424";1,094;1,022;224,808;221,42;72,8;70,2;1,138;1,076;144,114;142,844;1
"425";1,034;1,068;210,114;220,282;71,8;71;1,058;1,126;136,534;141,63;0
"426";1,024;0,99;212,116;211,75;69,4;68,4;1,124;1,014;137,102;134,198;1
"427";1,012;1,04;208,652;225,62;71;70,8;1,042;1,054;135,456;143,09;0
"428";1,038;1,006;209,408;205,352;70,4;71,4;1,084;1,074;134,716;128,87;1
"429";1,026;1,06;209,914;215,718;70,4;71,8;1,08;1,098;135,14;140,016;1
"430";1,1;0,986;216,06;213,784;72;66,6;1,156;1,108;140,784;137,082;1
"431";0,92;1,03;204,894;223,47;65,4;67,8;0,986;1,166;132,788;142,66;1
"432";1,062;1,048;210,954;220,374;72,4;71;1,13;1,114;136,038;140,246;0
"433";0,986;1,038;195,298;208,146;70,2;71;1,002;1,074;124,888;132,406;0
"434";1,022;1,022;222,276;215,944;69,2;71,2;1,092;1,04;141,39;138,472;1
"435";1,026;1,028;212,426;203,96;69,2;70,6;1,1;1,068;135,52;129,57;1
"436";1,02;1,036;202,086;209,368;71,6;70,8;1,05;1,078;132,036;134,592;0
"437";1,018;1,052;201,218;214,134;71,8;71,8;1,05;1,07;131,684;137,064;1
"438";0,988;0,946;207,074;217,114;69,6;64,2;1,068;1,108;132,588;135,002;1
"439";1,022;0,996;213,414;198,896;69,8;71;1,11;0,98;135,696;128,67;1
"440";1,084;0,992;222,22;207,876;72,8;68,8;1,156;1,108;143,456;132,682;0
"441";0,992;1,01;202,212;217,128;69,6;70,6;1,04;1,04;131,94;140,634;1
"442";1,06;1,012;226,614;209,052;70,8;71,2;1,146;1,044;142,632;134,592;1
"443";1,02;1,088;216,654;219,818;69,8;73;1,08;1,154;139,49;141,056;1
"444";1,024;0,998;211,816;205,068;70,4;68,8;1,084;1,058;137,56;131,302;0
"445";1,02;0,924;215,634;191,738;68,8;68,4;1,062;0,91;140,448;126,416;1
"446";1,01;1,1;210,14;236,356;69,4;69,4;1,086;1,224;133,108;150,938;0
"447";1,008;0,978;222,092;212,196;69,8;68,6;1,078;1,04;142,546;137,16;1
"448";0,912;0,94;197,576;198,944;67,6;67,6;0,934;0,972;129,08;128,776;1
"449";1,022;1,01;222,276;217,128;69,2;70,6;1,092;1,04;141,39;140,634;0
"450";0,99;1,034;204,3;216,11;70,2;70,2;1,022;1,06;133,638;138,816;0
"451";0,996;1,026;198,896;212,426;71;69,2;0,98;1,1;128,67;135,52;0
"452";1,092;1,008;202,662;215,126;74,2;69,6;1,114;1,03;132,686;137,59;1
"453";0,988;0,992;207,074;207,876;69,6;68,8;1,068;1,108;132,588;132,682;0
"454";1,008;1,032;205,784;210,708;70,8;71;1,034;1,132;134,66;134,928;0
"455";0,956;1,038;199,128;215,03;67;70,4;1,004;1,084;130,26;139,308;1
"456";1,088;1,008;219,818;222,092;73;69,8;1,154;1,078;141,056;142,546;1
"457";1,084;0,998;222,22;205,068;72,8;68,8;1,156;1,058;143,456;131,302;1
"458";1,098;0,978;222,42;200,116;73,4;69,8;1,15;0,976;143,65;128,36;1
"459";0,924;1,028;191,738;203,96;68,4;70,6;0,91;1,068;126,416;129,57;0
"460";1,09;1,082;221,938;213,194;72,4;73,6;1,17;1,112;142,86;137,086;1
"461";1,046;0,99;217,112;202,434;70,2;70,4;1,126;0,994;139,676;132,016;0
"462";0,946;1,022;217,114;215,944;64,2;71,2;1,108;1,04;135,002;138,472;1
"463";0,978;1,02;212,196;216,654;68,6;69,8;1,04;1,08;137,16;139,49;0
"464";1,024;0,992;211,816;202,212;70,4;69,6;1,084;1,04;137,56;131,94;0
"465";1;1,014;210,714;216,994;68,4;69,4;1,124;1,114;132,926;140,27;0
"466";1,034;1,02;210,844;215,634;70,2;68,8;1,124;1,062;135,492;140,448;1
"467";0,978;1,032;205,006;209,522;68,8;70,2;0,996;1,064;132,806;134,142;0
"468";1,108;1,092;213,38;218,012;74;73,6;1,142;1,122;137,916;139,552;1
"469";1,122;1,114;235,162;222,966;72;73,6;1,232;1,152;151,72;142,67;1
"470";0,94;1,034;198,944;216,11;67,6;70,2;0,972;1,06;128,776;138,816;0
"471";1,024;1,084;211,816;222,22;70,4;72,8;1,084;1,156;137,56;143,456;0
"472";1,076;1,08;219,574;212,19;72;73,6;1,11;1,104;142,116;137,316;0
"473";1,09;0,956;221,938;199,128;72,4;67;1,17;1,004;142,86;130,26;1
"474";1,02;1,026;216,654;212,426;69,8;69,2;1,08;1,1;139,49;135,52;0
"475";0,988;0,998;207,074;205,068;69,6;68,8;1,068;1,058;132,588;131,302;1
"476";1,022;1,088;213,414;219,818;69,8;73;1,11;1,154;135,696;141,056;0
"477";0,99;1,038;204,3;215,03;70,2;70,4;1,022;1,084;133,638;139,308;1
"478";1,014;1,01;216,994;210,14;69,4;69,4;1,114;1,086;140,27;133,108;1
"479";1;0,998;205,178;202,332;70,6;70;1,028;1,018;132,462;130,732;1
"480";0,946;1,01;217,114;217,128;64,2;70,6;1,108;1,04;135,002;140,634;1
"481";1,122;1,126;235,162;226,416;72;72,4;1,232;1,202;151,72;146,744;1
"482";1,06;1,114;209,978;222,966;73,6;73,6;1,094;1,152;136,5;142,67;0
