"";"time1R";"time2R";"time1ACS";"time2ACS";"time1KD";"time2KD";"time1KAST";"time2KAST";"time1ADR";"time2ADR";"ganhador"
"1";1,054;1,052;215,48;206,08;1,126;1,054;73;72;137,98;134,98;0
"2";1,11166666666667;1,098;223,233333333333;214,58;1,185;1,172;73,6666666666667;74,6;142,933333333333;136,4;1
"3";1,05;1,002;213,26;199,54;1,11;1,016;71,8;71,8;136,8;131,78;1
"4";1,094;1,025;221,76;202,05;1,102;1,03;73,6;72,75;143,5;132,025;0
"5";1,054;1,098;215,48;214,58;1,126;1,172;73;74,6;137,98;136,4;1
"6";1,002;1,094;199,54;221,76;1,016;1,102;71,8;73,6;131,78;143,5;0
"7";1,052;1,11166666666667;206,08;223,233333333333;1,054;1,185;72;73,6666666666667;134,98;142,933333333333;0
"8";1,05;1,025;213,26;202,05;1,11;1,03;71,8;72,75;136,8;132,025;1
"9";1,025;1,054;202,05;215,48;1,03;1,126;72,75;73;132,025;137,98;0
"10";1,052;1,094;206,08;221,76;1,054;1,102;72;73,6;134,98;143,5;1
"11";1,11166666666667;1,05;223,233333333333;213,26;1,185;1,11;73,6666666666667;71,8;142,933333333333;136,8;1
"12";1,054;1,052;215,48;206,08;1,126;1,054;73;72;137,98;134,98;1
"13";1,11166666666667;1,05;223,233333333333;213,26;1,185;1,11;73,6666666666667;71,8;142,933333333333;136,8;0
"14";1,05;1,054;213,26;215,48;1,11;1,126;71,8;73;136,8;137,98;1
