"";"time1R";"time2R";"time1ACS";"time2ACS";"time1KAST";"time2KAST";"time1KD";"time2KD";"time1ADR";"time2ADR";"ganhador"
"463";0,714;0,836;159,54;179,66;56,4;63,2;0,662;0,786;106,36;118,88;0
"464";1,058;0,916;213,64;188,02;72;68,2;1,06;0,882;139,9;123,64;1
"465";0,916;0,896;191,66;190,02;68,6;68,4;0,91;0,882;126,02;127;0
"466";0,998;1,016;221,56;198,98;69,8;70,4;1,058;0,978;142,96;131,42;0
"467";0,942;0,794;199;178,06;68,6;62,8;0,934;0,766;128,2;118,32;1
"468";0,942;0,76;199;181,22;68,6;57,8;0,934;0,756;128,2;120,36;1
"469";0,968;1,044;197,02;220,9;68,2;70,8;0,964;1,054;128,76;143,06;0
"470";0,942;0,76;199;181,22;68,6;57,8;0,934;0,756;128,2;120,36;1
"471";0,952;0,902;200,96;193,56;69,6;67,8;0,994;0,924;130,42;124,72;1
"472";0,76;0,768;181,22;167,82;57,8;64;0,756;0,728;120,36;110,08;0
"473";0,97;0,964;199,22;200,36;69;70;0,956;0,982;131,44;130,36;1
"474";0,962;0,984;203,68;208,6;69,4;68,6;0,96;0,99;133,3;135,36;1
"475";0,964;0,89;200,36;180,04;70;67,8;0,982;0,864;130,36;118,48;1
"476";0,956;0,89;212,14;196,18;68,2;66,8;0,962;0,904;138,12;128,38;0
"477";0,856;0,984;195,5;208,6;67;68,6;0,87;0,99;129,36;135,36;0
"478";1,016;1,008;220,62;206,86;69,2;71,2;1,058;1,004;140,32;135,52;1
"479";0,988;1,064;201,14;212,76;70,2;74,2;0,958;1,09;131,62;138,74;0
"480";1,038;0,988;208,86;205,76;70,6;71,2;1,068;1,002;136,06;132,44;1
"481";1,06;0,988;215,36;205,76;72,4;71,2;1,052;1,002;139,32;132,44;0
"482";1,016;1,034;220,62;212,22;69,2;71,2;1,058;1,052;140,32;136,72;1
"483";1,008;0,992;206,86;204,34;71,2;70,2;1,004;1,046;135,52;131,34;1
"484";1,06;1,008;215,36;208,34;72,4;70,8;1,052;1,014;139,32;135,1;1
"485";1,024;1,02;196,14;215;73;70,4;1,028;1,072;128,36;136,62;0
"486";1,076;0,902;217,44;193,56;73;67,8;1,104;0,924;140,02;124,72;0
