"";"time1R";"time2R";"time1ACS";"time2ACS";"time1KD";"time2KD";"time1KAST";"time2KAST";"time1ADR";"time2ADR";"ganhador"
"1";1,082;0,928;213,02;186,04;1,116;0,916;73;70,2;137,36;121,84;1
"2";0,952;0,996;194,54;200,44;0,936;0,978;69,2;71,2;129,92;131,18;0
"3";0,932;0,77;194,26;166,28;0,918;0,76;69,2;64,4;128,22;112,42;1
"4";0,97;0,94;199,9;194,3;0,964;0,934;69,8;67,4;131,06;125,74;1
"5";0,928;0,952;186,04;194,54;0,916;0,936;70,2;69,2;121,84;129,92;1
"6";0,77;0,94;166,28;194,3;0,76;0,934;64,4;67,4;112,42;125,74;0
"7";1,082;0,996;213,02;200,44;1,116;0,978;73;71,2;137,36;131,18;1
"8";0,932;0,97;194,26;199,9;0,918;0,964;69,2;69,8;128,22;131,06;1
"9";0,97;0,928;199,9;186,04;0,964;0,916;69,8;70,2;131,06;121,84;0
"10";0,996;0,94;0,996;194,3;0,996;0,934;0,996;67,4;0,996;125,74;1
"11";1,082;0,932;213,02;194,26;1,116;0,918;73;69,2;137,36;128,22;1
"12";0,928;0,996;186,04;200,44;0,916;0,978;70,2;71,2;121,84;131,18;0
"13";1,082;0,996;213,02;200,44;1,116;0,978;73;71,2;137,36;131,18;1
"14";0,932;0,996;194,26;200,44;0,918;0,978;69,2;71,2;128,22;131,18;0
