"";"V1";"V2"
"151";"FUT Esports";"100 Thieves"
"152";"FNATIC";"FURIA"
"153";"Natus Vincere";"Leviatán"
"154";"100 Thieves";"FNATIC"
"155";"The Guard";"TSM"
"156";"Moist Moguls";"Turtle Troop"
"157";"Douyu Gaming";"J Team"
"158";"Oxyg3niOus";"TJD Esports Club"
"159";"İstanbul Wildcats";"Digital Athletics"
"160";"Fire Flux Esports";"Papara SuperMassive"
"161";"VAMONOS";"HSDIRR"
"162";"S2G Esports";"Galatasaray Esports"
"163";"QLASH";"GMT Esports"
"164";"Macko Esports";"Axolotl"
"165";"who cars?";"bonk"
"166";"ODDIK";"The Union"
"167";"WLGaming Esports";"Outplayed"
"168";"G2 Esports";"Oxygen Esports"
"169";"FaZe Clan";"Shopify Rebellion"
"170";"Douyu Gaming";"Monarch Effect"
"171";"Invincible Gaming";"DD Team"
"172";"Mekong Gaming";"Team Lofi"
"173";"VICTORY";"Tim Tài Trơ"
"174";"Four Angry Men";"KunPeng Gaming"
"175";"Night Wings Gaming";"Dragon Ranger Gaming"
"176";"Thunderbolts Gaming";"Digital Athletics"
"177";"Galatasaray Esports";"Fenerbahçe Esports"
"178";"Keyd Stars";"TBK Esports"
"179";"Disguised";"OREsports"
"180";"RED Canids";"TropiCaos"
"181";"Skull Cracker";"19esports"
"182";"M80";"MAD Lions"
"183";"FUSION";"Six Karma"
"184";"Number One Player";"Kingzone"
"185";"TwoKay";"Team Big BAAM"
"186";"Royal Never Give Up";"Invictus Gaming"
"187";"LAZY";"Fancy United Esports"
"188";"Oxyg3niOus";"Bilibili Gaming"
"189";"LOUD";"DRX"
"190";"Monarch Effect";"Invincible Gaming"
"191";"Four Angry Men";"Night Wings Gaming"
"192";"Number One Player";"Rare Atom"
"193";"Royal Never Give Up";"Bilibili Gaming"
"194";"Natus Vincere";"FNATIC"
"195";"Invincible Gaming";"Four Angry Men"
"196";"Rare Atom";"Bilibili Gaming"
"197";"LOUD";"FNATIC"
"198";"xyz";"Antic Esports"
"199";"Invincible Gaming";"Bilibili Gaming"
"200";"Four Angry Men";"Rare Atom"
"201";"GTZ Esports";"EGN Esports"
"202";"Team Queso";"UCAM Tokiers"
"203";"Zero Tenacity";"Anorthosis Famagusta Esports"
"204";"Acend";"Enterprise Esports"
"205";"NOM Esports";"Cyber Wolves Esports"
"206";"Anonymo Esports";"Rapid Ninjas"
"207";"S2G Esports";"İstanbul Wildcats"
"208";"Acend";"NOM Esports"
"209";"Team Liquid Brazil";"jelly e amigas"
"210";"GMT Esports";"Macko Esports"
"211";"Papara SuperMassive";"Galatasaray Esports"
"212";"Zero Tenacity";"Enterprise Esports"
"213";"Stream Raiders Nacague";"GameLab Alpha"
"214";"Next Gen";"BOBO"
"215";"The Who?";"95x Esports"
"216";"Action PH";"Abaddon Abyss"
"217";"ONE Team Esports";"LP33"
"218";"AxX";"Griffin E-Sports"
"219";"Fire Flux Esports";"S2G Esports"
"220";"Case Esports";"Falcons"
"221";"Team Falcons";"Unity Esports"
"222";"HMBLE";"GMT Esports"
"223";"Geekay Esports";"NASR Esports"
"224";"Optix";"Furious Gaming"
"225";"NewHappy Esports";"Night Wings Gaming"
"226";"Alter Ego";"ARF TEAM"
"227";"Dewa United Esports";"Dominatus"
"228";"KunPeng Gaming";"TYLOO"
"229";"HONEY BADGERS";"BOBO"
"230";"NAOS";"Stream Raiders Nacague"
"231";"Royal Never Give Up";"Oxyg3niOus"
"232";"Anti Eco Eco Club";"ONE Team Esports"
"233";"Oasis Gaming";"Abaddon Abyss"
"234";"Oblivion Force";"Griffin E-Sports"
"235";"TJD Esports Club";"Four Angry Men"
"236";"BLEED";"X10 Esports"
"237";"Parla Esports";"Papara SuperMassive"
"238";"The Union";"TropiCaos"
"239";"EBRO Gaming";"9z Team"
"240";"M80";"Disguised"
"241";"All Knights";"Optix"
"242";"TSM";"OREsports"
"243";"Monarch Effect";"DD Team"
"244";"Bigetron Arctic";"Dewa United Esports"
"245";"ARF TEAM";"Dominatus"
"246";"Douyu Gaming";"Nova Esports"
"247";"Funcrew";"Next Gen"
"248";"Abaddon Abyss";"GameLab Alpha"
"249";"Number One Player";"Dragon Ranger Gaming"
"250";"HONEY BADGERS";"The Who?"
"251";"Oblivion Force";"LP33"
"252";"X10 Esports";"Hey! Yakiniku"
"253";"Stream Raiders Nacague";"Action PH"
"254";"Anti Eco Eco Club";"AxX"
"255";"TJD Esports Club";"Four Angry Men"
"256";"J Team";"Rare Atom"
"257";"Todak";"Louvre"
"258";"ODDIK";"RED Canids"
"259";"Furious Gaming";"EBRO Gaming"
"260";"G2 Esports";"Turtle Troop"
"261";"Liberty";"Keyd Stars"
"262";"The Guard";"MAD Lions"
"263";"Night Wings Gaming";"TYLOO"
"264";"Royal Never Give Up";"Four Angry Men"
"265";"Made in Thailand";"Attack All Around"
"266";"BOOM Esports";"Bigetron Arctic"
"267";"BOBO";"95x Esports"
"268";"NAOS";"Oasis Gaming"
"269";"Fancy United Esports";"Team Big BAAM"
"270";"Dewa United Esports";"ARF TEAM"
"271";"Monarch Effect";"Nova Esports"
"272";"Next Gen";"HONEY BADGERS"
"273";"FULL SENSE";"Sharper Esport"
"274";"ONE Team Esports";"Griffin E-Sports"
"275";"Tim Tài Trơ";"LAZY"
"276";"Enigma Gaming";"BLEED"
"277";"X10 Esports";"Louvre"
"278";"GameLab Alpha";"Action PH"
"279";"Number One Player";"Rare Atom"
"280";"Acend";"Diamant Esports"
"281";"SBG";"VALIANT"
"282";"Rapid Ninjas";"Enterprise Esports"
"283";"Shopify Rebellion";"Moist Moguls"
"284";"Six Karma";"19esports"
"285";"FaZe Clan";"Oxygen Esports"
"286";"BOBO";"HONEY BADGERS"
"287";"Enigma Gaming";"X10 Esports"
"288";"Attack All Around";"FULL SENSE"
"289";"BOOM Esports";"ARF TEAM"
"290";"Oasis Gaming";"GameLab Alpha"
"291";"Team Big BAAM";"LAZY"
"292";"TYLOO";"Royal Never Give Up"
"293";"Made in Thailand";"Sharper Esport"
"294";"Griffin E-Sports";"Oblivion Force"
"295";"Fancy United Esports";"Tim Tài Trơ"
"296";"Les Petits Bouffons";"FOKUS"
"297";"Rapid Ninjas";"Cyber Wolves Esports"
"298";"SAW";"GTZ Esports"
"299";"Acend";"Enterprise Esports"
"300";"CGN Esports";"Angry Titans"
"301";"HSDIRR";"Apeks"
"302";"Mandatory";"Zerance"
"303";"Team Queso";"Case Esports"
"304";"Team Falcons";"Unity Esports"
"305";"Skull Cracker";"RETA Esports"
"306";"FUSION";"19esports"
"307";"BLEED";"X10 Esports"
"308";"95x Esports";"BOBO"
"309";"TYLOO";"Number One Player"
"310";"Bigetron Arctic";"BOOM Esports"
"311";"Tim Tài Trơ";"Team Big BAAM"
"312";"Sharper Esport";"Attack All Around"
"313";"ONE Team Esports";"Griffin E-Sports"
"314";"Royal Never Give Up";"Monarch Effect"
"315";"NAOS";"Oasis Gaming"
"316";"HSDIRR";"FOKUS"
"317";"Enterprise Esports";"Anonymo Esports"
"318";"S2G Esports";"Papara SuperMassive"
"319";"Unicorns of Love";"CGN Esports"
"320";"SBG";"Mandatory"
"321";"DSYRE";"GMT Esports"
"322";"Geekay Esports";"Team RA'AD"
"323";"Six Karma";"RETA Esports"
"324";"Indonesia";"Malaysia"
"325";"Vietnam";"Indonesia"
"326";"Indonesia";"Cambodia"
"327";"Vietnam";"Malaysia"
"328";"EBRO Gaming";"All Knights"
"329";"TBK Esports";"Keyd Stars"
"330";"9z Team";"Furious Gaming"
"331";"ODDIK";"TropiCaos"
"332";"Indonesia";"Cambodia"
"333";"Malaysia";"Vietnam"
"334";"Global Esports Phoenix";"Team SMG GC"
"335";"GO Cyrene";"Sapphire"
"336";"Orangutan X";"BIGG SCYTHE"
"337";"RRQ Kaguya";"Capybara GanG"
"338";"TSM";"Disguised"
"339";"The Union";"Keyd Stars"
"340";"All Knights";"9z Team"
"341";"The Guard";"M80"
"342";"RED Canids";"TropiCaos"
"343";"Douyu Gaming";"NewHappy Esports"
"344";"Royal Never Give Up";"KunPeng Gaming"
"345";"Global Esports Phoenix";"GO Cyrene"
"346";"BIGG SCYTHE";"Capybara GanG"
"347";"TJD Esports Club";"Weibo Gaming"
"348";"Team SMG GC";"Sapphire"
"349";"Orangutan X";"RRQ Kaguya"
"350";"OREsports";"MAD Lions"
"351";"Optix";"EBRO Gaming"
"352";"FaZe Clan";"Moist Moguls"
"353";"Keyd Stars";"ODDIK"
"354";"Dragon Ranger Gaming";"Kingzone"
"355";"Royal Never Give Up";"Night Wings Gaming"
"356";"Four Angry Men";"Douyu Gaming"
"357";"Orangutan X";"Global Esports Phoenix"
"358";"Sapphire";"BIGG SCYTHE"
"359";"Nova Esports";"Weibo Gaming"
"360";"Turtle Troop";"Oxygen Esports"
"361";"TropiCaos";"Keyd Stars"
"362";"FUSION";"RETA Esports"
"363";"G2 Esports";"Shopify Rebellion"
"364";"The Union";"RED Canids"
"365";"Skull Cracker";"Six Karma"
"366";"SCARZ";"FENNEL"
"367";"Team SMG GC";"RRQ Kaguya"
"368";"Orangutan X";"BIGG SCYTHE"
"369";"Dragon Ranger Gaming";"Night Wings Gaming"
"370";"Douyu Gaming";"Weibo Gaming"
"371";"Orangutan";"Lethal Esports"
"372";"RED Canids";"Keyd Stars"
"373";"FUSION";"Skull Cracker"
"374";"Crazy Raccoon";"FENNEL"
"375";"Team SMG GC";"Orangutan X"
"376";"Dragon Ranger Gaming";"Weibo Gaming"
"377";"Alter Ego";"90 KG"
"378";"Hero Zero ANUBIS";"Le Crapaud"
"379";"Night Wings Gaming";"Douyu Gaming"
"380";"Hike Digital Esports";"Tiger Wong Esports"
"381";"Gods Reign";"Velocity Gaming"
"382";"The Union";"Keyd Stars"
"383";"RETA Esports";"19esports"
"384";"Alter Ego";"Le Crapaud"
"385";"90 KG";"Hero Zero ANUBIS"
"386";"Arcane";"Tiger Wong Esports"
"387";"Dominatus";"Hike Digital Esports"
"388";"Globant Emerald Team";"KRÜ BLAZE"
"389";"Le Crapaud";"90 KG"
"390";"Gelida Esports";"Capybara"
"391";"Hike Digital Esports";"Arcane"
"392";"CRIT Esports";"Thailand Attitude"
"393";"Leviatán GC";"FUSION X"
"394";"Attacking Soul Esports";"FunPlus Phoenix"
"395";"Bilibili Gaming";"NTER"
"396";"Thailand Attitude";"Capybara"
"397";"KONE eSC";"Weibo Gaming"
"398";"Aster Army";"Medal Esports"
"399";"LOUD GC";"bb.w7m"
"400";"SunXet Club Fem";"Optix Fem"
"401";"ODDIK Bright";"Black Dragons Female"
"402";"Awake Gaming Female";"FiRePOWER"
"403";"Dragon Ranger Gaming";"TYLOO"
"404";"Looking for Sponsors";"Vipers Clan"
"405";"Invincible Gaming";"Number One Player"
"406";"Boss G KDM";"Rambutan ni Tatay"
"407";"EDward Gaming";"Totoro Gaming"
