"","Data","RW","RL","Adversario","Resultados"
"120",2020-06-13,"13","2","EGEL","Win"
"121",2022-06-26,"13","4","Maru Gaming","Win"
"122",2022-06-21,"13","10","DAMWON Gaming","Win"
"123",2022-06-11,"13","11","CNJ esports","Win"
"124",2022-05-31,"13","9","Tartarus","Win"
"125",2022-04-18,"4","13","ZETA DIVISION","Lose"
"126",2022-04-17,"13","15","OpTic Gaming","Lose"
"127",2022-03-20,"13","2","On Sla2ers","Win"
"128",2022-03-12,"13","6","DAMWON Gaming","Win"
"129",2022-03-10,"13","1","HolyMolly","Win"
"130",2022-03-04,"13","4","Maru Gaming","Win"
"131",2022-02-06,"13","8","VPZ","Win"
"132",2021-12-07,"3","9","Cloud9","Lose"
"133",2021-09-17,"13","7","Gambit Esports","Win"
"134",2021-08-15,"","13","F4Q",NA
"135",2021-07-25,"13","7","Unknown","Win"
"136",2021-04-24,"13","10","I need Girlfriend","Win"
"137",2021-04-15,"","13","F4Q",NA
"138",2021-04-08,"13","11","World Game Star","Win"
"139",2021-03-21,"13","15","NUTURN","Lose"
"140",2021-03-17,"13","9","DAMWON Gaming","Win"
"141",2021-03-14,"13","6","TNL Esports","Win"
"142",2021-02-20,"13","7","NUTURN","Win"
"143",2021-02-19,"13","6","World Game Star","Win"
"144",2021-02-07,"14","12","BearClaw Gaming","Win"
"145",2021-02-06,"13","6","Hamtori ZunDeZinx","Win"
"146",2021-01-31,"13","5","LFS","Win"
"147",2021-01-30,"13","2","LFT","Win"
"148",2021-01-30,"13","9","NUTURN","Win"
"149",2021-01-30,"13","5","Gehenna Sweepers","Win"
"150",2020-12-06,"13","10","TNL Esports","Win"
"151",2020-11-19,"13","0","Feel So Good","Win"
"152",2020-10-18,"13","6","T1 Korea","Win"
"153",2020-10-17,"13","6","Absolute JUPITER","Win"
"154",2020-10-13,"13","2","Team Nutria","Win"
"155",2020-10-07,"13","3","Quantum Strikers","Win"
"156",2020-09-27,"13","9","MiTH.Attitude","Win"
"157",2020-09-26,"13","8","KaiXin Esports","Win"
"158",2020-09-25,"13","3","Todak","Win"
"159",2020-09-24," 15","1","Royal Never Give Up","Win"
"160",2020-09-23,"13","7","NewHappy","Win"
"161",2020-09-19,"13","1","Team SMG","Win"
"162",2020-08-19,"13","6","No Mercy","Win"
"163",2020-08-18,"13","7","FA","Win"
"164",2020-08-12,"13","1","Lunatic-Hai FLUX","Win"
"165",2020-07-21,"13","11","No Mercy","Win"
"166",2020-06-14,"13","9","MaD","Win"
"167",2022-11-27,"13","8","Talon Esports","Win"
"168",2022-11-26,"11","13","Gen.G","Lose"
"169",2022-10-16,"13","9","Team Secret","Win"
"170",2022-10-15,"13","9","FAV gaming","Win"
"171",2022-09-17,"13","6","OpTic Gaming","Win"
"172",2022-09-13,"14","12","FNATIC","Win"
"173",2022-09-09,"19","17","FunPlus Phoenix","Win"
"174",2022-09-02,"16","14","FURIA","Win"
"175",2022-07-18,"9","13","FunPlus Phoenix","Lose"
"176",2022-07-15,"6","13","Leviatán","Lose"
"177",2022-07-10,"13","8","NORTHEPTION","Win"
"178",2022-06-26,"13","3","Maru Gaming","Win"
"179",2022-06-11,"17","15","CNJ esports","Win"
"180",2022-06-05,"13","4","Maru Gaming","Win"
"181",2022-05-23,"13","6","On Sla2ers","Win"
"182",2022-05-21,"13","6","DAMWON Gaming","Win"
"183",2022-04-18,"13","10","ZETA DIVISION","Win"
"184",2022-04-17,"13","8","OpTic Gaming","Win"
"185",2022-04-15,"13","8","Paper Rex","Win"
"186",2022-03-27,"13","2","On Sla2ers","Win"
"187",2022-03-18,"13","11","World Game Star","Win"
"188",2022-03-10,"13","9","HolyMolly","Win"
"189",2022-02-27,"13","4","Team T5","Win"
"190",2022-02-25,"13","5","World Game Star","Win"
"191",2022-02-23,"13","0","Desperado","Win"
"192",2021-12-07,"0","13","Cloud9","Lose"
"193",2021-08-15,"3","5","F4Q","Lose"
"194",2021-08-08,"13","7","TNL Esports","Win"
"195",2021-07-16,"13","9","GochuGaru","Win"
"196",2021-07-11,"13","9","Mujig 100su","Win"
"197",2021-07-03,"13","8","ELNiS Esports","Win"
"198",2021-05-01,"9","13","NUTURN","Lose"
"199",2021-04-30,"13","7","TNL Esports","Win"
"200",2021-04-24,"10","13","I need Girlfriend","Lose"
"201",2021-04-08,"11","13","World Game Star","Lose"
"202",2021-04-03,"13","3","Feel So Good","Win"
"203",2021-04-03,"13","2","Nora-Rengo","Win"
"204",2021-03-21,"13","3","NUTURN","Win"
"205",2021-03-17,"13","1","DAMWON Gaming","Win"
"206",2021-03-12,"13","9","NUTURN","Win"
"207",2021-02-20,"10","13","NUTURN","Lose"
"208",2021-01-30,"14","12","NUTURN","Win"
"209",2020-12-03,"3","8","F4Q","Lose"
"210",2020-10-21,"14","12","Cloud9 Korea","Win"
"211",2020-10-18,"13","10","T1 Korea","Win"
"212",2020-10-07,"13","5","aNg DarkHorse","Win"
"213",2020-09-27," 14","1","Royal Never Give Up","Win"
"214",2020-09-27,"13","2","Attack All Around","Win"
"215",2020-09-26,"10","13","KaiXin Esports","Lose"
"216",2020-09-26,"7","13","Attack All Around","Lose"
"217",2020-09-24," 9","13","Royal Never Give Up","Lose"
"218",2020-09-22,"13","3","BlackBird Ignis","Win"
"219",2020-09-20,"13","10","Absolute JUPITER","Win"
"220",2020-08-19,"13","4","No Mercy","Win"
"221",2020-08-18,"13","5","FA","Win"
"222",2020-07-07,"13","12","Crazy Hamster","Win"
"223",2020-06-23,"13","7","wadD","Win"
"224",2022-11-27,"13","8","Talon Esports","Win"
"225",2022-11-26,"13","8","Gen.G","Win"
"226",2022-09-16,"13","11","FunPlus Phoenix","Win"
"227",2022-09-13,"7","13","FNATIC","Lose"
"228",2022-04-18,"11","13","ZETA DIVISION","Lose"
"229",2022-04-17,"11","13","OpTic Gaming","Lose"
"230",2022-04-12,"13","4","Ninjas In Pyjamas","Win"
"231",2022-04-10,"13","2","ZETA DIVISION","Win"
"232",2022-03-06,"3","13","On Sla2ers","Lose"
"233",2021-12-03,"10","13","FNATIC","Lose"
"234",2021-09-17,"8","13","Gambit Esports","Lose"
"235",2021-09-13,"13","9","Acend","Win"
"236",2021-09-11,"13","11","Paper Rex","Win"
"237",2021-08-15,"3","1","F4Q","Win"
"238",2021-07-18,"13","0","GOMA","Win"
"239",2021-07-03,"13","4","Unknown","Win"
"240",2021-07-03,"13","4","ELNiS Esports","Win"
"241",2021-07-03,"13","1","LFT","Win"
"242",2021-04-30,"13","10","TNL Esports","Win"
"243",2021-03-21,"13","2","NUTURN","Win"
"244",2021-03-12,"13","4","NUTURN","Win"
"245",2021-02-18,"13","8","ZFGaming","Win"
"246",2021-01-31,"13","5","LFS","Win"
"247",2021-01-30,"13","6","LFT","Win"
"248",2021-01-30,"13","4","Gehenna Sweepers","Win"
"249",2020-12-06,"13","7","TNL Esports","Win"
"250",2020-12-05,"6","13","Cloud9 Korea","Lose"
"251",2022-10-15,"13","7","FAV gaming","Win"
"252",2022-10-03,"13","11","NORTHEPTION","Win"
"253",2022-09-17,"5","13","OpTic Gaming","Lose"
"254",2022-09-12,"11","13","LOUD","Lose"
"255",2022-09-09,"13","5","FunPlus Phoenix","Win"
"256",2022-09-03,"18","16","100 Thieves","Win"
"257",2022-07-17,"4","13","OpTic Gaming","Lose"
"258",2022-07-15,"13","5","Leviatán","Win"
"259",2022-07-12,"13","6","FunPlus Phoenix","Win"
"260",2022-05-31,"13","9","Tartarus","Win"
"261",2022-05-29,"13","5","World Game Star","Win"
"262",2022-05-23,"13","8","On Sla2ers","Win"
"263",2022-04-12,"13","8","Ninjas In Pyjamas","Win"
"264",2022-03-20,"13","8","On Sla2ers","Win"
"265",2022-03-04,"13","5","Maru Gaming","Win"
"266",2022-02-27,"13","9","Team T5","Win"
"267",2022-02-25,"13","3","World Game Star","Win"
"268",2022-02-23,"13","3","Desperado","Win"
"269",2022-02-06,"13","3","Team GP","Win"
"270",2021-12-07,"1","13","Cloud9","Lose"
"271",2021-12-01,"13","5","FULL SENSE","Win"
"272",2021-08-06,"13","4","GoNGo Prince","Win"
"273",2022-11-26,"13","3","Gen.G","Win"
"274",2022-10-03,"7","13","NORTHEPTION","Lose"
"275",2022-09-17,"13","8","OpTic Gaming","Win"
"276",2022-09-13,"13","9","FNATIC","Win"
"277",2022-09-03,"13","9","100 Thieves","Win"
"278",2022-07-18,"5","13","FunPlus Phoenix","Lose"
"279",2022-07-17,"13","4","OpTic Gaming","Win"
"280",2022-07-12,"13","6","FunPlus Phoenix","Win"
"281",2022-06-21,"13","8","DAMWON Gaming","Win"
"282",2022-06-13,"13","4","SPEAR GAMING","Win"
"283",2022-03-27,"13","4","On Sla2ers","Win"
"284",2021-12-03,"6","13","FNATIC","Lose"
