"","Data","RW","RL","Adversario","Resultados"
"122",2021-03-30,"13","1","Wolfix Gaming","Win"
"123",2021-03-18,"13","11","Team BDS","Win"
"124",2021-03-13,"10","13","Guild Esports","Lose"
"125",2021-02-21,"13","3","FNATIC","Win"
"126",2021-02-07,"17","15","Team Liquid","Win"
"127",2021-02-05,"13","7","Alliance","Win"
"128",2021-02-05,"13","4","Raise Your Edge","Win"
"129",2020-12-05,"13","4","SUMN FC","Win"
"130",2020-12-04,"13","7","nolpenki","Win"
"131",2020-11-13,"13","1","SKADE","Win"
"132",2020-11-13,"13","2","M4LIK","Win"
"133",2020-11-10,"13","8","Mik0nsDisciple","Win"
"134",2020-10-04,"13","9","SUMN FC","Win"
"135",2020-09-13,"11","13","G2 Esports","Lose"
"136",2020-09-12,"3","13","G2 Esports","Lose"
"137",2020-09-11,"13","7","Team Liquid","Win"
"138",2020-08-29,"10","13","G2 Esports","Lose"
"139",2020-08-23,"13","11","Lankräm","Win"
"140",2020-08-22,"15","13","AoeXe","Win"
"141",2020-08-16,"10","13","G2 Esports","Lose"
"142",2020-08-12,"13","10","G2 Esports","Win"
"143",2022-09-13,"13","11","XSET","Win"
"144",2022-09-11,"13","11","Leviatán","Win"
"145",2022-09-09,"17","19","DRX","Lose"
"146",2022-09-08,"13","4","KRÜ Esports","Win"
"147",2022-07-18,"13","9","DRX","Win"
"148",2022-07-16,"13","11","Guild Esports","Win"
"149",2022-07-13,"13","9","NORTHEPTION","Win"
"150",2022-07-11,"9","13","XERXIA Esports","Lose"
"151",2022-06-24,"13","11","M3 Champions","Win"
"152",2022-06-18,"14","12","FNATIC","Win"
"153",2022-05-21,"13","10","G2 Esports","Win"
"154",2022-05-14,"13","5","FNATIC","Win"
"155",2022-03-27,"13","7","G2 Esports","Win"
"156",2022-03-18,"11","13","Natus Vincere","Lose"
"157",2022-03-13,"10","13","LDN UTD","Lose"
"158",2022-03-12,"13","6","Team Liquid","Win"
"159",2022-01-15,"13","8","KPI Gaming","Win"
