"";"time1RND";"time1R";"time1ACS";"time1KAST";"time1KD";"time1ADR";"time1KPR";"time1APR";"time1FKPR";"time1FDPR";"time1K";"time1D";"time1A";"time1FK";"time1FD";"time2RND";"time2R";"time2ACS";"time2KAST";"time2KD";"time2ADR";"time2KPR";"time2APR";"time2FKPR";"time2FDPR";"time2K";"time2D";"time2A";"time2FK";"time2FD";"ganhador"
"1";228,064;0,988;205,352;70,2;1,004;135,22;0,72;0,276;0,106;0,112;180,648;164,182;56,024;29,504;25,946;187,386;0,932;194,732;67,6;0,92;126,742;0,672;0,318;0,086;0,114;124,7;137,216;56,044;16,018;21,466;"1"
"2";2038,344;1,112;236,1;72;1,194;147,216;0,824;0,22;0,15;0,114;1802,288;1429,76;386,936;382,904;270,022;1126,39;1,142;219,002;73,8;1,166;138,448;0,764;0,262;0,122;0,094;879,286;729,754;278,026;141,634;106,748;"1"
"3";879,686;1,062;218,74;72,2;1,108;138,85;0,772;0,28;0,11;0,098;701,828;616,394;227,58;112,924;96,402;1682,704;1,12;221,326;74,6;1,244;138,828;0,78;0,29;0,12;0,098;1306,106;1051,116;471,046;207,124;166,448;"0"
"4";529,248;0,97;204,614;69,8;0,976;132,222;0,704;0,272;0,12;0,116;385,604;387,354;132,314;73,534;67,274;297,188;0,944;197,934;68,4;0,952;127,64;0,69;0,316;0,102;0,102;203,044;207,17;82,254;23,262;22,144;"0"
"5";982,49;1,036;219,036;69,2;1,114;140,962;0,772;0,218;0,12;0,1;816,476;676,492;177,394;153,37;105,964;1776,734;1,07;211,626;72,8;1,124;137,708;0,748;0,254;0,106;0,098;1360,556;1179,722;418,582;215,226;185,81;"0"
"6";1809,186;1,012;209,624;68,8;1,042;135,176;0,744;0,218;0,122;0,108;1360,528;1250,21;370,124;243,208;196,124;980,274;1,004;215,306;69,2;1,048;139,834;0,758;0,252;0,124;0,116;766,196;713,144;223,71;134,708;124,394;"0"
"7";652,686;0,972;200,07;69,4;0,968;131,564;0,698;0,28;0,098;0,11;472,004;463,488;195,022;67,954;71,39;954,196;1,106;222,158;72,4;1,152;143,99;0,774;0,264;0,12;0,1;752,78;635,008;237,044;121,132;97,264;"0"
"8";1848,328;1,096;225,748;72,8;1,164;143,542;0,788;0,25;0,122;0,106;1495,54;1245,352;408,786;273,616;209,614;944,412;1,118;224,466;73;1,188;145,572;0,786;0,278;0,12;0,094;739,886;628,988;262,37;109,616;80,446;"1"
"9";1567,28;1,166;226,086;75,4;1,234;147,374;0,792;0,316;0,106;0,08;1158,422;974,376;545,216;132,742;101,542;921,116;1,016;210,064;69,4;1,078;135,33;0,742;0,25;0,11;0,102;684,178;627,68;239,256;102,754;92,048;"1"
"10";1211,172;1,062;204,394;73,2;1,096;132,402;0,724;0,276;0,094;0,076;914,364;806,638;281,288;137,192;104,524;953,838;1,016;207,308;71;1,038;133,792;0,724;0,256;0,102;0,1;699,478;664,672;241,804;100,316;95,912;"1"
"11";799,35;1,034;197,98;72;1,07;127,256;0,706;0,278;0,084;0,084;595,01;522,268;205,406;77,808;57,388;954,418;1,016;218,596;69;1,082;139,582;0,762;0,268;0,118;0,108;736,254;662,03;251,174;104,736;92,298;"0"
"12";776,728;1,092;214,26;74,2;1,124;138,318;0,764;0,262;0,118;0,098;595,248;524,502;194,52;95,062;75,266;1110,098;0,99;207,98;69,8;1,026;135,222;0,724;0,22;0,116;0,106;934,47;791,314;185,668;183,896;139,96;"0"
