"";"x"
"1";"https://www.vlr.gg/185090/dragon-ranger-gaming-vs-kingzone-fgc-valorant-invitational-2023-act-1-qualifiers-qf"
"2";"https://www.vlr.gg/185091/royal-never-give-up-vs-night-wings-gaming-fgc-valorant-invitational-2023-act-1-qualifiers-qf"
"3";"https://www.vlr.gg/185092/four-angry-men-vs-douyu-gaming-fgc-valorant-invitational-2023-act-1-qualifiers-qf"
"4";"https://www.vlr.gg/179479/orangutan-x-vs-global-esports-phoenix-game-changers-2023-asia-pacific-open-1-playoffs-lr2"
"5";"https://www.vlr.gg/179480/sapphire-vs-bigg-scythe-game-changers-2023-asia-pacific-open-1-playoffs-lr2"
"6";"https://www.vlr.gg/185093/nova-esports-vs-weibo-gaming-fgc-valorant-invitational-2023-act-1-qualifiers-qf"
"7";"https://www.vlr.gg/169012/turtle-troop-vs-oxygen-esports-challengers-league-north-america-w5"
"8";"https://www.vlr.gg/184372/tropicaos-vs-keyd-stars-challengers-league-brazil-split-1-lr2"
"9";"https://www.vlr.gg/179501/fusion-vs-reta-esports-challengers-league-latam-north-ace-split-1-w3"
"10";"https://www.vlr.gg/169008/g2-esports-vs-shopify-rebellion-challengers-league-north-america-w5"
"11";"https://www.vlr.gg/184368/the-union-vs-red-canids-challengers-league-brazil-split-1-ubf"
"12";"https://www.vlr.gg/179502/skull-cracker-vs-six-karma-challengers-league-latam-north-ace-split-1-w3"
