"";"time1RND";"time1R";"time1ACS";"time1KAST";"time1KD";"time1ADR";"time1KPR";"time1APR";"time1FKPR";"time1FDPR";"time1K";"time1D";"time1A";"time1FK";"time1FD";"time2RND";"time2R";"time2ACS";"time2KAST";"time2KD";"time2ADR";"time2KPR";"time2APR";"time2FKPR";"time2FDPR";"time2K";"time2D";"time2A";"time2FK";"time2FD";"ganhador"
"1";427,054;1,08;220,866;71,6;1,118;143,118;0,766;0,266;0,116;0,1;323,398;290,768;115,648;47,26;41,692;619,256;1,094;215,592;72,4;1,142;138,178;0,754;0,302;0,104;0,094;472,718;405,074;193,91;62,126;56,152;"0"
"2";470,864;1,234;245,822;77,2;1,356;158,506;0,862;0,302;0,124;0,096;429,444;305,448;136,768;65,86;44,226;571,776;1,152;218,968;75,6;1,216;140,504;0,77;0,29;0,104;0,088;410,924;352,282;171,74;53,874;44,73;"1"
"3";619,866;1,138;221,014;75,2;1,2;141,328;0,786;0,29;0,09;0,076;500,372;408,308;161,802;60,792;51,928;407,662;1,066;204,862;74,2;1,086;131,948;0,72;0,314;0,098;0,092;299,6;278,494;114,828;45,792;38,584;"1"
"4";335,36;0,944;201,302;69,6;0,956;129,96;0,7;0,296;0,116;0,118;239,796;248,264;85,808;45,01;44,572;305,578;0,93;201,762;66,6;0,964;132,742;0,69;0,268;0,094;0,104;228,578;219,768;72,974;33,99;34,424;"1"
"5";119,352;1,04;213,942;73;1,076;138,9;0,742;0,274;0,128;0,118;94,492;84,224;28,706;15,318;13,834;427,36;1,198;216,636;78,2;1,36;138,35;0,776;0,318;0,096;0,074;352,184;277,872;139,51;47,736;34,432;"0"
"6";2474,328;1,09;227,576;70,6;1,156;145,558;0,802;0,22;0,132;0,114;2128,888;1719,856;471,448;393,008;303,826;917,75;0,962;199,108;69,8;0,972;129,894;0,688;0,28;0,1;0,1;590,996;607,476;277,73;64,316;68,134;"1"
"7";1005,348;1,044;219,598;71;1,104;139,87;0,764;0,25;0,14;0,116;795,218;697,02;221,982;162,124;126,426;1274,486;1,014;204,898;71,4;1,068;128,8;0,722;0,28;0,102;0,092;933,078;858,974;337,192;140,764;119,43;"0"
"8";999,026;1,046;218,724;72;1,068;141,598;0,752;0,316;0,108;0,102;742,944;685,532;378,478;104,772;97,484;400,314;0,994;204,256;70,8;1,012;133,26;0,714;0,284;0,096;0,106;289,734;283,602;104,006;43,048;43,534;"1"
