"";"x"
"1";"https://www.vlr.gg/237273/team-secret-vs-gen-g-champions-tour-2023-pacific-last-chance-qualifier-lf"
"2";"https://www.vlr.gg/240738/alternate-attax-ruby-vs-fokus-sakura-project-v-project-queens-split-2-finals-playoffs-sf"
"3";"https://www.vlr.gg/240737/aex-1-nova-vs-veni-esports-venom-project-v-project-queens-split-2-finals-playoffs-sf"
"4";"https://www.vlr.gg/235372/koi-vs-natus-vincere-champions-tour-2023-emea-last-chance-qualifier-lbf"
"5";"https://www.vlr.gg/232737/cloud9-vs-leviat-n-champions-tour-2023-americas-last-chance-qualifier-lbf"
