"";"time1RND";"time1R";"time1ACS";"time1KAST";"time1KD";"time1ADR";"time1KPR";"time1APR";"time1FKPR";"time1FDPR";"time1K";"time1D";"time1A";"time1FK";"time1FD";"time2RND";"time2R";"time2ACS";"time2KAST";"time2KD";"time2ADR";"time2KPR";"time2APR";"time2FKPR";"time2FDPR";"time2K";"time2D";"time2A";"time2FK";"time2FD"
"1";423,302;0,922;203,574;66,2;0,974;132,022;0,7;0,274;0,102;0,096;297,72;299,006;121,652;42,348;37,606;562,494;1,04;212,95;71,4;1,07;137,116;0,736;0,262;0,118;0,108;412,964;392,376;142,872;63,364;58,486
"2";1138,112;1,038;221,244;69;1,16;141,4;0,772;0,288;0,116;0,098;927,424;761,574;284,456;157,382;116,458;184,606;1,086;214,4;74,2;1,114;136,508;0,748;0,326;0,102;0,096;141,282;126,292;55,324;22,342;20,286
"3";1362,014;1,02;217,066;70,2;1,048;139,246;0,76;0,238;0,13;0,116;1164,568;991,938;257,25;260,392;207,174;2237,034;1,024;210,908;69,6;1,088;134,734;0,734;0,268;0,12;0,1;1724,244;1529,19;586,414;319,184;243,84
"4";949,524;1,018;211,4;69,8;1,066;137,592;0,742;0,238;0,118;0,106;690,308;663,644;258,186;109,306;94,234;1061,318;1,106;226,174;72;1,176;145,944;0,794;0,254;0,13;0,108;853,05;705,416;278,388;139,462;106,756
"5";1705,432;1,002;210,292;68,4;1,12;132,95;0,74;0,254;0,114;0,096;1285,636;1123,66;382,456;216,982;174,334;563,372;0,99;205,474;69,6;0,998;132,042;0,722;0,262;0,11;0,11;420,808;403,468;128,122;70,262;65,398
"6";935,398;1,13;208,806;76;1,184;138,25;0,746;0,296;0,088;0,076;690,33;583,3;258,446;76,364;65,246;1188,348;1,086;211,622;74,8;1,09;138,644;0,734;0,32;0,094;0,084;965,546;786,772;344,602;148,004;117,91
"7";560,592;1,054;209,518;72,8;1,076;136,618;0,74;0,278;0,108;0,086;417,418;381,582;153,154;60,498;51,218;490,58;1,144;222,136;75;1,162;144,464;0,766;0,34;0,096;0,086;350,43;322,936;160,332;39,32;35,292
"8";881,956;1,114;221,382;74,4;1,178;144,826;0,782;0,262;0,12;0,102;666,962;580,552;244,076;92,434;78,92;349,262;1,044;199,722;72,8;1,074;132,052;0,706;0,3;0,088;0,078;237,4;233,278;110,33;26,668;25,666
"9";562,226;1,132;222,282;75,4;1,186;144,216;0,78;0,298;0,116;0,096;442,474;371,4;159,374;65,578;53,268;451,78;1,106;215,282;74,4;1,146;140,382;0,764;0,286;0,112;0,094;341,88;301,704;130,518;52,222;41,898
"10";846,728;1,01;198,272;71,2;1;129,176;0,688;0,284;0,088;0,088;624,178;595,572;217,55;110,996;96,424;828,38;0,94;196,476;68,8;0,95;128,718;0,68;0,262;0,098;0,104;611,254;581,264;196,964;87,172;84,912
"11";893,376;1,01;220,072;70,4;1,074;141,102;0,768;0,278;0,126;0,12;692,328;634,902;196,634;118,194;105,93;811,88;1,022;214,516;69;1,06;139,652;0,746;0,268;0,11;0,106;627,062;570,856;217,804;96,218;90,012
"12";1041,846;1,006;214,464;69,2;1,066;138,462;0,742;0,294;0,112;0,1;752,982;708,862;307,834;107,652;91,188;1713,054;1,088;218,79;73,4;1,15;140,342;0,764;0,282;0,112;0,09;1373,054;1164,628;468,594;223,034;165,108
"13";1575,402;1,1;230,752;72,6;1,168;148,196;0,8;0,33;0,116;0,1;1241,082;1060,134;551,262;161,542;132,772;1230,45;1,038;224,314;70,6;1,13;139,492;0,788;0,23;0,138;0,11;1036,4;867,012;254,058;206,066;146,132
"14";955,66;1,182;238,36;74,8;1,256;151,05;0,842;0,268;0,136;0,094;895,55;651,722;185,91;176,038;109,814;475,542;1,112;219,814;74,2;1,174;141,816;0,778;0,298;0,116;0,1;364,518;319,138;139,426;53,128;46,578
"15";833,858;1,144;235,608;74,2;1,266;152,664;0,836;0,248;0,114;0,102;710,974;571,822;180,722;127,71;93,156;513,172;1,124;226,928;73,6;1,188;146,256;0,79;0,268;0,128;0,096;405,764;344,692;141,356;59,748;45,928
"16";474,792;1,106;216,768;73,4;1,19;140,746;0,754;0,314;0,112;0,098;384,558;319,042;133,572;70,646;48,862;193,986;1,07;215,538;74;1,11;138,802;0,766;0,296;0,112;0,088;150,326;126,966;52,63;19,556;16,672
"17";336,758;1,064;220,454;72;1,124;142,802;0,78;0,254;0,128;0,11;266,298;236,262;76,076;48,454;41,718;788,098;1,062;205,618;74;1,094;133,552;0,732;0,272;0,102;0,092;587,128;513,194;240,818;76,746;66,366
"18";696,936;1,054;215,874;71,8;1,128;138,182;0,764;0,264;0,104;0,092;556,882;472,054;171,128;87,948;66,442;1452,074;1,032;203,552;71,2;1,064;129,76;0,722;0,278;0,106;0,098;1063,414;970,976;393,254;156,886;138,522
"19";1712,282;0,972;214,634;68,4;1,104;134,912;0,742;0,284;0,11;0,094;1273,788;1135,786;507,592;171,832;129,754;1201,572;1,078;224,792;72,4;1,2;142,388;0,786;0,252;0,134;0,102;969,11;776,292;271,208;182,346;134,64
