"";"x"
"1";"https://www.vlr.gg/206828/singapore-vs-malaysia-32nd-southeast-asian-games-d2"
"2";"https://www.vlr.gg/206829/indonesia-vs-vietnam-32nd-southeast-asian-games-d2"
"3";"https://www.vlr.gg/206830/philippines-vs-singapore-32nd-southeast-asian-games-d2"
"4";"https://www.vlr.gg/206831/indonesia-vs-cambodia-32nd-southeast-asian-games-d2"
"5";"https://www.vlr.gg/206832/vietnam-vs-malaysia-32nd-southeast-asian-games-d2"
"6";"https://www.vlr.gg/197274/guild-x-vs-karmine-corp-gc-game-changers-2023-series-i-emea-groups-r7"
"7";"https://www.vlr.gg/197275/kpi-shine-vs-ninjas-in-pyjamas-gc-game-changers-2023-series-i-emea-groups-r7"
"8";"https://www.vlr.gg/197276/case-hydra-vs-acend-rising-game-changers-2023-series-i-emea-groups-r7"
"9";"https://www.vlr.gg/197277/team-falcons-vega-vs-geekay-esports-cherry-game-changers-2023-series-i-emea-groups-r7"
"10";"https://www.vlr.gg/188581/who-cars-vs-coalesce-challengers-league-northern-europe-polaris-split-2-r6"
"11";"https://www.vlr.gg/197243/alliance-coven-vs-natus-vincere-celestials-game-changers-2023-series-i-emea-groups-r7"
"12";"https://www.vlr.gg/197244/g2-gozen-vs-fokus-sakura-game-changers-2023-series-i-emea-groups-r7"
"13";"https://www.vlr.gg/197245/rebels-velvet-vs-cba-game-changers-2023-series-i-emea-groups-r7"
"14";"https://www.vlr.gg/197246/bbl-queens-vs-untapped-game-changers-2023-series-i-emea-groups-r7"
"15";"https://www.vlr.gg/202343/e-xolos-lazer-vs-reta-esports-challengers-league-latam-north-ace-split-2-w3"
"16";"https://www.vlr.gg/202344/skull-cracker-vs-19esports-challengers-league-latam-north-ace-split-2-w3"
