;x
1;https://www.vlr.gg/179462/invincible-gaming-vs-four-angry-men-fgc-valorant-invitational-2023-act-1-qualifiers-ubsf
2;https://www.vlr.gg/179463/rare-atom-vs-bilibili-gaming-fgc-valorant-invitational-2023-act-1-qualifiers-ubsf
3;https://www.vlr.gg/167393/loud-vs-fnatic-champions-tour-2023-lock-in-s-o-paulo-gf
