"";"time1RND";"time1R";"time1ACS";"time1KAST";"time1KD";"time1ADR";"time1KPR";"time1APR";"time1FKPR";"time1FDPR";"time1K";"time1D";"time1A";"time1FK";"time1FD";"time2RND";"time2R";"time2ACS";"time2KAST";"time2KD";"time2ADR";"time2KPR";"time2APR";"time2FKPR";"time2FDPR";"time2K";"time2D";"time2A";"time2FK";"time2FD";"ganhador"
"1";1788,828;1,062;214,168;72,4;1,11;137,832;0,756;0,288;0,106;0,094;1387,018;1214,66;469,082;209,182;172,352;1635,206;1,08;225,008;72,4;1,148;144,298;0,788;0,242;0,124;0,108;1349,876;1136,086;327,982;237,012;189,714;"0"
"2";1741,208;1,112;219,216;74,6;1,222;137,81;0,772;0,298;0,116;0,098;1339,97;1093,45;498,878;209,774;170,982;1213,952;1;202,784;71,4;1;131,838;0,702;0,302;0,098;0,102;976,186;856,238;298,324;180,942;153,132;"1"
"3";1333,158;1,106;221,676;73;1,184;140,854;0,786;0,254;0,118;0,092;1125,93;906,716;297,966;199,35;144,624;1440;1,052;212,4;73;1,106;135,05;0,742;0,278;0,12;0,102;1145,874;963,484;340,276;207,802;159,294;"0"
"4";1587,21;1,168;225,748;75,2;1,238;147,094;0,79;0,318;0,106;0,08;1174,734;985,66;551,744;135,696;103,304;1017,65;1,1;221,16;72,4;1,148;143,542;0,772;0,268;0,12;0,1;803,382;679,064;253,326;129,658;104,616;"1"
"5";1919,862;1,096;225,076;72,8;1,164;143,232;0,784;0,254;0,122;0,106;1551,554;1293,578;425,112;283,75;217,42;1072,552;1,044;212,514;70,8;1,092;137,77;0,748;0,26;0,122;0,104;803,246;737,38;275,422;133,09;111,46;"1"
