"";"x"
"1";"https://www.vlr.gg/222701/bonkers-vs-dplus-esports-champions-tour-2023-pacific-ascension-group-stage-omega"
"2";"https://www.vlr.gg/222702/orangutan-vs-scarz-champions-tour-2023-pacific-ascension-group-stage-omega"
"3";"https://www.vlr.gg/222692/boom-esports-vs-fancy-united-esports-champions-tour-2023-pacific-ascension-group-stage-alpha"
"4";"https://www.vlr.gg/235013/acend-vs-digital-athletics-champions-tour-2023-emea-ascension-d1"
"5";"https://www.vlr.gg/235014/case-esports-vs-apeks-champions-tour-2023-emea-ascension-d1"
"6";"https://www.vlr.gg/235015/dsyre-vs-cgn-esports-champions-tour-2023-emea-ascension-d1"
"7";"https://www.vlr.gg/235016/team-falcons-vs-gentle-mates-champions-tour-2023-emea-ascension-d1"
"8";"https://www.vlr.gg/232914/m80-vs-the-union-champions-tour-2023-americas-ascension-r1"
"9";"https://www.vlr.gg/232915/9z-team-vs-00nation-champions-tour-2023-americas-ascension-r1"
