"";"x"
"1";"https://www.vlr.gg/183712/night-wings-gaming-vs-tyloo-fgc-valorant-invitational-2023-act-1-qualifiers-qf"
"2";"https://www.vlr.gg/183713/royal-never-give-up-vs-four-angry-men-fgc-valorant-invitational-2023-act-1-qualifiers-qf"
"3";"https://www.vlr.gg/167851/made-in-thailand-vs-attack-all-around-challengers-league-thailand-split-1-ubsf"
"4";"https://www.vlr.gg/179445/boom-esports-vs-bigetron-arctic-challengers-league-indonesia-split-1-ubf"
"5";"https://www.vlr.gg/178641/bobo-vs-95x-esports-challengers-league-oceania-split-1-ubf"
"6";"https://www.vlr.gg/178627/naos-vs-oasis-gaming-challengers-league-philippines-split-1-ubf"
"7";"https://www.vlr.gg/181486/fancy-united-esports-vs-team-big-baam-challengers-league-vietnam-split-1-ubsf"
"8";"https://www.vlr.gg/179446/dewa-united-esports-vs-arf-team-challengers-league-indonesia-split-1-lr2"
"9";"https://www.vlr.gg/183714/monarch-effect-vs-nova-esports-fgc-valorant-invitational-2023-act-1-qualifiers-qf"
"10";"https://www.vlr.gg/178642/next-gen-vs-honey-badgers-challengers-league-oceania-split-1-lr2"
"11";"https://www.vlr.gg/167852/full-sense-vs-sharper-esport-challengers-league-thailand-split-1-ubsf"
"12";"https://www.vlr.gg/179378/one-team-esports-vs-griffin-e-sports-challengers-league-taiwan-hong-kong-split-1-ubf"
"13";"https://www.vlr.gg/181487/tim-t-i-tr-vs-lazybutwannawin-challengers-league-vietnam-split-1-ubsf"
"14";"https://www.vlr.gg/164034/enigma-gaming-vs-bleed-challengers-league-malaysia-singapore-split-1-uf"
"15";"https://www.vlr.gg/164035/x10-esports-vs-louvre-challengers-league-malaysia-singapore-split-1-lr2"
"16";"https://www.vlr.gg/178628/gamelab-alpha-vs-action-ph-challengers-league-philippines-split-1-lr2"
"17";"https://www.vlr.gg/183715/number-one-player-vs-rare-atom-fgc-valorant-invitational-2023-act-1-qualifiers-qf"
"18";"https://www.vlr.gg/184194/acend-vs-diamant-esports-challengers-league-east-surge-split-1-ubsf"
"19";"https://www.vlr.gg/180745/sbg-vs-valiant-challengers-league-france-revolution-split-1-sf"
"20";"https://www.vlr.gg/184195/rapid-ninjas-vs-enterprise-esports-challengers-league-east-surge-split-1-ubsf"
"21";"https://www.vlr.gg/169006/shopify-rebellion-vs-moist-moguls-challengers-league-north-america-w4"
"22";"https://www.vlr.gg/179495/six-karma-vs-19esports-challengers-league-latam-north-ace-split-1-w2"
"23";"https://www.vlr.gg/169007/faze-clan-vs-oxygen-esports-challengers-league-north-america-w4"
