"";"x"
"1";"https://www.vlr.gg/235563/tyloo-vs-attacking-soul-esports-champions-tour-2023-champions-china-qualifier-lr2"
"2";"https://www.vlr.gg/235562/trace-esports-vs-funplus-phoenix-champions-tour-2023-champions-china-qualifier-lr2"
"3";"https://www.vlr.gg/235426/bbl-queens-vs-case-hydra-game-changers-2023-series-ii-emea-groups-r4"
"4";"https://www.vlr.gg/235427/excel-gc-vs-rebels-velvet-game-changers-2023-series-ii-emea-groups-r4"
"5";"https://www.vlr.gg/235428/the-a-team-vs-guild-gc-game-changers-2023-series-ii-emea-groups-r4"
"6";"https://www.vlr.gg/235429/fut-female-vs-acend-rising-game-changers-2023-series-ii-emea-groups-r4"
"7";"https://www.vlr.gg/235398/g2-gozen-vs-kpi-shine-game-changers-2023-series-ii-emea-groups-r4"
"8";"https://www.vlr.gg/235399/natus-vincere-celestials-vs-alliance-coven-game-changers-2023-series-ii-emea-groups-r4"
"9";"https://www.vlr.gg/235400/odd-1-out-vs-ninjas-in-pyjamas-lightning-game-changers-2023-series-ii-emea-groups-r4"
"10";"https://www.vlr.gg/235401/tiger-anonymo-vs-karmine-corp-gc-game-changers-2023-series-ii-emea-groups-r4"
