"";"time1RND";"time1R";"time1ACS";"time1KAST";"time1KD";"time1ADR";"time1KPR";"time1APR";"time1FKPR";"time1FDPR";"time1K";"time1D";"time1A";"time1FK";"time1FD";"time2RND";"time2R";"time2ACS";"time2KAST";"time2KD";"time2ADR";"time2KPR";"time2APR";"time2FKPR";"time2FDPR";"time2K";"time2D";"time2A";"time2FK";"time2FD";"ganhador"
"1";1847,54;1,068;211,396;73,2;1,092;135,052;0,74;0,28;0,106;0,094;1460,514;1275,37;485,07;244,312;202,83;397,026;0,932;196,25;66,4;0,964;126,266;0,684;0,238;0,098;0,094;276,94;287,484;92,114;42,414;41,444;"0"
"2";172,706;0,95;203,088;69,4;0,964;133,536;0,7;0,296;0,114;0,13;133,21;126,298;46,208;25,464;21,156;279,026;1,012;211,356;70,8;1,044;137,458;0,728;0,298;0,112;0,106;202,228;192,722;81,352;28,782;27,802;"0"
"3";717,596;0,842;201,514;60,6;0,996;128,516;0,702;0,248;0,102;0,098;648,874;529,596;143,044;139,444;97,458;1274,418;1,094;222,552;72,8;1,18;141,204;0,786;0,246;0,118;0,092;1070,874;868,356;282,034;185,994;135,448;"0"
"4";186,036;0,964;202,466;68,8;0,974;133,922;0,7;0,256;0,102;0,102;139,048;133,5;40,994;22,13;20,322;401,764;1,034;218,172;71;1,064;141,326;0,766;0,272;0,12;0,106;324,808;298,216;91,04;63,572;52,504;"0"
"5";474,478;1,122;206,694;74,6;1,164;131,73;0,73;0,302;0,084;0,076;383,602;308,612;150,114;52,676;38,668;714,39;1,01;208,808;70,2;1,044;135,612;0,734;0,25;0,104;0,1;543,9;502,668;167,582;82,412;77,032;"0"
"6";915,736;0,954;198,098;69,4;0,964;129,326;0,684;0,274;0,098;0,102;588,042;606,872;277,204;63,628;67,854;814,98;0,97;210,582;66;1,086;136,062;0,74;0,238;0,108;0,094;609,668;561,14;183,944;94,92;78,878;"0"
"7";1448,644;1,188;235,396;74,6;1,29;151,16;0,826;0,298;0,128;0,094;1245,552;913,314;407,238;204,52;138,678;362,744;1,056;199,866;73,6;1,062;129,466;0,698;0,356;0,088;0,078;253,926;239,458;125,896;28,012;26,33;"1"
"8";2735,208;1,152;230,478;74,2;1,26;146,766;0,818;0,276;0,12;0,086;2314,61;1793,008;694,954;378,584;254,748;2237,782;1,062;218,674;71,2;1,128;140,8;0,768;0,272;0,104;0,096;1758,49;1500,458;628,892;227,498;188,892;"1"
"9";1438,39;1,05;220,672;71;1,132;141,066;0,77;0,276;0,114;0,098;1110,954;973,644;406,568;151,506;131,868;2529,096;1,128;215,258;74,4;1,21;138,674;0,764;0,274;0,098;0,074;1968,648;1602,948;649,072;246,418;179,722;"1"
"10";1053,84;1,05;209,91;72;1,082;135,356;0,736;0,264;0,112;0,108;783,48;715,084;271,29;130,482;117,518;702,228;1,066;207,232;72,4;1,104;134,304;0,728;0,282;0,108;0,1;508,348;472,134;193,488;78,002;73,418;"1"
