"";"time1RND";"time1R";"time1ACS";"time1KAST";"time1KD";"time1ADR";"time1KPR";"time1APR";"time1FKPR";"time1FDPR";"time1K";"time1D";"time1A";"time1FK";"time1FD";"time2RND";"time2R";"time2ACS";"time2KAST";"time2KD";"time2ADR";"time2KPR";"time2APR";"time2FKPR";"time2FDPR";"time2K";"time2D";"time2A";"time2FK";"time2FD";"ganhador"
"1";347,174;0,984;201,88;69,8;0,994;133,196;0,702;0,236;0,094;0,102;255,01;247,848;76,22;37,432;38,174;614,86;1,032;208,234;72,2;1,04;134,42;0,732;0,294;0,102;0,108;465,964;435,158;180,584;71,306;67,066;"0"
"2";301,416;1,02;208,688;70,8;1,008;135,504;0,724;0,308;0,11;0,096;222,496;216,13;89,478;35,786;30,482;421,68;1,002;202,592;70,4;0,974;132,132;0,694;0,326;0,098;0,104;299,848;303,23;134,508;43,686;45,42;"1"
"3";2689,724;1,07;212,334;72;1,124;135,13;0,752;0,254;0,11;0,092;2036,442;1787,08;680,642;338,94;262,622;2509,87;1,102;218,934;73;1,17;140,132;0,774;0,252;0,114;0,098;2028,3;1645,992;604,636;322,318;249,38;"1"
"4";557,228;1,104;221,836;73,8;1,166;143,404;0,782;0,276;0,098;0,092;437,616;368,38;156,496;49,198;44,414;460,296;1,06;210,836;74;1,078;137,824;0,74;0,31;0,09;0,092;341,06;321,19;134,862;47,534;45,152;"1"
"5";401,21;1,024;200,636;71,4;1,014;130,578;0,69;0,3;0,108;0,088;289,898;275,472;116,198;51,398;39,312;787,192;1,178;224,32;76,2;1,252;143,968;0,79;0,284;0,122;0,092;600,844;500,78;209,184;93,866;75,266;"1"
"6";1231,782;1,048;212,346;73;1,102;134,96;0,744;0,28;0,11;0,096;956,302;812,198;281,752;175,944;133,626;318,22;1,06;217,748;71;1,122;139,962;0,76;0,242;0,132;0,11;248,528;224,51;70,992;52,426;44,464;"0"
"7";1414,7;1,066;223,086;71,4;1,14;142,932;0,788;0,242;0,128;0,106;1122,706;980,776;323,492;188,878;157,186;429,56;1,09;216,69;73;1,114;140,632;0,752;0,318;0,104;0,098;331,518;290,356;131,014;46,44;43,772;"0"
"8";2607,992;1,098;228,318;71,4;1,17;146,024;0,804;0,222;0,132;0,11;2251,706;1804,858;500,364;415,536;314,426;902,274;1,026;213,648;70,2;1,028;139,344;0,732;0,274;0,106;0,108;692,914;647,188;225,142;121,31;107,27;"1"
"9";689,172;0,984;200,012;70,8;0,99;129;0,698;0,292;0,11;0,11;499,558;490,804;161,976;93,552;82,718;278,46;1,032;203,344;73;1,036;133,018;0,71;0,316;0,1;0,094;214,968;190,22;73;33,806;26,948;"1"
"10";552,274;1,298;264,012;78;1,464;169,264;0,928;0,292;0,154;0,102;536,172;369,206;152,046;96,122;59,274;1004,326;1,166;220,88;76,6;1,206;140,268;0,778;0,306;0,106;0,088;778,7;654,936;286,972;117,678;93,826;"1"
"11";1420,25;0,998;206,296;69;1,106;132,114;0,722;0,286;0,092;0,086;1064,05;895,782;346,804;139,9;111,454;1009,456;1,028;218,65;69,8;1,096;139,888;0,766;0,266;0,118;0,106;778,632;695,462;266,92;110,382;96,722;"1"
"12";1407,96;1,084;209,214;73,6;1,124;135,578;0,744;0,31;0,096;0,084;1049,784;927,3;436,852;130,716;113,334;1236,128;1,09;222,006;72,6;1,15;141,808;0,78;0,274;0,12;0,1;990,518;834,12;327,18;159,492;128,566;"1"
"13";2851,794;1,148;228,984;74,6;1,254;145,814;0,81;0,284;0,116;0,086;2402,962;1870,736;733,274;399,662;273,656;2292,664;1,06;218,326;71,6;1,126;140,614;0,766;0,274;0,104;0,096;1800,096;1537,282;647,304;237,128;197,436;"1"
"14";183,408;1,034;200,992;71,4;1,044;132,802;0,694;0,268;0,094;0,088;130,748;122,504;46,688;19,402;15,894;229,974;0,92;192,872;67,6;0,902;126,722;0,658;0,29;0,088;0,126;156,448;169,216;62,206;25,114;30,632;"0"
"15";1547,156;1,054;219,744;71,4;1,132;140,682;0,77;0,276;0,112;0,098;1187,862;1043,918;436,724;163,634;141,146;3002,028;1,116;217,856;74;1,184;141,192;0,772;0,27;0,106;0,086;2394,538;1960,234;741,416;338,832;267,676;"1"
