"";"x"
"1";"https://www.vlr.gg/188337/alter-ego-vs-arf-team-challengers-league-indonesia-split-2-r7"
"2";"https://www.vlr.gg/188338/boom-esports-vs-bigetron-arctic-challengers-league-indonesia-split-2-r7"
"3";"https://www.vlr.gg/213127/utt-esports-vs-roa-challengers-league-taiwan-hong-kong-split-2-ur1-1"
"4";"https://www.vlr.gg/213128/oblivion-force-vs-s2-esports-challengers-league-taiwan-hong-kong-split-2-ur1-1"
"5";"https://www.vlr.gg/189532/gonext-esports-vs-zero-tenacity-challengers-league-east-surge-split-2-elim"
"6";"https://www.vlr.gg/213193/giants-gaming-vs-fut-esports-champions-tour-2023-emea-league-ur1"
"7";"https://www.vlr.gg/213194/team-liquid-vs-team-vitality-champions-tour-2023-emea-league-ur1"
"8";"https://www.vlr.gg/189050/leviat-n-vs-furia-champions-tour-2023-americas-league-ur1"
"9";"https://www.vlr.gg/189051/nrg-esports-vs-evil-geniuses-champions-tour-2023-americas-league-ur1"
