"";"x"
"1";"https://www.vlr.gg/214687/ramboot-club-vs-zeta-gaming-challengers-league-spain-rising-split-2-qf"
"2";"https://www.vlr.gg/211785/dsyre-vs-macko-esports-challengers-league-italy-rinascimento-split-2-lbf"
"3";"https://www.vlr.gg/213531/six-karma-vs-skull-cracker-challengers-league-latam-north-ace-split-2-lf"
