"";"time1RND";"time1R";"time1ACS";"time1KAST";"time1KD";"time1ADR";"time1KPR";"time1APR";"time1FKPR";"time1FDPR";"time1K";"time1D";"time1A";"time1FK";"time1FD";"time2RND";"time2R";"time2ACS";"time2KAST";"time2KD";"time2ADR";"time2KPR";"time2APR";"time2FKPR";"time2FDPR";"time2K";"time2D";"time2A";"time2FK";"time2FD"
"1";390,79;0,952;201,486;70;0,962;130,13;0,698;0,298;0,11;0,116;280,64;286,568;100,08;51,868;51,346;485,35;1,044;209,292;72;1,096;135,872;0,738;0,292;0,098;0,086;349,842;324,446;142,18;40,716;35,506
"2";256,446;0,982;205,348;69,4;0,972;133,582;0,708;0,292;0,102;0,102;186,652;186,418;70,82;27,988;26,92;152,732;1,004;211,664;71,6;1,044;138,67;0,728;0,306;0,12;0,13;123,384;108,91;42,828;23,442;18,284
"3";381,464;0,936;196,91;66,4;0,974;126,488;0,69;0,236;0,098;0,092;268,586;275,01;87,698;41,1;38,862;386,598;0,946;207,01;68,6;0,978;133,194;0,722;0,236;0,11;0,118;291,13;282,368;81,422;46,552;42,966
"4";168,032;0,978;202,854;69;0,986;134,094;0,706;0,268;0,106;0,104;127,626;119,298;37,664;20,212;17,612;462,202;1,012;219,828;67,8;1,098;141,514;0,774;0,22;0,128;0,11;360,672;329,758;97,678;62,254;54,114
"5";1272,55;1,094;222,668;72,8;1,182;141,236;0,79;0,246;0,116;0,09;1070,504;867,202;281,438;185,792;135,15;1103,22;1,03;209,96;71,2;1,082;133,086;0,732;0,27;0,106;0,098;859,08;762,604;247,332;140,216;123,262
"6";1787,33;1,02;211,074;69;1,05;135,812;0,746;0,22;0,124;0,106;1345,194;1233,27;365,94;241,014;193,376;1071,2;1;208,004;68,4;1,052;135,126;0,734;0,21;0,108;0,1;713,26;715,654;296,078;73,318;75,238
"7";1428,418;1,052;220,798;70,8;1,132;141,098;0,774;0,278;0,114;0,098;1103,524;967,272;404,196;150,588;130,624;1753,316;1,098;215,152;72,4;1,118;135,836;0,754;0,268;0,112;0,092;1406,34;1184,886;423,572;249,658;184,792
"8";527,684;1,076;219,416;72;1,114;139,964;0,762;0,288;0,13;0,112;413,598;372,892;130,112;78,718;65,8;700,13;1,004;205,042;71,2;1,012;133,526;0,722;0,288;0,106;0,114;492,658;475,302;218,17;60,51;61,634
"9";2338,19;1,086;224,444;72,4;1,17;140,91;0,792;0,24;0,124;0,098;1875,038;1576,75;555,956;300,908;223,33;2514,732;1,13;215,27;74,4;1,21;138,658;0,762;0,274;0,096;0,072;1956,554;1593,126;643,658;244,586;178,756
"10";718,494;0,982;217,898;68,6;1,108;139,508;0,76;0,258;0,13;0,108;563,492;493,138;182,19;97,396;80,056;399,156;1,024;207,144;71;1,058;134,38;0,728;0,282;0,096;0,102;279,43;280,872;111,742;37,672;41,334
