"";"x"
"1";"https://www.vlr.gg/184472/paper-rex-vs-drx-champions-tour-2023-pacific-league-w4"
"2";"https://www.vlr.gg/191773/kone-esc-vs-attacking-soul-esports-fgc-valorant-invitational-2023-act-1-lf"
"3";"https://www.vlr.gg/195679/jijiehao-vs-douyu-gaming-fgc-valorant-invitational-2023-act-2-qualifiers-ubsf"
"4";"https://www.vlr.gg/184473/team-secret-vs-rex-regum-qeon-champions-tour-2023-pacific-league-w4"
"5";"https://www.vlr.gg/195680/bilibili-gaming-vs-rare-atom-fgc-valorant-invitational-2023-act-2-qualifiers-ubsf"
"6";"https://www.vlr.gg/189077/galatasaray-esports-vs-s2g-esports-challengers-league-turkey-birlik-split-2-group-stage-w3"
"7";"https://www.vlr.gg/188469/ftw-esports-vs-vikings-fourteen-challengers-league-portugal-tempest-split-2-regular-season-r5"
"8";"https://www.vlr.gg/188534/unicorns-of-love-vs-cgn-esports-challengers-league-dach-evolution-split-2-r4"
"9";"https://www.vlr.gg/189554/rapid-ninjas-vs-b8-esports-challengers-league-east-surge-split-2-r5"
"10";"https://www.vlr.gg/195698/gods-reign-vs-reckoning-esports-challengers-league-south-asia-split-1-ur1"
"11";"https://www.vlr.gg/188470/panthers-esports-vs-egn-esports-challengers-league-portugal-tempest-split-2-regular-season-r5"
"12";"https://www.vlr.gg/189555/zero-tenacity-vs-acend-challengers-league-east-surge-split-2-r5"
"13";"https://www.vlr.gg/194134/blx-utd-vs-wylde-challengers-league-france-revolution-split-2-w2"
"14";"https://www.vlr.gg/188471/ex0tik-gaming-vs-impulse-gw-challengers-league-portugal-tempest-split-2-regular-season-r5"
"15";"https://www.vlr.gg/188535/angry-titans-vs-mouz-challengers-league-dach-evolution-split-2-r4"
"16";"https://www.vlr.gg/189556/gonext-esports-vs-enterprise-esports-challengers-league-east-surge-split-2-r5"
"17";"https://www.vlr.gg/194135/akroma-vs-mandatory-challengers-league-france-revolution-split-2-w2"
"18";"https://www.vlr.gg/189078/digital-athletics-vs-fenerbah-e-esports-challengers-league-turkey-birlik-split-2-group-stage-w3"
"19";"https://www.vlr.gg/188395/axolotl-vs-gmt-esports-challengers-league-italy-rinascimento-split-2-w3"
"20";"https://www.vlr.gg/188472/saw-vs-gtz-esports-challengers-league-portugal-tempest-split-2-regular-season-r5"
"21";"https://www.vlr.gg/194136/gentle-mates-vs-solary-challengers-league-france-revolution-split-2-w2"
"22";"https://www.vlr.gg/183785/cloud9-vs-100-thieves-champions-tour-2023-americas-league-w3"
"23";"https://www.vlr.gg/188396/qlash-vs-macko-esports-challengers-league-italy-rinascimento-split-2-w3"
"24";"https://www.vlr.gg/189558/diamant-esports-vs-anonymo-esports-challengers-league-east-surge-split-2-r5"
"25";"https://www.vlr.gg/194137/joblife-vs-zerance-challengers-league-france-revolution-split-2-w2"
"26";"https://www.vlr.gg/188397/outplayed-vs-hmble-challengers-league-italy-rinascimento-split-2-w3"
"27";"https://www.vlr.gg/194138/valiant-vs-3dmax-challengers-league-france-revolution-split-2-w2"
"28";"https://www.vlr.gg/183786/nrg-esports-vs-mibr-champions-tour-2023-americas-league-w3"
