"";"time1RND";"time1R";"time1ACS";"time1KAST";"time1KD";"time1ADR";"time1KPR";"time1APR";"time1FKPR";"time1FDPR";"time1K";"time1D";"time1A";"time1FK";"time1FD";"time2RND";"time2R";"time2ACS";"time2KAST";"time2KD";"time2ADR";"time2KPR";"time2APR";"time2FKPR";"time2FDPR";"time2K";"time2D";"time2A";"time2FK";"time2FD"
"1";462,674;1,032;221,614;71;1,052;141,36;0,766;0,29;0,122;0,12;366,956;356,372;119,012;69,672;72,234;651,1;0,974;194,922;70,2;1;124,76;0,686;0,294;0,082;0,082;451,062;440,252;189,118;55,724;55,624
"2";465,144;0,94;200,676;66,2;1,046;129,166;0,692;0,298;0,1;0,09;324,844;310,228;135,94;43,236;40,21;398,074;1,022;223,014;70,4;1,12;142,088;0,774;0,254;0,13;0,12;306,646;281,42;91,314;52,534;50,822
"3";1061,138;1,032;201,29;72,2;1,054;129,45;0,71;0,286;0,1;0,09;728,426;732,456;284,402;108,772;98,924;857,23;1,062;215,578;72,2;1,1;136,668;0,754;0,28;0,102;0,096;671,13;600,698;209,844;103,982;98,586
"4";730,738;1,016;208,96;70,6;1,05;135,698;0,734;0,252;0,104;0,098;557,816;510,908;173,838;85,1;77,928;1167,416;1,026;209,09;71,4;1,068;132,888;0,73;0,28;0,104;0,098;905,002;809,782;271,308;149,062;129,504
"5";367,582;0,984;210,704;68,2;1,004;133,584;0,722;0,292;0,12;0,124;269,07;266,826;101,344;49,878;49,456;422,686;0,92;204,1;65,8;0,98;132,508;0,702;0,264;0,1;0,096;297,944;298,484;118,93;41,872;37,304
"6";643,502;1,016;213,364;71,4;1,05;137,652;0,74;0,282;0,11;0,1;480,352;445,19;188,978;69,538;64,454;1380,962;1,066;211,698;73,2;1,12;134,424;0,746;0,26;0,106;0,094;1077,12;926,444;316,612;167,442;134,694
"7";136,69;0,98;207,938;70,8;1,006;135,33;0,724;0,268;0,098;0,102;96,018;96,696;36,504;13,43;12,666;868,054;1,132;230,088;74;1,18;147,58;0,804;0,288;0,13;0,104;721,372;600,542;229,814;129,066;103,73
"8";1892,636;1,064;210,604;72,8;1,084;134,732;0,74;0,28;0,104;0,098;1492,612;1308,726;497,252;249,366;208,994;518,112;0,96;201,736;69,8;0,96;130,768;0,7;0,298;0,112;0,116;373,162;376,912;134,998;68,14;63,402
"9";77,106;0,946;194,088;70,8;0,938;123,772;0,674;0,298;0,11;0,096;51,332;56,294;22,636;7,188;6,11;174,986;0,766;169,028;61,4;0,754;108,996;0,57;0,246;0,09;0,134;101,976;125,836;47,9;13,526;18,442
"10";1353,33;1,014;217,526;70,2;1,046;139,646;0,76;0,234;0,136;0,118;1152,902;988,322;253,612;256,778;206,386;1024,436;1,014;215,55;69,8;1,074;139,012;0,742;0,294;0,114;0,1;743,108;695,288;304,812;105,518;88,742
