"";"time1RND";"time1R";"time1ACS";"time1KAST";"time1KD";"time1ADR";"time1KPR";"time1APR";"time1FKPR";"time1FDPR";"time1K";"time1D";"time1A";"time1FK";"time1FD";"time2RND";"time2R";"time2ACS";"time2KAST";"time2KD";"time2ADR";"time2KPR";"time2APR";"time2FKPR";"time2FDPR";"time2K";"time2D";"time2A";"time2FK";"time2FD";"ganhador"
"1";325,938;0,94;200,93;69,2;0,95;129,416;0,698;0,294;0,114;0,118;232,09;242,354;83,61;44,208;43,634;30,778;1,096;231,214;73,4;1,234;151,432;0,808;0,27;0,126;0,138;25,756;21,422;8,178;4,29;4,2;"1"
"2";778,71;0,974;206,168;68,4;1,04;133,692;0,722;0,246;0,108;0,098;575,728;524,73;212,146;85,678;72,606;292,214;0,92;201,46;65,8;0,956;133,196;0,686;0,266;0,092;0,106;219,18;210,928;69,138;32,59;33,074;"0"
"3";233,638;0,986;205,02;69,6;0,968;132,77;0,696;0,298;0,12;0,11;167,444;170,426;68,946;32,288;28,936;110,676;1,016;206,18;72,6;1,016;135,198;0,718;0,284;0,108;0,11;85,388;78,1;26,148;13,524;12,38;"0"
"4";600,372;1,14;221,018;75,2;1,202;141,324;0,788;0,288;0,088;0,076;484,48;395,466;155,406;58,688;49,658;270,206;1,054;204,94;71,6;1,064;132,802;0,716;0,27;0,116;0,084;210,71;185,192;62,95;39,776;26,996;"1"
"5";913,552;1,164;221,514;76,6;1,212;140,454;0,778;0,3;0,106;0,092;703,85;595,914;256,848;104,57;84,528;391,466;1,072;205,248;74,4;1,09;132,124;0,722;0,316;0,096;0,092;287,208;266,284;111,098;43,126;36,872;"0"
"6";199,23;0,994;204,412;71,4;1,008;133,418;0,708;0,278;0,112;0,102;148,064;143,696;48,644;29,672;23,084;420,324;1,162;214,586;76,8;1,288;136,818;0,77;0,306;0,092;0,08;346,286;275,138;137,03;46,868;33,94;"0"
"7";1545,186;1,036;210,218;70;1,068;134,604;0,736;0,272;0,114;0,102;1158,416;1065,988;408,18;184,342;156,902;2495,562;1,128;215,274;74,4;1,21;138,666;0,764;0,272;0,096;0,072;1942,206;1579,88;638,722;242,55;177,388;"0"
"8";892,61;1,02;208,948;70;1,07;134,848;0,724;0,282;0,104;0,1;661,144;603,37;237,594;97,29;83,41;1263,106;1,016;205,056;71,4;1,074;128,85;0,722;0,282;0,102;0,092;925,096;849,596;334,496;139,158;117,988;"0"
"9";1000,516;1,048;219,356;72;1,072;142,066;0,754;0,312;0,108;0,102;743,766;686,272;378,936;104,812;97,618;845,902;1,05;218,246;70,6;1,084;137,592;0,76;0,276;0,132;0,114;654,818;576,3;235,252;106,96;84,642;"1"
"10";2334,552;1,088;224,47;72,4;1,17;140,886;0,79;0,236;0,124;0,098;1872,934;1574,674;554,036;300,666;223,482;1388,882;1,088;218,474;72,8;1,136;141,208;0,758;0,302;0,108;0,094;1054,816;926,764;418,736;155,932;130,52;"1"
"11";1205,29;1,04;209,312;70,4;1,088;134,644;0,726;0,3;0,104;0,102;883,724;789,128;408,946;110,86;99,138;1007,332;1,046;220,094;71,2;1,108;140,194;0,764;0,25;0,138;0,116;796,942;698,432;222,466;162,534;126,73;"1"
"12";400,314;0,994;204,256;70,8;1,012;133,26;0,714;0,284;0,096;0,106;289,734;283,602;104,006;43,048;43,534;500,158;1,044;212,304;72,2;1,088;136,86;0,736;0,272;0,114;0,108;386,134;331,874;131,702;60,888;49,784;"0"
