"";"x"
"1";"https://www.vlr.gg/238281/global-esports-phoenix-vs-scythe-nwj-game-changers-2023-asia-pacific-open-3-playoffs-ubqf"
"2";"https://www.vlr.gg/238282/deviant-topaz-vs-team-smg-gc-game-changers-2023-asia-pacific-open-3-playoffs-ubqf"
"3";"https://www.vlr.gg/238283/full-sense-sapphire-vs-orangutan-x-game-changers-2023-asia-pacific-open-3-playoffs-ubqf"
"4";"https://www.vlr.gg/238284/anomaly-no-charms-vs-rrq-kaguya-game-changers-2023-asia-pacific-open-3-playoffs-ubqf"
"5";"https://www.vlr.gg/244946/kpi-shine-vs-acend-rising-game-changers-2023-stage-ii-emea-playoffs-sf"
"6";"https://www.vlr.gg/244951/case-hydra-vs-odd-1-out-game-changers-2023-stage-ii-emea-playoffs-lr1"
"7";"https://www.vlr.gg/244947/bbl-queens-vs-g2-gozen-game-changers-2023-stage-ii-emea-playoffs-sf"
"8";"https://www.vlr.gg/244950/tiger-anonymo-vs-fut-female-game-changers-2023-stage-ii-emea-playoffs-lr1"
"9";"https://www.vlr.gg/240402/version1-vs-overkill-black-game-changers-2023-series-ii-north-america-ubqf"
"10";"https://www.vlr.gg/240403/shopify-rebellion-gc-vs-complexity-gx3-game-changers-2023-series-ii-north-america-ubqf"
"11";"https://www.vlr.gg/240404/xset-vs-disguised-gc-game-changers-2023-series-ii-north-america-ubqf"
"12";"https://www.vlr.gg/240405/evil-geniuses-gc-vs-faze-clan-gc-game-changers-2023-series-ii-north-america-ubqf"
"13";"https://www.vlr.gg/221965/globant-emerald-team-vs-cruzados-esports-fem-game-changers-2023-latin-america-split-1-round-robi"
"14";"https://www.vlr.gg/221977/leviat-n-gc-vs-akave-esports-black-game-changers-2023-latin-america-split-1-round-robin"
