"";"x"
"1";"https://www.vlr.gg/214688/team-queso-vs-kpi-gaming-challengers-league-spain-rising-split-2-qf"
"2";"https://www.vlr.gg/213479/tbk-esports-vs-oddik-challengers-league-brazil-split-2-ur1"
"3";"https://www.vlr.gg/213536/9z-team-vs-furious-gaming-challengers-league-latam-south-fire-split-2-lf"
"4";"https://www.vlr.gg/213480/liberty-vs-00nation-challengers-league-brazil-split-2-ur1"
