"";"time1RND";"time1R";"time1ACS";"time1KAST";"time1KD";"time1ADR";"time1KPR";"time1APR";"time1FKPR";"time1FDPR";"time1K";"time1D";"time1A";"time1FK";"time1FD";"time2RND";"time2R";"time2ACS";"time2KAST";"time2KD";"time2ADR";"time2KPR";"time2APR";"time2FKPR";"time2FDPR";"time2K";"time2D";"time2A";"time2FK";"time2FD"
"1";1403,962;1,132;231,206;74;1,254;144,504;0,816;0,27;0,14;0,112;1153,528;904,644;368,462;211,11;159,368;1439,976;1,158;242,814;74,4;1,258;152,86;0,856;0,248;0,144;0,108;1233,226;982,43;345,246;214,378;160,098
"2";1405,38;1,048;212,584;72,4;1,106;135,292;0,742;0,28;0,118;0,104;1119,382;940,132;331,286;203,376;155,532;988,322;1,104;209,63;73,6;1,118;133,436;0,73;0,3;0,098;0,086;733,638;628,692;274,154;93,044;77,728
"3";988,304;1,028;217,364;68,8;1,106;139,982;0,764;0,218;0,116;0,102;818,442;681,822;177,578;154,538;107,716;1237,244;0,996;205,584;70;1,006;133,606;0,716;0,288;0,1;0,106;910,406;878,804;327,652;140,428;132,906
"4";868,798;0,95;194,154;69,4;0,95;127,194;0,676;0,26;0,088;0,096;636,904;609,188;203,754;89,066;87,862;858,66;1;196,696;71;0,99;127,788;0,684;0,282;0,09;0,088;630,186;604,904;222,234;111,692;97,75
"5";816,414;1;206,006;69,4;1,042;133,844;0,722;0,238;0,106;0,102;595,372;566,418;194,862;90,73;83,962;562,368;1,01;214,188;70,2;1,032;139,246;0,752;0,246;0,12;0,112;428,756;403,298;131,166;67,528;59,05
"6";1502,08;1,042;203,846;71,4;1,074;130,042;0,724;0,282;0,106;0,1;1102,042;1000,386;409,782;162,05;142,73;603,62;1,004;208,896;69,4;1,076;134,288;0,738;0,258;0,1;0,09;465,116;412,478;148,726;71,104;56,756
"7";1025,084;0,95;215,844;65,4;1,104;134,858;0,752;0,276;0,118;0,1;779,882;699,852;295,5;128,732;100,5;1423,438;1;206,586;69,2;1,11;132,256;0,724;0,286;0,094;0,084;1066,552;897,702;347,696;140,118;111,656
"8";1715,808;1,084;217,86;73;1,144;139,854;0,76;0,282;0,112;0,09;1373,562;1165,904;467,478;222,77;166,474;1045,664;1,004;213,97;69,4;1,064;138,288;0,742;0,294;0,112;0,1;757,242;712,53;308,062;109,16;92,62
"9";810,466;0,966;189,952;69,8;0,94;123,43;0,654;0,296;0,078;0,09;523,67;561,986;249,98;66,81;72,618;1325,1;1,044;216,73;71,8;1,11;138,012;0,764;0,246;0,12;0,104;1035,53;913,016;280,604;182,42;144,526
"10";706,71;1,036;204,268;71,8;1,044;132,54;0,718;0,288;0,104;0,094;555,404;485,308;178,738;92,258;72,906;840,238;1,024;200,304;70,8;1,058;129,598;0,712;0,26;0,086;0,086;631,278;552,844;200,826;84,18;62,388
"11";2249,566;1,024;210,522;69,8;1,088;134,504;0,732;0,27;0,12;0,102;1732,028;1536,644;585,696;320,044;246,306;1485,426;1,032;220,95;70;1,076;140,744;0,772;0,214;0,146;0,124;1268,33;1073,526;271,798;283,236;222,898
"12";996,286;1,024;218,362;69,4;1,086;139,652;0,764;0,268;0,118;0,106;767,918;687,862;263,656;109,322;95,748;1384,188;1,03;214,35;71,8;1,046;137,862;0,742;0,292;0,118;0,11;1046,828;965,58;451,064;155,682;137,77
"13";832,53;1,018;213,012;69,4;1,056;138,7;0,742;0,27;0,108;0,106;640,518;585,214;222,91;98,048;92,666;917,194;1,016;219,022;70,6;1,074;140,494;0,762;0,282;0,126;0,114;706,956;651,194;205,976;120,948;106,57
"14";1388,494;1,042;215,468;71,4;1,122;138,622;0,76;0,24;0,112;0,098;1057,862;943,296;321,048;160,31;139,902;652,966;0,994;206,934;69,4;1,046;132,774;0,726;0,26;0,112;0,1;493,124;442,698;163,252;82,82;64,386
"15";590,238;1,084;219,01;72,6;1,124;140,4;0,764;0,298;0,128;0,104;463,388;413,016;154,52;87,056;69,024;738,974;0,992;202,438;71;0,994;132,082;0,714;0,288;0,106;0,116;519,682;505,528;228,08;65,494;68,028
"16";660,294;1,05;214,598;72,2;1,094;139,076;0,746;0,276;0,116;0,11;505,134;443,304;179,196;77,484;65,676;492,546;0,99;212;70,2;1,034;136,962;0,742;0,258;0,114;0,11;370,766;352,742;122,818;60,13;56,15
"17";1001,952;0,978;196,786;69;0,996;126,828;0,692;0,282;0,106;0,114;677,704;687,886;332,64;94,428;97,55;478,304;1,006;207,238;69,8;1,048;133,044;0,73;0,276;0,092;0,1;337,76;338,832;133,848;40,792;45,476
