"";"x"
"1";"https://www.vlr.gg/186282/alter-ego-vs-le-crapaud-challengers-league-indonesia-split-2-winners-a"
"2";"https://www.vlr.gg/186283/90-kg-vs-hero-zero-anubis-challengers-league-indonesia-split-2-elim-a"
"3";"https://www.vlr.gg/186288/arcane-vs-tiger-wong-esports-challengers-league-indonesia-split-2-elim-b"
"4";"https://www.vlr.gg/186287/dominatus-vs-hike-digital-esports-challengers-league-indonesia-split-2-winners-b"
"5";"https://www.vlr.gg/183550/globant-emerald-team-vs-kr-blaze-game-changers-2023-latin-america-split-1-round-robin"
