"";"time1RND";"time1R";"time1ACS";"time1KAST";"time1KD";"time1ADR";"time1KPR";"time1APR";"time1FKPR";"time1FDPR";"time1K";"time1D";"time1A";"time1FK";"time1FD";"time2RND";"time2R";"time2ACS";"time2KAST";"time2KD";"time2ADR";"time2KPR";"time2APR";"time2FKPR";"time2FDPR";"time2K";"time2D";"time2A";"time2FK";"time2FD"
"1";2022,74;1,114;237,142;71,8;1,198;147,884;0,828;0,218;0,152;0,116;1793,086;1417,958;382,948;381,162;267,426;1676,9;1,122;222,18;74,6;1,252;139,298;0,782;0,288;0,12;0,096;1305,824;1048,966;465,422;209,386;167,576
"2";491,428;0,978;206,31;70,2;0,986;133,162;0,714;0,274;0,12;0,12;360,666;358,454;121,804;68,102;63,216;247,682;0,928;200,958;67,4;0,954;130,196;0,696;0,284;0,104;0,116;171,908;171,512;64,19;18,824;17,582
"3";477,508;0,972;197,054;70,2;0,968;128,878;0,69;0,28;0,098;0,104;333,178;339,242;130,386;46,536;44,662;926,918;1,104;222,672;72,4;1,152;144,212;0,776;0,262;0,12;0,1;732,492;619,208;230,278;118,856;95,072
"4";1639,632;1;210,566;68,4;1,118;132,988;0,74;0,25;0,112;0,096;1238,722;1080,706;366,372;207,444;166,848;1048,338;1,02;209,348;70,8;1,076;135,194;0,732;0,244;0,094;0,09;803,25;708,076;252,948;111,37;88,028
"5";175,738;0,89;194,484;67;0,916;128,248;0,682;0,236;0,108;0,13;119,318;130,806;37,742;17,084;20,834;629,262;1,024;212,592;70,4;1,036;136,71;0,742;0,286;0,11;0,102;487,624;463,59;165,212;88,436;76,956
"6";1536,766;1,16;225,802;75,2;1,228;147,156;0,786;0,312;0,102;0,082;1134,016;958,036;536,23;129,044;99,214;868,8;1,016;210,69;69,4;1,086;135,774;0,746;0,25;0,11;0,1;646,428;590,39;223,254;95,786;84,838
"7";1184,192;1,06;215,202;72,4;1,09;139,264;0,756;0,28;0,1;0,09;926,528;822,562;297,766;140,236;114,224;941,644;1,062;226,082;71;1,142;142,364;0,792;0,256;0,122;0,108;748,186;654,288;231,532;121,498;106,538
"8";1363,806;1,092;222,358;72,8;1,156;143,984;0,782;0,266;0,122;0,1;1095,514;933,404;348,57;181,808;137,476;1718,068;1,07;212,092;72,8;1,124;138,05;0,75;0,254;0,106;0,098;1315,762;1143,334;407,402;207,706;179,038
"9";536,124;0,874;197,842;62,8;0,966;128,46;0,69;0,242;0,094;0,098;406,076;381,1;116,37;73,204;69,622;1056,842;1,09;220,868;72,2;1,164;142,338;0,778;0,262;0,122;0,11;854,536;710,92;247,368;147,734;126,194
"10";916,956;1,034;207,844;72;1,046;132,804;0,712;0,312;0,108;0,096;629,27;613,172;338,684;77,608;72,882;310,37;0,984;202,234;70,8;0,984;133,05;0,708;0,274;0,088;0,108;217,338;218,398;90,204;25,94;28,868
"11";1224;1,126;222,612;74,4;1,216;140,432;0,776;0,306;0,106;0,086;980,696;766,096;366,258;135,428;98,198;1721,46;0,98;215,148;68,4;1,108;135,114;0,744;0,282;0,11;0,094;1281,404;1140,562;509,414;173,066;130,112
"12";747,024;1,086;213,382;74;1,116;137,74;0,764;0,26;0,118;0,098;568,642;507,41;184,746;91,118;73,554;527,994;0,988;203,908;70,2;1,008;133,448;0,718;0,264;0,104;0,104;386,4;367,156;130,632;57,984;52,158
"13";1027,768;1,022;202,3;71,6;1,054;132,198;0,712;0,282;0,094;0,086;822,934;695,322;252,534;136,382;106,72;1416,772;1,084;202,236;74;1,11;132,428;0,714;0,296;0,09;0,078;983,688;884,53;465,358;118,874;98,558
"14";1037,45;1,104;227,002;71,6;1,172;146,106;0,796;0,25;0,132;0,11;836,242;691,268;271,32;138,554;104,202;538,982;0,994;207,052;69,4;1,008;132,722;0,724;0,264;0,106;0,112;406,428;384,474;122,596;67,976;62,826
