"";"time1RND";"time1R";"time1ACS";"time1KAST";"time1KD";"time1ADR";"time1KPR";"time1APR";"time1FKPR";"time1FDPR";"time1K";"time1D";"time1A";"time1FK";"time1FD";"time2RND";"time2R";"time2ACS";"time2KAST";"time2KD";"time2ADR";"time2KPR";"time2APR";"time2FKPR";"time2FDPR";"time2K";"time2D";"time2A";"time2FK";"time2FD";"ganhador"
"1";858,498;1,028;217,048;68,4;1,16;139,212;0,758;0,298;0,102;0,088;661,332;554,722;278,736;82,524;63,814;419,464;1,088;221,682;71,8;1,124;143,648;0,77;0,264;0,116;0,102;318,604;284,834;114,546;46,298;40,804;"1"
"2";665,686;1,104;225,728;72;1,222;144,192;0,79;0,262;0,132;0,108;550,75;464,422;154,334;116,544;90,64;572,178;1,106;216,288;73;1,148;138,408;0,756;0,308;0,104;0,092;439,552;373,254;182,794;57,878;51,356;"0"
"3";278,616;0,924;191,194;69,2;0,932;125,856;0,662;0,27;0,08;0,088;200,784;195,168;65,462;26,218;27,118;846,048;1,064;211,882;72,2;1,114;138,538;0,746;0,298;0,094;0,088;592,564;573,212;270,796;73,654;70,672;"0"
"4";979,766;1,01;204,27;70,8;1,01;132,732;0,708;0,276;0,096;0,102;691,542;687,094;266,504;90,92;93,612;1324,674;1,098;222,42;73,4;1,15;143,65;0,784;0,298;0,108;0,09;1071,138;908,834;360,91;166,026;129,866;"0"
"5";1319,848;1,028;203,976;70,6;1,066;129,598;0,726;0,27;0,106;0,102;972,488;884,256;353,094;142,382;126,372;534,306;0,928;192,13;68,8;0,916;126,486;0,662;0,28;0,096;0,108;380,816;394,17;127,282;71,238;72,464;"1"
"6";973,388;1,02;216,608;69,6;1,078;139,52;0,746;0,294;0,116;0,1;707,474;658,784;295,694;99,098;82,752;965,39;0,978;212,062;68,4;1,036;137,086;0,736;0,298;0,102;0,098;730,892;680,018;283,174;101,562;91,242;"1"
"7";1618,618;1;210,714;68,4;1,124;132,926;0,74;0,25;0,112;0,092;1222,992;1066,806;361,878;205,348;165,03;1878,038;1,032;210,708;71;1,132;134,928;0,74;0,288;0,102;0,088;1339,816;1188,5;614,836;151,01;111,196;"1"
"8";1323,588;1,022;215,944;71,2;1,04;138,472;0,746;0,282;0,12;0,114;1004,234;923,55;442,806;146,278;129,686;643,914;0,992;202,212;69,6;1,04;131,94;0,71;0,248;0,088;0,088;462,472;437,176;159,83;56,908;53,908;"1"
"9";827,796;1,008;222,236;69,8;1,076;142,664;0,774;0,268;0,126;0,116;651,054;588,52;175,976;113,916;98,49;1684,804;1,092;219,912;73,2;1,154;141,106;0,768;0,278;0,114;0,092;1355,096;1146,986;456,502;220,204;162,982;"1"
"10";813,972;0,988;207,074;69,6;1,068;132,588;0,73;0,244;0,114;0,096;633,828;547,252;170,228;107,19;79,128;900,702;1,022;222,276;69,2;1,092;141,39;0,774;0,268;0,122;0,108;697,418;626,506;238,342;99,558;86,818;"1"
"11";1190,492;1,034;217,568;71;1,106;137,924;0,768;0,24;0,124;0,106;930,756;823,906;249,936;164,004;129,428;1138,254;1,044;223,592;70,4;1,144;143,6;0,788;0,226;0,122;0,1;936,942;783,494;213,178;165,908;117,852;"0"
"12";2160,296;1,026;212,298;69,2;1,1;135,486;0,738;0,264;0,122;0,1;1668,698;1470,518;574,056;307,582;233,156;827,952;0,996;199,068;70,8;0,98;128,88;0,686;0,28;0,096;0,094;609,576;583,494;208,792;109,416;94,474;"1"
"13";1188,422;0,94;198,762;67,4;0,97;128,578;0,704;0,238;0,116;0,114;959,884;866,218;181,464;201,988;161,442;679,032;1,084;213,432;73,6;1,116;137,222;0,762;0,25;0,12;0,096;517,106;463,988;160,046;84,94;68,454;"0"
"14";1465,834;1,004;209,32;69;1,122;133,132;0,732;0,27;0,096;0,086;1090,666;921,118;353,822;138,708;109,91;963,328;0,998;205,068;68,8;1,058;131,302;0,726;0,258;0,104;0,102;718,998;659,902;237,426;115,252;102,108;"0"
"15";787,568;1,016;215,506;68,8;1,064;140,334;0,748;0,26;0,11;0,108;609,652;554,866;208,864;94,044;87,256;587,758;1,03;210,428;70;1,118;135,274;0,744;0,254;0,096;0,084;473,124;390,204;131,574;76,452;54,674;"0"
"16";741,96;1,01;211,114;69;1,084;136,706;0,746;0,218;0,116;0,102;552,246;509,704;149,836;83,5;75,438;884,69;1,112;224,014;72,6;1,164;144,986;0,782;0,262;0,124;0,102;700,47;590,94;221,532;114,25;90,65;"0"
