"";"time1RND";"time1R";"time1ACS";"time1KAST";"time1KD";"time1ADR";"time1KPR";"time1APR";"time1FKPR";"time1FDPR";"time1K";"time1D";"time1A";"time1FK";"time1FD";"time2RND";"time2R";"time2ACS";"time2KAST";"time2KD";"time2ADR";"time2KPR";"time2APR";"time2FKPR";"time2FDPR";"time2K";"time2D";"time2A";"time2FK";"time2FD";"ganhador"
"1";1065,25;1,024;209,466;71,2;1,078;132,442;0,732;0,262;0,104;0,098;828,458;737,004;235,326;133,96;118,77;255,894;0,95;197,066;70,2;0,988;125,056;0,686;0,29;0,084;0,106;193,974;186,942;49,572;29,888;28,514;"1"
"2";415,312;1,022;221,42;70,2;1,076;142,844;0,77;0,252;0,124;0,108;325,472;300,388;98,284;58,354;48,62;711,332;1,01;208,202;71;1,042;135,258;0,726;0,268;0,112;0,106;519,232;498,678;193,146;83,214;79,392;"1"
"3";271,626;0,924;195,664;67;0,918;130,344;0,674;0,276;0,082;0,088;185,806;196,47;75,948;22,628;25,308;486,924;0,928;201,774;66,4;0,934;130,126;0,688;0,264;0,098;0,106;352,984;357,81;127,778;52,036;49,136;"0"
"4";467,992;1,03;212,122;70,2;1,122;137,076;0,738;0,288;0,098;0,084;350,006;309,536;132,324;47,88;39,38;1127,19;1,034;222,11;68;1,158;142,084;0,776;0,28;0,118;0,1;919,626;758,558;277,552;157,416;116,41;"1"
"5";1997,374;1,068;220,074;71,2;1,122;141,58;0,774;0,24;0,112;0,098;1537,252;1347,646;527,27;215,834;173,02;1997,374;1,068;220,074;71,2;1,122;141,58;0,774;0,24;0,112;0,098;1537,252;1347,646;527,27;215,834;173,02;"0"
"6";1242,306;0,998;206,982;70,2;1,04;133,826;0,728;0,254;0,104;0,094;934,222;847,316;326,71;127,452;97,028;889,99;0,986;203,084;70;1,022;131,526;0,714;0,26;0,1;0,09;661,896;610,102;229,18;94,064;73,086;"0"
"7";114,34;1,04;207,324;70,2;1,048;133,592;0,712;0,27;0,106;0,096;84,758;79,01;29,746;12,462;11;386,53;0,982;207,194;69,8;1,072;133,61;0,732;0,25;0,108;0,096;283,65;263,622;95,042;37,53;35,502;"0"
"8";515,416;0,992;202,954;69;1,026;131,866;0,708;0,288;0,098;0,096;380,902;354,566;145,436;53,13;47,906;195,014;0,952;207,604;69;0,956;135,236;0,712;0,306;0,104;0,102;144,902;144,362;58,922;21,872;20,46;"1"
"9";656,334;0,958;189,778;69,6;0,95;126,85;0,658;0,3;0,078;0,094;425,914;444,492;234,534;40,538;45,066;953,986;1,138;236,644;73,2;1,194;151,104;0,826;0,262;0,144;0,118;819,416;676,58;221,924;160,348;127,444;"0"
"10";1043,814;1,028;209,174;70,2;1,058;134,004;0,732;0,266;0,106;0,09;772,64;717,03;279,01;111,252;93,346;1355,096;1,1;222,156;73,6;1,15;143,56;0,78;0,294;0,108;0,09;1095,24;929,498;367,85;170,658;132,346;"0"
"11";366,502;0,938;199,074;70;0,926;133,37;0,698;0,274;0,096;0,104;255,216;274,394;98,31;35,266;38,556;831,228;1,038;227,854;71,4;1,106;144,552;0,8;0,232;0,138;0,116;677,652;599,142;185,846;115,736;89,028;"0"
"12";915,162;1,006;210,958;70;1,038;136,514;0,728;0,28;0,104;0,094;663,776;626,438;289,018;82,276;73,34;447,528;1,054;211,138;71,2;1,074;135,284;0,74;0,282;0,114;0,106;340,662;316,21;115,26;61,29;55,464;"1"
"13";805,438;0,982;202,44;69,8;1,028;131,676;0,704;0,256;0,092;0,086;580,706;536,564;229,9;65,648;54,808;653,346;0,678;207,908;49,4;1,016;132,696;0,726;0,244;0,1;0,106;598,798;486,264;125,448;130,894;92,276;"1"
"14";279,33;0,96;207,292;67,2;1,014;131,522;0,724;0,304;0,108;0,1;201,082;201,182;84,516;27,368;27,438;1041,768;1,09;221,738;73,2;1,16;140,132;0,776;0,28;0,116;0,096;818,756;695,39;290,058;123,08;94,662;"0"
"15";103,778;0,858;190,176;64,4;0,862;127,148;0,66;0,246;0,08;0,122;71,866;78,912;24,666;9,122;11,222;394,246;1,042;213,294;71,4;1,078;138,316;0,744;0,29;0,106;0,102;275,792;266,506;140,876;35,062;34,286;"0"
"16";113,952;0,974;200,526;68,4;1,006;133,98;0,7;0,262;0,09;0,1;78,868;82,858;20,584;10,054;11,028;123,87;0,93;190,998;70,4;0,912;124,524;0,658;0,28;0,084;0,094;80,148;88,12;35,628;9,912;10,456;"0"
"17";851,79;1,054;218,916;73;1,136;138,818;0,77;0,24;0,116;0,104;678,886;598,04;175,342;114,898;100,246;1304,508;1,024;203,758;71,4;1,058;132,838;0,724;0,274;0,096;0,088;934;866,178;381,944;108,892;99,45;"1"
"18";296,914;0,908;188,242;68,2;0,916;123,622;0,654;0,27;0,086;0,088;211,756;208,59;69,83;28,256;28,698;984,798;1,01;204,06;70,8;1,006;132,616;0,708;0,274;0,096;0,102;694,12;691,574;267,378;91,116;94,612;"1"
"19";61,902;1,022;210,694;69,4;1,054;136,338;0,732;0,256;0,118;0,104;42,792;44,818;14,836;6,868;6,728;1795,576;1,064;211,21;73,2;1,094;134,9;0,738;0,278;0,106;0,096;1420,25;1243,994;467,778;238,356;198,456;"0"
"20";1932,228;1,106;232,78;71,8;1,252;147,24;0,816;0,298;0,122;0,092;1642,766;1266,726;568,558;266,42;163,812;1185,462;1,104;233,17;72;1,236;148,11;0,812;0,272;0,13;0,102;976,872;788,81;319,902;167,704;129,016;"0"
"21";1315,952;1,02;208,23;72;1,072;132,836;0,722;0,258;0,114;0,104;1052,756;878,732;313,998;189,386;143,246;1201,152;1,04;225,946;70,6;1,138;140,122;0,794;0,226;0,142;0,11;1019,426;847,034;245,73;202,578;142,804;"0"
