"";"x"
"1";"https://www.vlr.gg/184522/paper-rex-vs-drx-champions-tour-2023-pacific-league-playoffs-gf"
"2";"https://www.vlr.gg/213198/fnatic-vs-team-liquid-champions-tour-2023-emea-league-gf"
"3";"https://www.vlr.gg/189055/loud-vs-nrg-esports-champions-tour-2023-americas-league-gf"
