"";"x"
"1";"https://www.vlr.gg/184521/drx-vs-t1-champions-tour-2023-pacific-league-playoffs-lf"
"2";"https://www.vlr.gg/213202/team-liquid-vs-fut-esports-champions-tour-2023-emea-league-lbf"
"3";"https://www.vlr.gg/189059/evil-geniuses-vs-nrg-esports-champions-tour-2023-americas-league-lbf"
