"";"x"
"1";"https://www.vlr.gg/198833/kunpeng-gaming-vs-invincible-gaming-fgc-valorant-invitational-2023-act-2-qualifiers-ro16"
"2";"https://www.vlr.gg/198834/number-one-player-vs-invictus-gaming-fgc-valorant-invitational-2023-act-2-qualifiers-ro16"
"3";"https://www.vlr.gg/193444/igzist-vs-scarz-challengers-league-japan-split-2-d4"
"4";"https://www.vlr.gg/193904/gwangju-shadow-vs-nongshim-redforce-world-cyber-games-challengers-league-korea-split-2-w2"
"5";"https://www.vlr.gg/189037/rambutan-ni-tatay-vs-stream-raiders-nacague-challengers-league-philippines-split-2-regular-seaso"
"6";"https://www.vlr.gg/199040/team-big-baam-vs-the-mad-men-challengers-league-vietnam-split-2-d11"
"7";"https://www.vlr.gg/193267/funcrew-vs-95x-esports-challengers-league-oceania-split-2-group-stage-w3"
"8";"https://www.vlr.gg/198835/royal-never-give-up-vs-trace-esports-fgc-valorant-invitational-2023-act-2-qualifiers-ro16"
"9";"https://www.vlr.gg/188360/full-sense-vs-attack-all-around-challengers-league-thailand-split-2-w3"
"10";"https://www.vlr.gg/193445/crest-gaming-zst-vs-jadeite-challengers-league-japan-split-2-d4"
"11";"https://www.vlr.gg/193905/slt-seongam-vs-incheon-on-sla2ers-world-cyber-games-challengers-league-korea-split-2-w2"
"12";"https://www.vlr.gg/199041/fancy-united-esports-vs-twokay-challengers-league-vietnam-split-2-d11"
"13";"https://www.vlr.gg/193268/the-who-vs-xyz-challengers-league-oceania-split-2-group-stage-w3"
"14";"https://www.vlr.gg/188361/team-nkt-vs-the-infinity-esport-challengers-league-thailand-split-2-w3"
"15";"https://www.vlr.gg/195702/velocity-gaming-vs-gods-reign-challengers-league-south-asia-split-1-lr1"
"16";"https://www.vlr.gg/184039/fut-esports-vs-giants-gaming-champions-tour-2023-emea-league-w4"
"17";"https://www.vlr.gg/196137/oxygen-esports-vs-disguised-challengers-league-north-america-w1"
"18";"https://www.vlr.gg/193558/liberty-vs-red-canids-challengers-league-brazil-split-2-w3"
