"";"x"
"1";"https://www.vlr.gg/179449/douyu-gaming-vs-monarch-effect-fgc-valorant-invitational-2023-act-1-qualifiers-ro16"
"2";"https://www.vlr.gg/179450/invincible-gaming-vs-dd-team-fgc-valorant-invitational-2023-act-1-qualifiers-ro16"
"3";"https://www.vlr.gg/170404/mekong-gaming-vs-team-lofi-challengers-league-vietnam-split-1-w4"
"4";"https://www.vlr.gg/170405/victory-vs-tim-t-i-tr-challengers-league-vietnam-split-1-w4"
"5";"https://www.vlr.gg/179451/four-angry-men-vs-kpg-fgc-valorant-invitational-2023-act-1-qualifiers-ro16"
"6";"https://www.vlr.gg/179452/night-wings-gaming-vs-drg-esports-club-fgc-valorant-invitational-2023-act-1-qualifiers-ro16"
"7";"https://www.vlr.gg/165590/thunderbolts-gaming-vs-digital-athletics-challengers-league-turkey-birlik-split-1-w7"
"8";"https://www.vlr.gg/165591/galatasaray-esports-vs-fenerbah-e-esports-challengers-league-turkey-birlik-split-1-w7"
"9";"https://www.vlr.gg/167050/keyd-stars-vs-tbk-esports-challengers-league-brazil-split-1-w6"
"10";"https://www.vlr.gg/169000/disguised-vs-oresports-challengers-league-north-america-w3"
"11";"https://www.vlr.gg/167051/red-canids-vs-tropicaos-challengers-league-brazil-split-1-w6"
"12";"https://www.vlr.gg/179493/skull-cracker-vs-19esports-challengers-league-latam-north-ace-split-1-w1"
"13";"https://www.vlr.gg/169001/m80-vs-mad-lions-challengers-league-north-america-w3"
"14";"https://www.vlr.gg/179494/fusion-vs-six-karma-challengers-league-latam-north-ace-split-1-w1"
