;time1RND;time1R;time1ACS;time1KAST;time1KD;time1ADR;time1KPR;time1APR;time1FKPR;time1FDPR;time1K;time1D;time1A;time1FK;time1FD;time2RND;time2R;time2ACS;time2KAST;time2KD;time2ADR;time2KPR;time2APR;time2FKPR;time2FDPR;time2K;time2D;time2A;time2FK;time2FD;ganhador
1;646,968;1,104;226,534;71,8;1,23;144,42;0,792;0,254;0,132;0,11;537,236;452,59;146,796;114,058;88,952;689,434;1,032;207,926;71;1,068;133,944;0,724;0,288;0,112;0,1;484,964;457,142;199,124;69,862;61,994;1
2;1219,684;1,036;210,274;71,8;1,06;136,644;0,732;0,288;0,094;0,094;888,446;837,318;325,418;111,496;107,404;211,202;0,948;197,304;70,6;0,922;129,252;0,674;0,334;0,102;0,106;146,084;156,542;64,084;21,216;21,474;1
3;1364,016;1,1;223;72,8;1,172;143,296;0,776;0,288;0,118;0,102;1095,962;914,264;369,27;180,198;151,788;391,628;1,048;216,922;71,4;1,126;141,042;0,758;0,254;0,118;0,106;307,966;260,916;98,18;43,008;37,688;1
4;804,684;1,098;224,902;73;1,14;144,286;0,792;0,268;0,116;0,1;647,548;554,842;183,838;102,102;85,752;164,11;1,05;213,944;72,8;1,052;140,858;0,742;0,328;0,102;0,1;123,612;116,338;53,798;17,174;15,842;1
5;654,19;1,048;212,532;71,8;1,06;136,404;0,744;0,284;0,108;0,106;491,832;464,312;184,92;76,048;70,812;1751,78;1,064;210,918;73,2;1,09;134,542;0,742;0,276;0,106;0,096;1387,162;1215,694;453,91;233,528;194,832;1
6;1044,91;1,022;209,37;70,8;1,072;132,252;0,734;0,26;0,104;0,098;812,744;723,324;230,482;130,4;116,142;899,84;0,976;201,45;70,6;0,98;131,162;0,698;0,282;0,096;0,104;716,986;642,328;213,09;132,826;115,05;0
7;237,106;0,98;202,374;68,8;0,95;131,246;0,69;0,312;0,102;0,102;165,43;173,598;82,314;23,12;24,654;1013,12;1,056;209,492;72,4;1,09;136,44;0,726;0,322;0,098;0,086;723,128;640,206;370,176;80;63,082;0
8;903,684;1,002;210,798;70;1,036;136,4;0,728;0,28;0,104;0,096;654,714;619,136;284,964;80,424;72,602;338,096;0,942;199,768;70,6;0,936;133,648;0,7;0,276;0,1;0,104;236,924;251,774;91,266;33,516;34,748;1
9;167,932;1,008;194,434;72,6;1,036;126,396;0,686;0,28;0,08;0,062;116,32;113,502;51,984;11,412;11,19;239,084;0,968;199,13;69,6;0,976;128,186;0,696;0,3;0,096;0,098;176,164;170,222;57,812;28,202;26,388;1
10;891,808;1;211,038;69,6;1,056;135,63;0,748;0,228;0,12;0,108;683,81;617,552;209,286;104,914;81,906;1634,134;1,026;200,332;71,8;1,05;131,406;0,704;0,296;0,08;0,076;1172,544;1081,936;490,47;129,84;113,138;0
11;948,184;1,048;223,25;71,8;1,072;142,068;0,772;0,274;0,13;0,124;779,558;700,226;221,578;157,842;131,696;201,758;1,01;211,178;71,2;1,036;137,74;0,738;0,272;0,096;0,102;148,754;146,584;53,692;20,648;22,508;1
12;754,65;1,144;232,382;76,2;1,216;148,596;0,814;0,28;0,112;0,094;572,144;517,064;200,746;82,026;76,722;952,786;1,138;236,964;73,2;1,192;151,216;0,826;0,26;0,148;0,118;819,892;676,388;219,894;161,156;127,878;0
13;825,582;1,04;228,318;71,4;1,11;144,872;0,802;0,23;0,138;0,116;674,24;595,138;185,2;115,204;88,008;1241,482;1,06;211,926;73,2;1,122;134,11;0,748;0,252;0,106;0,092;968,85;835,138;276,904;148,924;120,694;0
14;1172,022;1,014;220,594;69,4;1,128;142,672;0,776;0,228;0,128;0,11;891,736;767,678;292,22;119,232;99,124;1098,72;1,038;207,4;72,4;1,088;133,37;0,726;0,252;0,096;0,088;813,712;706,342;292,144;94,932;77,418;0
15;542,784;1,108;216,864;72,8;1,152;138,61;0,756;0,306;0,104;0,092;418,08;353,982;171,892;55,444;48,662;531,556;1,036;203,676;70,2;1,064;129,7;0,71;0,29;0,104;0,098;385,04;348,812;147,106;51,792;47,452;1
16;105,912;0,886;196,256;66;0,896;131,206;0,68;0,25;0,084;0,118;73,688;80,426;25,526;9,052;11,412;335,216;1,028;210,882;72;1,074;134,684;0,728;0,28;0,118;0,114;247,542;223,728;98,392;36,926;34,726;0
17;112,342;0,978;200,564;68,4;1,008;134,1;0,7;0,264;0,088;0,098;77,824;81,544;20,528;9,79;10,856;170,37;1,008;202,48;72,6;1,01;133,434;0,7;0,33;0,088;0,088;114,744;119,108;56,95;13,732;14,636;0
