"";"time1RND";"time1R";"time1ACS";"time1KAST";"time1KD";"time1ADR";"time1KPR";"time1APR";"time1FKPR";"time1FDPR";"time1K";"time1D";"time1A";"time1FK";"time1FD";"time2RND";"time2R";"time2ACS";"time2KAST";"time2KD";"time2ADR";"time2KPR";"time2APR";"time2FKPR";"time2FDPR";"time2K";"time2D";"time2A";"time2FK";"time2FD"
"1";1401,168;1,066;211,548;73,2;1,118;134,344;0,746;0,262;0,104;0,094;1092,658;940,458;323,562;169,786;136,792;947,67;1,042;226,27;71,6;1,108;143,696;0,798;0,238;0,134;0,114;766,968;676,622;215,19;130,724;102,34
"2";384,7;1,076;211,474;71,8;1,112;138,314;0,738;0,294;0,106;0,1;290,798;253,926;106,002;43,19;35,308;572,156;1,026;211,104;70,6;1,108;136,752;0,736;0,294;0,102;0,086;430,536;382,072;157,096;62,674;50,474
"3";474,27;1,002;218,554;70,2;1,076;140,236;0,756;0,256;0,128;0,116;359,104;340,284;112,188;65,234;59,656;441,876;0,928;203,974;66,2;0,978;132,17;0,702;0,272;0,104;0,1;311,744;312,568;126,932;45,558;40,094
"4";630,234;0,94;198,904;68,8;0,942;129,822;0,692;0,256;0,1;0,104;441,014;464,628;150,544;69,744;68,56;1404,704;1,066;223,14;71,4;1,136;142,972;0,786;0,244;0,128;0,106;1114,99;975,742;319,664;188,526;156,78
"5";811,874;1,02;209,08;71,6;1,048;133,294;0,738;0,294;0,104;0,098;735,574;596,22;169,58;155,844;109,188;559,596;1,052;212,436;72,2;1,082;133,998;0,752;0,316;0,106;0,102;429,368;396,304;160,996;67,134;61,634
"6";1874,664;1,084;219,098;73,2;1,134;140,326;0,756;0,288;0,116;0,098;1451,744;1241,942;517,678;231,738;185,788;648,858;1,018;213,298;71,4;1,052;137,662;0,742;0,282;0,112;0,1;484,19;448,552;190,434;70,21;65,048
"7";424,806;1,016;203,186;71,6;1;132,028;0,704;0,3;0,1;0,104;306,572;300,388;114,54;42,708;43,062;396,2;1,084;216,338;72,8;1,106;140,444;0,752;0,316;0,104;0,1;304,254;269,388;121,302;42,242;40,518
"8";761,754;1,02;209,066;71;1,058;135,746;0,734;0,258;0,104;0,096;580,646;531,564;182,36;89,804;81,76;542,39;1,018;205,41;72,6;1,042;133,082;0,71;0,31;0,094;0,09;433,622;363,654;173,814;60,338;47,608
"9";2137,046;1,122;225,5;73,6;1,176;143,766;0,796;0,258;0,126;0,1;1816,246;1455,638;478,106;331,332;241,352;853,524;1,012;209,954;69;1,08;135,8;0,736;0,24;0,11;0,094;639,21;588,006;196,058;100,366;83,398
"10";424,314;1,012;206,714;70,4;1,038;134,3;0,722;0,278;0,098;0,106;297,212;299,042;118,22;40,374;44,97;689,768;0,99;212,082;69,6;1,062;136,324;0,738;0,264;0,124;0,11;530,71;480,476;176,022;95,26;81,608
"11";1315,356;1,11;231,478;72,6;1,238;147,246;0,808;0,276;0,128;0,1;1085,848;870,556;351,334;188,572;143,396;2592,654;1,112;229,734;73,2;1,216;144,228;0,806;0,246;0,126;0,1;2203,154;1734,526;588,734;377,168;233,944
"12";2277,286;1,06;218,434;71,6;1,126;140,61;0,768;0,272;0,104;0,096;1787,832;1526,866;641,246;234,44;194,972;1782,22;1,024;210,616;69,8;1,088;131,834;0,738;0,274;0,11;0,096;1412,164;1209,144;435,536;259,078;191,762
"13";581,72;1,08;219,252;72,6;1,124;140,46;0,764;0,298;0,13;0,104;456,704;406,946;151,116;85,858;68,67;741,442;0,992;202,286;71,2;0,994;132,066;0,712;0,29;0,106;0,116;520,464;506,726;228,958;65,5;67,826
"14";1521;1,05;219,794;71;1,13;140,62;0,77;0,278;0,112;0,1;1167,522;1027,63;428,552;160,114;139,094;2390,558;1,076;221,84;72,4;1,148;139,718;0,782;0,248;0,122;0,098;1904,73;1617,958;574,442;306,186;231,322
"15";1362,508;1,028;212,23;71,2;1,078;135,724;0,73;0,288;0,118;0,102;1014,512;908,706;401,58;157,386;129,354;1288,518;1,046;208,728;70,8;1,09;134,268;0,724;0,3;0,106;0,1;943,21;840,27;436,372;118,888;107,25
"16";294,042;0,954;197,1;68,4;0,95;127,954;0,692;0,27;0,106;0,112;196,964;212;77,72;29,468;29,79;984,058;0,972;197,276;68,8;0,994;127,118;0,692;0,282;0,106;0,114;664,642;677,144;328,306;91,986;95,268
"17";1351,472;1,102;215,562;74,4;1,14;138,288;0,756;0,302;0,102;0,094;1041,016;900,81;383,174;156,98;134,506;1781,244;1,048;209,326;72,4;1,048;135,768;0,722;0,306;0,106;0,098;1298,626;1225,696;548,072;192,142;174,106
