"";"x"
"1";"https://www.vlr.gg/184513/zeta-division-vs-team-secret-champions-tour-2023-pacific-league-playoffs-ubr1"
"2";"https://www.vlr.gg/204444/edward-gaming-vs-funplus-phoenix-fgc-valorant-invitational-2023-act-2-lr1"
"3";"https://www.vlr.gg/184514/t1-vs-gen-g-champions-tour-2023-pacific-league-playoffs-ubr1"
"4";"https://www.vlr.gg/204442/attacking-soul-esports-vs-bilibili-gaming-fgc-valorant-invitational-2023-act-2-uf"
"5";"https://www.vlr.gg/204053/godlike-esports-vs-true-rippers-challengers-league-south-asia-split-2-w4"
"6";"https://www.vlr.gg/184060/koi-vs-team-liquid-champions-tour-2023-emea-league-w8"
"7";"https://www.vlr.gg/184034/cloud9-vs-kr-esports-champions-tour-2023-americas-league-w8"
"8";"https://www.vlr.gg/184061/bbl-esports-vs-fut-esports-champions-tour-2023-emea-league-w8"
"9";"https://www.vlr.gg/184035/leviat-n-vs-loud-champions-tour-2023-americas-league-w8"
