"";"time1RND";"time1R";"time1ACS";"time1KAST";"time1KD";"time1ADR";"time1KPR";"time1APR";"time1FKPR";"time1FDPR";"time1K";"time1D";"time1A";"time1FK";"time1FD";"time2RND";"time2R";"time2ACS";"time2KAST";"time2KD";"time2ADR";"time2KPR";"time2APR";"time2FKPR";"time2FDPR";"time2K";"time2D";"time2A";"time2FK";"time2FD"
"1";731,24;1,002;202,426;70;1,042;132,262;0,706;0,286;0,1;0,092;543,482;481,714;212,448;79,784;65,866;244,374;0,95;199,888;71,2;0,956;130,49;0,692;0,274;0,114;0,096;176,718;178,444;61,248;32,138;26,152
"2";388,662;1,098;213,358;74;1,156;135,752;0,744;0,28;0,108;0,086;298,814;257,108;91,814;42,026;31,772;737,498;1,034;207,416;71,6;1,06;134,096;0,718;0,282;0,106;0,098;518,402;482,448;202,12;70,448;65,738
"3";372,778;0,98;208,99;68,4;0,996;132,87;0,716;0,294;0,114;0,12;270,182;270,376;105,268;48,564;48,82;541,242;1,02;210,986;70,2;1,102;136,558;0,734;0,29;0,1;0,088;406,03;362,088;148,852;57,626;47,328
"4";390,034;0,99;205,712;70,4;1;134,848;0,716;0,284;0,108;0,094;308,152;285,914;91,676;60,216;47,208;453,914;1,014;213,788;70,6;1,052;140,458;0,74;0,268;0,106;0,098;336,276;323,892;117,108;45,686;43,362
"5";535,782;0,962;199,442;69,2;0,958;129,872;0,694;0,274;0,096;0,102;376,372;394,016;125,78;60,292;59,628;213,566;1,036;211,638;71,2;1,032;137,388;0,732;0,312;0,11;0,096;159,228;151,39;61,35;26,438;20,376
"6";482,384;0,952;201,096;66,6;1,044;129,378;0,69;0,308;0,1;0,092;339,098;322,986;140,302;47,092;44,02;399,514;1,064;217,812;70,8;1,1;140,966;0,758;0,29;0,124;0,11;314,182;280,45;107,092;54,732;44,218
"7";1047,664;1,048;221,698;72,4;1,11;142,556;0,78;0,238;0,128;0,108;859,36;735,716;208,654;159,674;126,758;284,004;0,966;194,882;68,8;0,956;125,056;0,678;0,332;0,088;0,096;192,68;195,948;84,688;23,996;23,562
"8";580,322;1,062;214,63;70,2;1,104;137,884;0,748;0,248;0,122;0,112;435,854;386,296;149,674;65,344;57,004;433,866;1,064;215,992;72;1,098;139,556;0,748;0,29;0,108;0,1;327,796;295,988;122,384;49,144;43,256
"9";178,258;1,006;201,364;71,8;1,028;131,142;0,704;0,3;0,092;0,098;129,818;122,522;46,71;21,22;18,046;422,548;1,062;216,918;72,6;1,174;139,466;0,778;0,238;0,13;0,104;320,552;282,954;101,338;46,554;40,196
"10";306,266;1,016;203,696;71,4;0,994;132,558;0,7;0,32;0,1;0,1;218,916;218,714;99,246;32,278;31,566;2058,61;1,026;202,522;71,2;1,038;132,3;0,704;0,284;0,08;0,076;1437,51;1364,338;634,468;149,936;136,43
"11";1452,34;1,126;228,512;74,4;1,19;146,652;0,794;0,306;0,126;0,106;1171,95;968,33;417,69;192,56;160,028;233,598;0,868;175,286;67;0,844;115,926;0,602;0,296;0,066;0,092;151,662;166,088;67,504;16,328;20,65
"12";283,492;1,008;207,462;72,4;1,006;137,234;0,72;0,32;0,098;0,1;207,212;206,924;86,996;30,362;29,754;828,586;1,03;211,754;71,4;1,058;138,082;0,734;0,29;0,11;0,104;643,252;575,876;228,882;101,622;90,706
"13";471,868;1,054;219,666;70,4;1,116;142,15;0,766;0,25;0,124;0,11;368,482;331,696;93,968;73,82;58,768;1104,134;1,016;211,238;69,8;1,094;135,952;0,738;0,286;0,108;0,098;822,212;707,924;313,324;93,034;78,036
"14";409,312;0,794;186,454;59,4;0,938;120,524;0,654;0,256;0,078;0,088;277,736;278,306;102,54;29,73;29,972;554,628;1,07;214,926;73;1,102;139,836;0,752;0,304;0,104;0,102;400,97;375,374;189,462;52,474;51,658
"15";149,708;0,948;197,512;67,8;0,93;127,408;0,672;0,324;0,09;0,118;99,37;108,358;42,938;13,24;17,994;450,764;0,952;205,19;68,8;0,968;132,62;0,714;0,244;0,108;0,118;335,168;329,952;101,798;53,38;51,78
"16";1195,822;1,008;211,306;70,2;1,04;136,254;0,736;0,258;0,118;0,108;924,964;837,648;292,762;159,058;125,034;741,8;0,93;208,088;65,2;1,062;133,942;0,726;0,282;0,096;0,098;547,706;487,738;200,534;69,472;62,092
"17";1683,564;1,07;216,052;72;1,12;138,93;0,76;0,288;0,108;0,092;1314,432;1139,962;446,108;197,324;160,268;1281,018;1,108;231,884;72,4;1,234;147,494;0,81;0,276;0,126;0,102;1057,248;850,938;343,252;183,136;140,204
"18";539,578;1,078;219,404;72,4;1,124;140,208;0,764;0,294;0,13;0,106;423,638;380,114;134,776;80,448;66,54;926,548;0,958;194,006;68,2;0,972;124,646;0,678;0,276;0,104;0,118;621,09;634,232;315,014;83,36;87,46
"19";1346,152;1,092;216,226;72,8;1,15;137,892;0,758;0,288;0,118;0,094;1070,502;891,524;382,66;177,918;136,77;2607,738;1,112;230,088;73,2;1,22;144,344;0,806;0,246;0,13;0,1;2216,948;1744,252;591,384;379,34;235,374
"20";2793,604;1,15;229,79;74,4;1,252;146,354;0,81;0,282;0,118;0,088;2360,932;1832,906;714,378;388,158;263,536;1772,582;1,056;226,514;69,8;1,164;144,892;0,796;0,262;0,124;0,104;1465,122;1216,626;428,93;246,564;189,712
"21";682,002;0,988;213,522;69;1,066;137,074;0,742;0,254;0,128;0,108;526,108;475,75;171,64;93,69;79,288;272,814;0,972;199,988;69;0,97;129,414;0,7;0,27;0,108;0,108;183,708;195,466;72,898;27,376;26,432
"22";1751,414;1,026;210,59;70;1,082;131,688;0,738;0,272;0,112;0,096;1386,614;1190,148;424,998;252,576;187,922;1971,764;1,116;223,832;73,8;1,162;143,722;0,782;0,314;0,118;0,092;1459,654;1281,856;656,938;171,584;140,064
"23";729,138;0,988;201,954;71;0,988;131,922;0,708;0,288;0,106;0,118;509,458;497,878;226,512;63,486;65,558;404,872;1,018;206,312;70,6;1,046;133,954;0,724;0,282;0,096;0,102;282,838;285,55;113,308;38,108;42,008
