;time1RND;time1R;time1ACS;time1KAST;time1KD;time1ADR;time1KPR;time1APR;time1FKPR;time1FDPR;time1K;time1D;time1A;time1FK;time1FD;time2RND;time2R;time2ACS;time2KAST;time2KD;time2ADR;time2KPR;time2APR;time2FKPR;time2FDPR;time2K;time2D;time2A;time2FK;time2FD;ganhador
1;28,2;1,072;209,3;76;1,212;135,1;0,754;0,256;0,102;0,102;20,9;18,3;6,4;2,3;2,6;1055,652;1,016;209,138;70,8;1,074;132,088;0,73;0,26;0,104;0,102;819,566;732,476;233,286;131,722;118,62;0
2;83,298;0,622;166,724;53,8;0,74;110,65;0,578;0,218;0,068;0,116;52,294;61,46;19,522;5,768;6,914;246,184;0,928;198,15;68,8;0,946;128,538;0,696;0,256;0,092;0,108;185,94;181,962;47,468;28,252;27,314;0
3;720,928;0,986;213,354;67;1,108;136,802;0,74;0,276;0,118;0,1;575,144;500,576;170,298;106,2;85,75;457,96;1,024;212,002;70;1,116;137,12;0,738;0,29;0,098;0,084;341,626;303,13;129,972;46,674;38,504;0
4;1108,738;1,03;222,788;67,6;1,16;142,468;0,778;0,278;0,118;0,102;908,086;746,31;268,916;156,028;115,796;310,788;1,092;214,686;72,2;1,14;140,29;0,75;0,284;0,108;0,1;235,832;204,686;86,92;35,432;29,102;1
5;259,086;0,858;191,818;66,2;0,89;124,178;0,676;0,196;0,094;0,11;181,896;196,544;47,734;29,99;33,136;289,768;0,902;194,38;65,2;0,888;128,346;0,666;0,218;0,086;0,104;195,132;212,528;66,812;23,36;28,996;0
6;30,8;0,924;202;71,6;0,946;129,93;0,706;0,258;0,068;0,132;21,7;23,2;7;2,2;4,1;514,32;0,932;206,996;66,2;0,962;133,61;0,712;0,258;0,102;0,106;391,268;377,468;125,53;61,178;52,736;0
7;1458,984;1,054;215,144;71,8;1,164;136,514;0,762;0,246;0,116;0,102;1125,242;944,726;355,362;163,444;133,63;1670,648;1,044;220,138;70,4;1,132;141,844;0,768;0,284;0,108;0,092;1249,124;1116,65;475,858;191,62;159,532;0
8;580,518;1,04;215,454;70;1,07;139,82;0,756;0,24;0,124;0,104;443,17;404,662;126,39;75,56;61,172;609,75;1,014;207,77;71;1,036;133,816;0,728;0,274;0,116;0,11;441,004;429,192;167,034;71,406;69,594;0
9;1145,532;0,844;198,324;61,8;0,93;127,42;0,698;0,2;0,116;0,122;932,202;838,626;169,606;200,03;158,096;392,38;0,808;181,928;62,6;0,846;119,284;0,638;0,242;0,088;0,114;256,924;293,73;92,202;37,64;46,602;0
10;2564,986;1,102;231,47;72,6;1,224;144,834;0,812;0,242;0,13;0,1;2187,464;1717,864;575,486;375,708;227,48;1455,33;1,07;223,686;71,8;1,206;139,988;0,788;0,234;0,136;0,102;1202,866;960,404;304,57;238,76;166,548;1
11;1083,406;1;212,464;67,6;1,128;135,812;0,744;0,274;0,1;0,092;826,214;712,204;283,34;109,504;93,848;1216,52;1,124;222,578;74,6;1,216;140,28;0,778;0,308;0,106;0,086;976,428;761,318;366,55;133,692;97,19;0
