"";"x"
"1";"https://www.vlr.gg/235552/attacking-soul-esports-vs-trace-esports-champions-tour-2023-champions-china-qualifier-ubqf"
"2";"https://www.vlr.gg/235553/bilibili-gaming-vs-monarch-effect-champions-tour-2023-champions-china-qualifier-ubqf"
"3";"https://www.vlr.gg/232950/twisted-minds-esports-vs-geekay-esports-saudi-eleagues-2023-season-1-playoffs-gf"
"4";"https://www.vlr.gg/235394/g2-gozen-vs-natus-vincere-celestials-game-changers-2023-series-ii-emea-groups-r3"
"5";"https://www.vlr.gg/235395/odd-1-out-vs-kpi-shine-game-changers-2023-series-ii-emea-groups-r3"
"6";"https://www.vlr.gg/235396/tiger-anonymo-vs-alliance-coven-game-changers-2023-series-ii-emea-groups-r3"
"7";"https://www.vlr.gg/235397/karmine-corp-gc-vs-ninjas-in-pyjamas-lightning-game-changers-2023-series-ii-emea-groups-r3"
"8";"https://www.vlr.gg/235422/bbl-queens-vs-excel-gc-game-changers-2023-series-ii-emea-groups-r3"
"9";"https://www.vlr.gg/235423/the-a-team-vs-case-hydra-game-changers-2023-series-ii-emea-groups-r3"
"10";"https://www.vlr.gg/235425/acend-rising-vs-guild-gc-game-changers-2023-series-ii-emea-groups-r3"
