"";"x"
"1";"https://www.vlr.gg/195671/number-one-player-vs-gank-gaming-fgc-valorant-invitational-2023-act-2-qualifiers-ro16"
"2";"https://www.vlr.gg/193436/northeption-vs-crest-gaming-zst-challengers-league-japan-split-2-d1"
"3";"https://www.vlr.gg/193896/nongshim-redforce-vs-maru-gaming-world-cyber-games-challengers-league-korea-split-2-w1"
"4";"https://www.vlr.gg/189033/gamelab-alpha-vs-oasis-gaming-challengers-league-philippines-split-2-regular-season-w3"
"5";"https://www.vlr.gg/194336/team-lofi-vs-team-big-baam-challengers-league-vietnam-split-2-d7"
"6";"https://www.vlr.gg/193263/funcrew-vs-nerdpunt-challengers-league-oceania-split-2-group-stage-w2"
"7";"https://www.vlr.gg/191769/attacking-soul-esports-vs-totoro-gaming-fgc-valorant-invitational-2023-act-1-lr1"
"8";"https://www.vlr.gg/193897/incheon-on-sla2ers-vs-cnj-esports-world-cyber-games-challengers-league-korea-split-2-w1"
"9";"https://www.vlr.gg/195673/nova-esports-vs-rare-atom-fgc-valorant-invitational-2023-act-2-qualifiers-ro16"
"10";"https://www.vlr.gg/189610/one-team-esports-vs-roa-challengers-league-taiwan-hong-kong-split-2-r3"
"11";"https://www.vlr.gg/193437/jadeite-vs-fennel-challengers-league-japan-split-2-d1"
"12";"https://www.vlr.gg/194337/lazy-vs-the-mad-men-challengers-league-vietnam-split-2-d7"
"13";"https://www.vlr.gg/193264/guangzhou-long-lionz-vs-mammoth-esc-challengers-league-oceania-split-2-group-stage-w2"
"14";"https://www.vlr.gg/188032/kizuna-esports-vs-louvre-challengers-league-malaysia-singapore-split-2-d8"
"15";"https://www.vlr.gg/189034/mvp-esports-vs-stream-raiders-nacague-challengers-league-philippines-split-2-regular-season-w3"
"16";"https://www.vlr.gg/189611/s2-esports-vs-oblivion-force-challengers-league-taiwan-hong-kong-split-2-r3"
"17";"https://www.vlr.gg/191770/funplus-phoenix-vs-dragon-ranger-gaming-fgc-valorant-invitational-2023-act-1-lr1"
"18";"https://www.vlr.gg/195674/kingzone-vs-panda-fgc-valorant-invitational-2023-act-2-qualifiers-ro16"
"19";"https://www.vlr.gg/188033/x10-esports-vs-enigma-gaming-challengers-league-malaysia-singapore-split-2-d8"
"20";"https://www.vlr.gg/183950/koi-vs-fut-esports-champions-tour-2023-emea-league-w3"
"21";"https://www.vlr.gg/183951/team-liquid-vs-fnatic-champions-tour-2023-emea-league-w3"
"22";"https://www.vlr.gg/193553/00nation-vs-red-canids-challengers-league-brazil-split-2-w2"
"23";"https://www.vlr.gg/193154/version1-vs-shopify-rebellion-gc-game-changers-2023-series-i-north-america-main-event-ubf"
"24";"https://www.vlr.gg/183561/sunxet-club-fem-vs-kr-blaze-game-changers-2023-latin-america-split-1-round-robin"
"25";"https://www.vlr.gg/193554/liberty-vs-the-union-challengers-league-brazil-split-2-w2"
"26";"https://www.vlr.gg/193160/moist-moguls-red-vs-xset-game-changers-2023-series-i-north-america-main-event-lr3"
