"";"time1RND";"time1R";"time1ACS";"time1KAST";"time1KD";"time1ADR";"time1KPR";"time1APR";"time1FKPR";"time1FDPR";"time1K";"time1D";"time1A";"time1FK";"time1FD";"time2RND";"time2R";"time2ACS";"time2KAST";"time2KD";"time2ADR";"time2KPR";"time2APR";"time2FKPR";"time2FDPR";"time2K";"time2D";"time2A";"time2FK";"time2FD"
"1";175,978;1,04;216,552;70,4;1,102;138,988;0,756;0,264;0,11;0,1;129,818;120,19;44,218;19,098;16,192;586,764;0,988;209,552;67;1,054;133,864;0,724;0,266;0,108;0,1;447,85;406,63;138,91;82,308;69,702
"2";514,254;1,054;210,936;71,6;1,068;135,62;0,738;0,284;0,114;0,106;391,616;365,614;131,966;70,548;65,214;1841,218;1,086;219,576;73;1,136;140,57;0,758;0,288;0,114;0,098;1428,384;1219,516;507,64;228,518;182,554
"3";1320,406;1,06;211,552;73,2;1,116;134,104;0,746;0,26;0,104;0,094;1028,69;886,61;300,978;158,832;128,764;621,396;0,982;196,114;70,6;1,014;125,33;0,69;0,296;0,08;0,078;428,196;417,132;185,148;50,276;50,938
"4";121,816;1,134;208,064;75;1,182;136,57;0,734;0,332;0,106;0,08;91,066;75,4;35,61;12,91;10,584;177,424;0,998;203,588;70;0,986;128,64;0,708;0,3;0,104;0,096;129,598;128,472;47,428;22,544;18,684
"5";998,61;1,014;211,72;70,6;1,046;136,906;0,736;0,284;0,108;0,096;726,69;683,27;313,622;93,272;81,224;649,918;1,022;214,492;71,2;1,06;138,114;0,744;0,278;0,114;0,102;485,584;448,096;191,194;70,066;64,62
"6";1743,922;1,048;219,734;71,4;1,156;136,39;0,776;0,248;0,122;0,11;1391,528;1178,428;389,082;247,294;184,04;1650,66;1,07;216,492;72,2;1,12;139,19;0,762;0,286;0,108;0,092;1290,346;1116,928;437,85;194,234;157,82
"7";1464,888;1,05;215,046;71,8;1,16;136,448;0,76;0,246;0,116;0,1;1130,898;949,28;357,028;163,976;134,412;1325,392;1,1;217,18;72,8;1,158;138,376;0,762;0,286;0,116;0,094;1055,984;875,298;380,716;174,584;133,062
"8";2274,306;1,088;219,488;71,8;1,15;142,368;0,766;0,256;0,12;0,1;1695,25;1456,79;661,014;225,95;172,196;1756,714;1,056;226,992;69,8;1,168;145,158;0,794;0,26;0,124;0,104;1455,246;1205,97;422,436;245,652;188,858
"9";153,318;1,06;212,332;71,4;1,086;140,796;0,732;0,248;0,106;0,098;114,868;104,762;33,89;18,958;15,574;326,37;1,024;207,13;71,6;1,048;136,428;0,718;0,27;0,106;0,104;236,234;220,578;85,8;32,17;28,616
"10";1765,592;1,098;214,926;72,4;1,118;135,712;0,754;0,268;0,112;0,092;1414,446;1193,81;426,438;251,708;186,344;2334,968;1,086;224,128;72,6;1,168;140,742;0,79;0,242;0,124;0,098;1870,578;1575,176;556,008;300,058;223,254
"11";224,124;1,186;242,916;74,8;1,304;157,626;0,842;0,282;0,14;0,112;202,372;147,824;60,16;34,42;26,21;229,832;1,004;212,246;71,4;1,004;137,928;0,728;0,284;0,12;0,108;171,1;166,624;61,11;27,948;23,988
