"";"time1RND";"time1R";"time1ACS";"time1KAST";"time1KD";"time1ADR";"time1KPR";"time1APR";"time1FKPR";"time1FDPR";"time1K";"time1D";"time1A";"time1FK";"time1FD";"time2RND";"time2R";"time2ACS";"time2KAST";"time2KD";"time2ADR";"time2KPR";"time2APR";"time2FKPR";"time2FDPR";"time2K";"time2D";"time2A";"time2FK";"time2FD";"ganhador"
"1";1170,992;0,992;210,52;68,4;1,106;134,906;0,74;0,282;0,1;0,094;889,006;780,248;306,914;123,016;106,082;1822,58;1,038;216,832;70,4;1,106;139,936;0,758;0,292;0,108;0,096;1351,314;1225,46;530,356;207,18;176,076;"1"
"2";962,674;1,064;220,306;71,6;1,122;139,956;0,778;0,27;0,12;0,102;769,062;670,184;241,36;126,424;106,422;1163,366;1,106;217,988;73,4;1,134;138,512;0,758;0,272;0,12;0,098;908,084;776,068;279,104;154;124,074;"0"
"3";1628,486;1,094;221,892;73;1,188;141,192;0,774;0,292;0,1;0,086;1277,292;1058,866;505,952;165,836;129,086;1612,19;1,092;235,272;71,2;1,216;147,192;0,812;0,258;0,14;0,112;1338,158;1070,768;380,95;249,686;186,814;"0"
"4";2622,154;1,1;228,196;73;1,206;143,548;0,802;0,246;0,126;0,098;2216,72;1759,96;595,996;379,636;237,556;683,652;0,926;201,074;64,6;1,082;125,23;0,714;0,258;0,098;0,082;537,674;454,026;168,612;81,272;62,208;"1"
