"";"time1RND";"time1R";"time1ACS";"time1KAST";"time1KD";"time1ADR";"time1KPR";"time1APR";"time1FKPR";"time1FDPR";"time1K";"time1D";"time1A";"time1FK";"time1FD";"time2RND";"time2R";"time2ACS";"time2KAST";"time2KD";"time2ADR";"time2KPR";"time2APR";"time2FKPR";"time2FDPR";"time2K";"time2D";"time2A";"time2FK";"time2FD"
"1";1182;1,004;211,822;70,4;1,082;136,464;0,742;0,27;0,108;0,098;859,114;794,676;333,032;113,01;104,02;2039,392;1,114;236,478;72;1,194;147,42;0,826;0,22;0,152;0,114;1804,032;1430,094;385,752;383,532;269,998
"2";2112,558;1,12;225,884;73,4;1,184;144,014;0,796;0,254;0,126;0,1;1798,138;1437,082;470,496;327,668;237,876;842,548;0,966;196,06;70,2;0,978;129,136;0,682;0,274;0,092;0,09;575,274;582,132;202,972;83,374;83,224
"3";824,514;0,942;196,598;69;0,952;128,776;0,68;0,26;0,098;0,104;608,18;576,97;196,198;86,202;83,664;696,326;1,05;216,096;71,4;1,128;138,34;0,766;0,266;0,104;0,09;557,146;471,554;170,986;88,248;66,422
"4";1700,446;1;210,112;68,4;1,116;132,838;0,74;0,256;0,112;0,096;1280,784;1122,136;381,042;215,866;174,18;723,534;1,02;212,81;69,8;1,048;137,892;0,744;0,248;0,116;0,114;551,664;512,628;163,116;90,596;82,6
"5";840,5;1,014;198,636;71,2;0,998;129;0,682;0,29;0,088;0,09;620,802;589,934;215,73;110,392;95,198;1351,402;1,018;217,484;70,2;1,048;139,538;0,762;0,236;0,134;0,118;1153,174;985,768;253,44;256,84;206,158
"6";1705,276;1,088;219,138;73,4;1,15;140,594;0,764;0,282;0,116;0,09;1369,016;1159,418;465,946;221,974;164,286;802,658;1,016;214,648;68,8;1,058;139,76;0,744;0,266;0,108;0,106;620,14;564,648;215,138;95,352;88,608
"7";795,224;0,976;193,184;70,6;0,958;125,354;0,67;0,286;0,08;0,094;518,2;548,744;244,912;64,182;68,728;601,558;0,954;196,86;69,2;0,956;126,05;0,688;0,288;0,102;0,096;427,428;424,478;171,74;61,026;56,702
"8";891,214;1,008;220,286;70,2;1,07;141,168;0,764;0,274;0,124;0,116;692,064;633,558;194,314;118,854;106,006;1027,534;1,012;215,182;69,8;1,07;138,886;0,742;0,296;0,114;0,1;744,476;698,19;305;105,87;89,246
"9";1016,214;1,128;226,512;73,2;1,192;144,604;0,786;0,284;0,126;0,098;825,244;667,39;254,186;140,598;100,398;1217,678;1,042;225,084;70,8;1,14;139,762;0,788;0,23;0,14;0,112;1030,15;857,652;250,518;204,094;144,878
"10";2235,224;1,02;211,042;69,8;1,09;134,816;0,734;0,268;0,12;0,1;1722,442;1526,972;588,628;317,168;243,394;1437,83;1,034;203,642;71,2;1,066;129,716;0,722;0,278;0,106;0,1;1053,58;962,502;389,418;154,908;137,422
