"";"time1RND";"time1R";"time1ACS";"time1KAST";"time1KD";"time1ADR";"time1KPR";"time1APR";"time1FKPR";"time1FDPR";"time1K";"time1D";"time1A";"time1FK";"time1FD";"time2RND";"time2R";"time2ACS";"time2KAST";"time2KD";"time2ADR";"time2KPR";"time2APR";"time2FKPR";"time2FDPR";"time2K";"time2D";"time2A";"time2FK";"time2FD";"ganhador"
"1";1186,998;1,002;210,776;70,4;1,072;136,05;0,738;0,272;0,108;0,096;861,624;797,916;335,02;112,636;103,94;895,784;1,06;217,896;72,2;1,1;138,434;0,766;0,28;0,11;0,1;712,092;628,156;232,796;114,306;98,338;"0"
"2";574,76;1,012;207,164;71,6;1,026;133,588;0,726;0,294;0,102;0,108;435,96;409,34;163,858;67,77;64,112;494,592;1,006;212,704;70,2;1,034;139,022;0,746;0,234;0,122;0,12;409,034;358,786;91,794;77,31;65,06;"1"
"3";1135,188;0,994;210,888;68,4;1,11;134,988;0,738;0,28;0,102;0,098;864,286;753,338;295,956;118,076;101,394;1141,932;1,132;217,89;73,6;1,158;137,852;0,762;0,262;0,12;0,096;888,972;743,264;280,814;143,394;110,028;"1"
"4";422,706;0,976;198,946;71;0,992;132,21;0,696;0,258;0,096;0,106;304,212;289,194;106,868;37,72;37,104;575,486;0,96;197,512;70,4;0,958;127,516;0,682;0,33;0,106;0,11;409,784;414,976;156,804;73,948;67,954;"0"
"5";845,95;1;209,906;68,4;1,078;135,748;0,74;0,24;0,11;0,094;632,142;583,25;193,974;98,722;82,61;1792,036;1,004;208,982;68,8;1,034;134,8;0,74;0,22;0,12;0,11;1346,218;1240,016;367,346;239,798;194,656;"1"
"6";911,082;1,006;206,662;69,8;1,056;133,374;0,732;0,254;0,094;0,088;655,25;634,712;233,516;82,818;73,49;1735,836;1,038;203,556;72,4;1,042;133,182;0,712;0,31;0,09;0,086;1233,34;1140,254;598,804;148,004;123,394;"1"
"7";699,728;1,026;216,698;69,8;1,116;138,694;0,76;0,242;0,108;0,098;557,048;475,082;160,044;88,748;68,728;853,148;0,958;194,942;69,2;0,96;127,71;0,678;0,256;0,088;0,096;626,572;596,574;200,258;87,358;85,722;"1"
"8";963,976;1,018;207,454;70,8;1,038;133,916;0,724;0,254;0,102;0,102;708,664;671,566;243,654;101,956;97,06;1859,178;1,102;225,794;72,8;1,17;143,566;0,79;0,252;0,12;0,106;1505,836;1251,53;411,98;275,086;210,384;"0"
"9";829,142;1,022;200,046;70,8;1,062;129,456;0,712;0,26;0,086;0,086;623,246;544,692;198,132;82,774;60,852;1396,842;1,002;206,588;68,8;1,106;132,116;0,726;0,288;0,092;0,084;1045,646;881,712;340,422;137,32;109,612;"0"
"10";615,144;1,14;222,552;76;1,2;144,19;0,784;0,304;0,118;0,094;487,368;403,47;179,28;74,902;57,872;856,234;1,074;207,434;74,2;1,1;134,704;0,736;0,278;0,104;0,094;634,858;558,742;263,484;83,096;73,906;"1"
"11";1041,608;1,008;214,304;69,4;1,068;138,44;0,742;0,296;0,112;0,1;753,076;708,66;308,152;107,952;91,292;903,084;1,01;218,562;70,6;1,068;140,378;0,762;0,276;0,124;0,114;696,954;642,136;200,274;119,154;106,058;"0"
"12";1977,766;1,052;201,972;72,4;1,072;130,73;0,702;0,292;0,096;0,084;1394,056;1280,762;610,544;181,752;153,948;1552,218;1,03;207,202;71,2;1,05;133,412;0,724;0,276;0,106;0,1;1156,828;1068,44;408,516;179,434;157,108;"0"
"13";794,568;1,092;214,026;74,2;1,124;138,202;0,764;0,266;0,118;0,096;608,058;536,07;200,014;96,802;77,204;596,47;0,89;197,228;63;0,976;128,638;0,692;0,25;0,096;0,102;451,874;423,784;132,056;81,198;78,366;"1"
"14";954,55;1,046;214,28;70,8;1,1;138,664;0,756;0,256;0,122;0,106;715,312;655,22;249,974;118,008;97,124;1227,588;1,066;204,58;73,2;1,098;132,556;0,726;0,276;0,094;0,076;926,704;816,72;287,576;139,37;105,748;"0"
"15";1015,732;0,95;216,116;65,2;1,104;134,934;0,756;0,276;0,118;0,1;773,058;693,542;292,516;127,506;99,456;547,24;1,006;213,784;70,2;1,028;138,964;0,75;0,24;0,118;0,112;415,868;392,77;126,18;64,196;57,692;"0"
"16";1463,962;1,032;221,088;69,8;1,076;140,816;0,772;0,212;0,146;0,124;1248,384;1059,756;266,712;278,67;220,694;847,734;1,006;197,526;71,2;1;128,446;0,688;0,282;0,088;0,09;623,906;596,446;219,236;110,672;96,692;"1"
"17";686,992;1,004;210,162;70,2;1,012;135,286;0,732;0,282;0,11;0,104;524,636;508,524;180,122;93,846;84,262;501,646;1,026;211,118;70,4;1,06;136,89;0,74;0,256;0,116;0,102;385,094;351,282;122,926;67,306;55,476;"1"
"18";644,194;0,992;206,834;69,8;1,044;132,536;0,728;0,262;0,112;0,1;487,276;436,99;159,568;82,012;63,632;1376,392;1,032;215,03;71,8;1,05;138,122;0,744;0,292;0,118;0,11;1043,228;959,732;448,444;155,678;137,328;"1"
"19";1474,78;1,04;203,844;71,4;1,074;130,014;0,726;0,28;0,106;0,1;1082,42;983,226;401,868;159,662;140,02;2240,246;1,024;210,75;69,8;1,09;134,632;0,732;0,268;0,12;0,1;1725,922;1530,016;584,702;319,37;244,426;"0"
"20";1218,66;1,068;223,396;72,2;1,188;141,72;0,784;0,25;0,132;0,102;977,488;790,718;274,874;183,63;137,048;2061,986;1,124;233,882;72,8;1,244;148,156;0,82;0,3;0,12;0,09;1747,288;1368,4;601,4;278,358;186,988;"0"
"21";932,324;0,998;201,33;70,6;1,012;131,6;0,708;0,282;0,09;0,092;674,914;645,386;238,856;100,218;96,812;1170,354;0,978;205,692;69;1,01;133,582;0,712;0,274;0,098;0,092;975,738;824,306;226,952;179,8;134,432;"0"
"22";1411,716;0,984;205,424;67,2;1,048;133,86;0,718;0,274;0,106;0,098;1103,182;980,97;335,886;186,726;156,25;948,73;1,116;224,024;72,6;1,18;145,388;0,786;0,274;0,118;0,094;743,686;633,134;263,286;110,434;81,668;"1"
"23";699,188;1,04;204,712;71,8;1,046;132,764;0,716;0,288;0,104;0,094;550,154;478,648;176,852;91,198;71,49;1374,976;1,042;215,732;71,4;1,122;138,752;0,762;0,238;0,112;0,098;1048,144;933,618;317,87;158,958;138,612;"1"
"24";501,494;1,114;219,73;74,2;1,166;141,686;0,778;0,3;0,118;0,102;386,592;334,712;148,89;55,69;49,048;961,016;1,132;210,2;75,6;1,186;138,998;0,748;0,292;0,092;0,078;708,094;599,624;263,298;80,108;67,81;"0"
"25";826,406;1,016;213,34;69,2;1,052;138,936;0,742;0,268;0,11;0,106;635,96;581,03;221,038;97,386;91,858;1718,308;1,088;218,3;73,2;1,148;140,096;0,76;0,282;0,11;0,09;1375,74;1167,37;468,888;222,812;166,156;"0"
